theta_dir_prior,pi_dir_prior,dir_prior_multiplier,accuracy
1.0001,1.0001,0,0.9139827965593119
1.0001,1.0001,1,0.9139827965593119
1.0001,1.0001,10,0.9139827965593119
1.0001,1.0001,50,0.9139827965593119
1.0001,1.0001,100,0.9139827965593119
1.0001,1.0001,500,0.9139827965593119
1.0001,1.0001,1000,0.9139827965593119
1.0001,2,0,0.9139827965593119
1.0001,2,1,0.9139827965593119
1.0001,2,10,0.9139827965593119
1.0001,2,50,0.9139827965593119
1.0001,2,100,0.9139827965593119
1.0001,2,500,0.9139827965593119
1.0001,2,1000,0.9139827965593119
1.0001,4,0,0.9145829165833167
1.0001,4,1,0.9145829165833167
1.0001,4,10,0.9145829165833167
1.0001,4,50,0.9145829165833167
1.0001,4,100,0.9145829165833167
1.0001,4,500,0.9145829165833167
1.0001,4,1000,0.9145829165833167
1.0001,8,0,0.9149829965993198
1.0001,8,1,0.9149829965993198
1.0001,8,10,0.9149829965993198
1.0001,8,50,0.9149829965993198
1.0001,8,100,0.9149829965993198
1.0001,8,500,0.9149829965993198
1.0001,8,1000,0.9149829965993198
1.0001,16,0,0.9145829165833167
1.0001,16,1,0.9145829165833167
1.0001,16,10,0.9145829165833167
1.0001,16,50,0.9145829165833167
1.0001,16,100,0.9145829165833167
1.0001,16,500,0.9145829165833167
1.0001,16,1000,0.9145829165833167
1.0001,32,0,0.9139827965593119
1.0001,32,1,0.9139827965593119
1.0001,32,10,0.9139827965593119
1.0001,32,50,0.9139827965593119
1.0001,32,100,0.9139827965593119
1.0001,32,500,0.9139827965593119
1.0001,32,1000,0.9139827965593119
1.0001,64,0,0.912382476495299
1.0001,64,1,0.912382476495299
1.0001,64,10,0.912382476495299
1.0001,64,50,0.912382476495299
1.0001,64,100,0.912382476495299
1.0001,64,500,0.912382476495299
1.0001,64,1000,0.912382476495299
1.0001,128,0,0.9117823564712942
1.0001,128,1,0.9117823564712942
1.0001,128,10,0.9117823564712942
1.0001,128,50,0.9117823564712942
1.0001,128,100,0.9117823564712942
1.0001,128,500,0.9117823564712942
1.0001,128,1000,0.9117823564712942
1.0001,256,0,0.9111822364472895
1.0001,256,1,0.9111822364472895
1.0001,256,10,0.9111822364472895
1.0001,256,50,0.9111822364472895
1.0001,256,100,0.9111822364472895
1.0001,256,500,0.9111822364472895
1.0001,256,1000,0.9111822364472895
1.0001,512,0,0.904380876175235
1.0001,512,1,0.904380876175235
1.0001,512,10,0.904380876175235
1.0001,512,50,0.904380876175235
1.0001,512,100,0.904380876175235
1.0001,512,500,0.904380876175235
1.0001,512,1000,0.904380876175235
1.0001,1024,0,0.8987797559511902
1.0001,1024,1,0.8987797559511902
1.0001,1024,10,0.8987797559511902
1.0001,1024,50,0.8987797559511902
1.0001,1024,100,0.8987797559511902
1.0001,1024,500,0.8987797559511902
1.0001,1024,1000,0.8987797559511902
2,1.0001,0,0.9171834366873375
2,1.0001,1,0.9171834366873375
2,1.0001,10,0.9171834366873375
2,1.0001,50,0.9171834366873375
2,1.0001,100,0.9171834366873375
2,1.0001,500,0.9171834366873375
2,1.0001,1000,0.9171834366873375
2,2,0,0.9167833566713343
2,2,1,0.9167833566713343
2,2,10,0.9167833566713343
2,2,50,0.9167833566713343
2,2,100,0.9167833566713343
2,2,500,0.9167833566713343
2,2,1000,0.9167833566713343
2,4,0,0.9159831966393278
2,4,1,0.9159831966393278
2,4,10,0.9159831966393278
2,4,50,0.9159831966393278
2,4,100,0.9159831966393278
2,4,500,0.9159831966393278
2,4,1000,0.9159831966393278
2,8,0,0.9161832366473295
2,8,1,0.9161832366473295
2,8,10,0.9161832366473295
2,8,50,0.9161832366473295
2,8,100,0.9161832366473295
2,8,500,0.9161832366473295
2,8,1000,0.9161832366473295
2,16,0,0.9165833166633327
2,16,1,0.9165833166633327
2,16,10,0.9165833166633327
2,16,50,0.9165833166633327
2,16,100,0.9165833166633327
2,16,500,0.9165833166633327
2,16,1000,0.9165833166633327
2,32,0,0.9147829565913183
2,32,1,0.9147829565913183
2,32,10,0.9147829565913183
2,32,50,0.9147829565913183
2,32,100,0.9147829565913183
2,32,500,0.9147829565913183
2,32,1000,0.9147829565913183
2,64,0,0.9137827565513102
2,64,1,0.9137827565513102
2,64,10,0.9137827565513102
2,64,50,0.9137827565513102
2,64,100,0.9137827565513102
2,64,500,0.9137827565513102
2,64,1000,0.9137827565513102
2,128,0,0.9139827965593119
2,128,1,0.9139827965593119
2,128,10,0.9139827965593119
2,128,50,0.9139827965593119
2,128,100,0.9139827965593119
2,128,500,0.9139827965593119
2,128,1000,0.9139827965593119
2,256,0,0.911382276455291
2,256,1,0.911382276455291
2,256,10,0.911382276455291
2,256,50,0.911382276455291
2,256,100,0.911382276455291
2,256,500,0.911382276455291
2,256,1000,0.911382276455291
2,512,0,0.9067813562712542
2,512,1,0.9067813562712542
2,512,10,0.9067813562712542
2,512,50,0.9067813562712542
2,512,100,0.9067813562712542
2,512,500,0.9067813562712542
2,512,1000,0.9067813562712542
2,1024,0,0.9005801160232046
2,1024,1,0.9005801160232046
2,1024,10,0.9005801160232046
2,1024,50,0.9005801160232046
2,1024,100,0.9005801160232046
2,1024,500,0.9005801160232046
2,1024,1000,0.9005801160232046
4,1.0001,0,0.9157831566313263
4,1.0001,1,0.9157831566313263
4,1.0001,10,0.9157831566313263
4,1.0001,50,0.9157831566313263
4,1.0001,100,0.9157831566313263
4,1.0001,500,0.9157831566313263
4,1.0001,1000,0.9157831566313263
4,2,0,0.9157831566313263
4,2,1,0.9157831566313263
4,2,10,0.9157831566313263
4,2,50,0.9157831566313263
4,2,100,0.9157831566313263
4,2,500,0.9157831566313263
4,2,1000,0.9157831566313263
4,4,0,0.9157831566313263
4,4,1,0.9157831566313263
4,4,10,0.9157831566313263
4,4,50,0.9157831566313263
4,4,100,0.9157831566313263
4,4,500,0.9157831566313263
4,4,1000,0.9157831566313263
4,8,0,0.9147829565913183
4,8,1,0.9147829565913183
4,8,10,0.9147829565913183
4,8,50,0.9147829565913183
4,8,100,0.9147829565913183
4,8,500,0.9147829565913183
4,8,1000,0.9147829565913183
4,16,0,0.9155831166233247
4,16,1,0.9155831166233247
4,16,10,0.9155831166233247
4,16,50,0.9155831166233247
4,16,100,0.9155831166233247
4,16,500,0.9155831166233247
4,16,1000,0.9155831166233247
4,32,0,0.9141828365673135
4,32,1,0.9141828365673135
4,32,10,0.9141828365673135
4,32,50,0.9141828365673135
4,32,100,0.9141828365673135
4,32,500,0.9141828365673135
4,32,1000,0.9141828365673135
4,64,0,0.911382276455291
4,64,1,0.911382276455291
4,64,10,0.911382276455291
4,64,50,0.911382276455291
4,64,100,0.911382276455291
4,64,500,0.911382276455291
4,64,1000,0.911382276455291
4,128,0,0.9099819963992799
4,128,1,0.9099819963992799
4,128,10,0.9099819963992799
4,128,50,0.9099819963992799
4,128,100,0.9099819963992799
4,128,500,0.9099819963992799
4,128,1000,0.9099819963992799
4,256,0,0.9085817163432687
4,256,1,0.9085817163432687
4,256,10,0.9085817163432687
4,256,50,0.9085817163432687
4,256,100,0.9085817163432687
4,256,500,0.9085817163432687
4,256,1000,0.9085817163432687
4,512,0,0.9021804360872174
4,512,1,0.9021804360872174
