beta_1,beta_2,beta_3,init_quality,accuracy
0.24,0,0.76,0.9,0.831428571
0.24,0,0.76,0.95,0.831428571
0.24,0,0.76,0.8,0.83
0.24,0,0.76,0.85,0.83
0.24,0.04,0.72,0.95,0.83
0.28,0,0.72,0.6,0.83
0.28,0,0.72,0.65,0.83
0.28,0,0.72,0.7,0.83
0.28,0,0.72,0.8,0.83
0.28,0,0.72,0.85,0.83
0.28,0,0.72,0.9,0.83
0.28,0,0.72,0.95,0.83
0.28,0.04,0.68,0.9,0.83
0.28,0.04,0.68,0.95,0.83
0.32,0,0.68,0.7,0.83
0.32,0,0.68,0.75,0.83
0.32,0,0.68,0.8,0.83
0.32,0,0.68,0.85,0.83
0.32,0,0.68,0.9,0.83
0.32,0,0.68,0.95,0.83
0.2,0,0.8,0.9,0.828571429
0.2,0,0.8,0.95,0.828571429
0.24,0,0.76,0.75,0.828571429
0.28,0,0.72,0.55,0.828571429
0.28,0,0.72,0.75,0.828571429
0.28,0.04,0.68,0.8,0.828571429
0.28,0.04,0.68,0.85,0.828571429
0.32,0,0.68,0.5,0.828571429
0.32,0,0.68,0.55,0.828571429
0.32,0,0.68,0.6,0.828571429
0.32,0,0.68,0.65,0.828571429
0.4,0.04,0.56,0.75,0.828571429
0.4,0.04,0.56,0.8,0.828571429
0.4,0.04,0.56,0.85,0.828571429
0.4,0.04,0.56,0.9,0.828571429
0.4,0.04,0.56,0.95,0.828571429
0.24,0.04,0.72,0.9,0.827142857
0.24,0.12,0.64,0.95,0.827142857
0.28,0,0.72,0.5,0.827142857
0.28,0.04,0.68,0.75,0.827142857
0.28,0.08,0.64,0.9,0.827142857
0.28,0.08,0.64,0.95,0.827142857
0.32,0.04,0.64,0.55,0.827142857
0.32,0.04,0.64,0.6,0.827142857
0.32,0.04,0.64,0.65,0.827142857
0.32,0.04,0.64,0.7,0.827142857
0.32,0.04,0.64,0.75,0.827142857
0.32,0.04,0.64,0.8,0.827142857
0.32,0.04,0.64,0.85,0.827142857
0.32,0.08,0.6,0.9,0.827142857
0.32,0.08,0.6,0.95,0.827142857
0.36,0,0.64,0.7,0.827142857
0.36,0,0.64,0.75,0.827142857
0.36,0,0.64,0.8,0.827142857
0.36,0,0.64,0.85,0.827142857
0.36,0,0.64,0.9,0.827142857
0.36,0,0.64,0.95,0.827142857
0.36,0.04,0.6,0.5,0.827142857
0.36,0.04,0.6,0.55,0.827142857
0.36,0.04,0.6,0.6,0.827142857
0.36,0.04,0.6,0.65,0.827142857
0.36,0.04,0.6,0.7,0.827142857
0.36,0.04,0.6,0.75,0.827142857
0.36,0.08,0.56,0.75,0.827142857
0.36,0.08,0.56,0.8,0.827142857
0.36,0.08,0.56,0.85,0.827142857
0.36,0.08,0.56,0.9,0.827142857
0.36,0.08,0.56,0.95,0.827142857
0.4,0,0.6,0.75,0.827142857
0.4,0,0.6,0.8,0.827142857
0.4,0,0.6,0.85,0.827142857
0.4,0,0.6,0.9,0.827142857
0.4,0,0.6,0.95,0.827142857
0.4,0.04,0.56,0.5,0.827142857
0.4,0.04,0.56,0.55,0.827142857
0.4,0.04,0.56,0.6,0.827142857
0.4,0.04,0.56,0.65,0.827142857
0.4,0.04,0.56,0.7,0.827142857
0.4,0.08,0.52,0.75,0.827142857
0.4,0.08,0.52,0.8,0.827142857
0.4,0.08,0.52,0.85,0.827142857
0.16,0,0.84,0.95,0.825714286
0.24,0,0.76,0.7,0.825714286
0.24,0.08,0.68,0.95,0.825714286
0.28,0.04,0.68,0.7,0.825714286
0.28,0.08,0.64,0.8,0.825714286
0.28,0.08,0.64,0.85,0.825714286
0.28,0.12,0.6,0.8,0.825714286
0.28,0.12,0.6,0.85,0.825714286
0.28,0.12,0.6,0.9,0.825714286
0.28,0.12,0.6,0.95,0.825714286
0.32,0.04,0.64,0.5,0.825714286
0.32,0.04,0.64,0.9,0.825714286
0.32,0.04,0.64,0.95,0.825714286
0.32,0.08,0.6,0.7,0.825714286
0.32,0.08,0.6,0.75,0.825714286
0.32,0.08,0.6,0.8,0.825714286
0.32,0.08,0.6,0.85,0.825714286
0.32,0.12,0.56,0.8,0.825714286
0.32,0.12,0.56,0.85,0.825714286
0.32,0.12,0.56,0.9,0.825714286
0.36,0,0.64,0.5,0.825714286
0.36,0,0.64,0.55,0.825714286
0.36,0,0.64,0.6,0.825714286
0.36,0,0.64,0.65,0.825714286
0.36,0.04,0.6,0.8,0.825714286
0.36,0.04,0.6,0.85,0.825714286
0.36,0.04,0.6,0.9,0.825714286
0.36,0.04,0.6,0.95,0.825714286
