beta_1,beta_2,beta_3,init_quality,accuracy
0.4,0,0.6,0.8,0.840148699
0.28,0,0.72,0.9,0.838909542
0.28,0.04,0.68,0.8,0.838909542
0.28,0.04,0.68,0.85,0.838909542
0.32,0,0.68,0.6,0.838909542
0.32,0,0.68,0.65,0.838909542
0.32,0,0.68,0.7,0.838909542
0.32,0.04,0.64,0.75,0.838909542
0.36,0.04,0.6,0.85,0.838909542
0.36,0.04,0.6,0.9,0.838909542
0.36,0.04,0.6,0.95,0.838909542
0.36,0.08,0.56,0.8,0.838909542
0.36,0.08,0.56,0.85,0.838909542
0.4,0,0.6,0.7,0.838909542
0.4,0,0.6,0.75,0.838909542
0.4,0,0.6,0.85,0.838909542
0.44,0,0.56,0.8,0.838909542
0.44,0,0.56,0.85,0.838909542
0,0,1,0.5,0.837670384
0,0,1,0.55,0.837670384
0,0,1,0.6,0.837670384
0,0,1,0.65,0.837670384
0,0,1,0.7,0.837670384
0,0,1,0.75,0.837670384
0,0,1,0.8,0.837670384
0,0,1,0.85,0.837670384
0,0,1,0.9,0.837670384
0,0,1,0.95,0.837670384
0.04,0,0.96,0.5,0.837670384
0.16,0.08,0.76,0.95,0.837670384
0.2,0.08,0.72,0.6,0.837670384
0.2,0.08,0.72,0.65,0.837670384
0.2,0.08,0.72,0.7,0.837670384
0.2,0.08,0.72,0.75,0.837670384
0.2,0.08,0.72,0.8,0.837670384
0.2,0.08,0.72,0.85,0.837670384
0.2,0.08,0.72,0.9,0.837670384
0.2,0.08,0.72,0.95,0.837670384
0.24,0.04,0.72,0.55,0.837670384
0.24,0.04,0.72,0.6,0.837670384
0.24,0.04,0.72,0.65,0.837670384
0.24,0.04,0.72,0.7,0.837670384
0.24,0.04,0.72,0.75,0.837670384
0.24,0.04,0.72,0.8,0.837670384
0.24,0.04,0.72,0.85,0.837670384
0.24,0.04,0.72,0.95,0.837670384
0.24,0.08,0.68,0.75,0.837670384
0.24,0.08,0.68,0.8,0.837670384
0.24,0.08,0.68,0.85,0.837670384
0.24,0.08,0.68,0.9,0.837670384
0.24,0.08,0.68,0.95,0.837670384
0.28,0,0.72,0.5,0.837670384
0.28,0,0.72,0.55,0.837670384
0.28,0,0.72,0.6,0.837670384
0.28,0,0.72,0.65,0.837670384
0.28,0,0.72,0.95,0.837670384
0.28,0.04,0.68,0.65,0.837670384
0.28,0.04,0.68,0.7,0.837670384
0.28,0.04,0.68,0.75,0.837670384
0.28,0.04,0.68,0.9,0.837670384
