task,worker,answer
0,49,6
0,33,6
0,0,7
0,1,4
0,79,6
1,91,8
1,54,3
1,10,8
1,38,8
1,89,5
2,37,6
2,84,8
2,34,3
2,5,7
2,1,5
3,72,2
3,42,6
3,76,3
3,39,6
3,64,6
4,64,4
4,54,4
4,63,4
4,81,4
5,53,4
5,10,2
5,46,2
5,97,2
5,73,6
6,32,6
6,92,6
6,42,6
6,15,3
6,20,1
7,66,0
7,16,3
7,98,3
7,50,3
8,98,8
8,15,3
8,29,8
8,99,3
8,24,8
9,51,2
9,69,2
9,5,1
10,45,1
10,31,0
10,69,9
10,92,4
10,26,2
11,18,6
11,86,5
11,33,6
11,39,3
11,12,9
12,81,0
12,89,0
12,83,6
12,39,0
12,46,2
13,91,9
13,99,9
13,89,2
13,80,5
13,84,6
14,35,2
14,62,2
14,52,2
14,84,2
14,69,1
15,30,5
15,24,8
15,47,2
15,7,3
15,41,5
16,44,1
16,49,1
16,62,9
16,10,1
16,58,1
17,39,5
17,0,5
17,93,5
17,62,0
17,53,5
18,29,5
18,92,8
18,98,7
18,20,1
18,63,1
19,1,2
19,56,6
19,29,6
19,17,5
19,9,7
20,6,9
20,52,7
20,64,7
20,43,7
20,39,7
21,62,1
21,61,4
21,48,5
21,58,1
21,71,0
22,66,7
22,82,8
22,20,7
22,22,8
22,0,8
23,12,1
23,17,0
23,45,7
23,84,0
23,49,0
24,17,0
24,84,5
24,87,1
24,93,9
24,3,4
25,95,2
25,59,2
25,70,4
25,85,6
25,63,1
26,38,2
26,7,3
26,18,5
26,42,4
27,58,7
27,30,7
27,1,7
27,64,7
28,36,9
28,11,7
28,27,0
28,21,2
28,74,0
29,21,7
29,59,8
29,50,8
29,26,8
29,62,2
30,22,9
30,48,3
30,78,1
30,80,9
30,66,6
31,12,5
31,98,5
31,32,5
31,81,2
31,75,5
32,29,3
32,3,9
32,69,9
32,96,3
32,44,3
33,24,7
33,5,7
33,30,7
33,36,4
33,66,7
34,14,3
34,29,3
34,86,3
34,81,6
34,80,8
35,21,3
35,15,8
35,55,3
35,97,3
35,11,9
36,81,6
36,1,8
36,52,6
36,34,7
36,87,5
37,50,6
37,33,0
37,38,5
37,0,0
38,71,9
38,2,9
38,33,2
38,32,9
38,31,9
39,60,5
39,39,7
39,95,5
39,24,4
40,13,3
40,60,4
40,24,9
40,29,9
40,90,9
41,19,7
41,15,1
41,8,1
41,85,1
41,20,1
42,83,9
42,64,7
42,55,6
42,21,7
42,59,9
43,60,0
43,81,2
43,36,2
43,56,0
43,80,2
44,74,9
44,53,0
44,21,9
44,11,5
44,64,9
45,65,2
45,67,5
45,27,4
45,79,7
45,88,7
46,33,7
46,69,3
46,14,3
46,3,2
46,43,7
47,22,0
47,96,3
47,87,9
47,52,5
47,76,3
48,78,7
48,19,4
48,88,7
48,63,7
48,75,7
49,56,9
49,60,5
49,40,1
49,93,4
49,42,4
50,74,0
50,16,0
50,8,0
50,43,0
50,54,0
51,4,8
51,82,6
51,80,6
51,39,6
52,69,5
52,38,2
52,91,5
52,10,5
52,62,5
53,70,3
53,64,3
53,83,0
53,75,0
53,67,0
54,44,4
54,52,8
54,48,8
54,73,1
54,92,3
55,50,6
55,46,6
55,32,6
55,64,6
55,0,6
56,42,4
56,75,0
56,54,9
56,21,1
56,98,8
57,88,9
57,43,4
57,28,2
57,80,2
57,27,6
58,61,4
58,98,8
58,40,4
58,76,7
58,71,4
59,97,3
59,14,3
59,87,3
59,29,5
59,90,3
60,65,5
60,71,2
60,10,8
60,12,8
60,8,8
61,16,8
61,27,7
61,66,0
61,47,8
61,68,4
62,42,6
62,83,7
62,77,3
62,71,2
62,87,6
63,60,5
63,39,5
63,67,6
63,6,8
63,59,2
64,48,2
64,89,1
64,40,1
64,81,2
64,19,0
65,76,6
65,8,3
65,65,3
65,10,5
65,2,3
66,98,5
66,89,2
66,26,2
66,68,5
67,31,5
67,72,3
67,12,4
67,82,0
67,19,5
68,16,8
68,13,0
68,19,6
68,15,6
68,56,2
69,61,1
69,76,1
69,62,7
69,5,1
69,27,0
70,15,9
70,32,7
70,34,4
70,78,1
70,74,2
71,73,3
71,35,0
