question,worker,answer
1,1,10
2,1,144
3,1,131
4,1,129
5,1,15
6,1,132
7,1,120
8,1,131
9,1,139
10,1,17
11,1,131
12,1,139
13,1,142
14,1,8
15,1,120
16,1,143
17,1,139
18,1,134
19,1,10
20,1,146
21,1,137
22,1,146
23,1,69
24,1,10
25,1,9
26,1,132
27,1,8
28,1,69
29,1,133
30,1,7
31,1,146
32,1,132
33,1,18
34,1,10
35,1,15
36,1,81
37,1,132
38,1,140
39,1,10
40,1,139
41,1,133
42,1,7
43,1,7
44,1,131
45,1,135
46,1,147
47,1,16
48,1,43
49,6,148
50,6,148
51,5,2
52,5,147
53,5,145
54,5,145
55,5,145
56,5,145
57,5,9
58,5,11
59,5,6
60,5,2
61,6,148
62,6,148
63,9,143
64,9,149
65,9,138
66,9,10
67,9,8
68,9,131
69,9,139
70,9,131
71,8,148
72,8,144
73,9,129
74,9,140
75,9,127
76,9,132
77,9,143
78,9,8
79,9,120
80,9,133
81,9,129
82,9,129
83,9,43
84,9,144
85,9,16
86,9,42
87,9,119
88,9,42
89,9,133
90,9,132
91,9,148
92,9,144
93,9,139
94,9,31
95,9,128
96,9,18
97,9,16
98,9,16
99,9,18
100,9,127
101,9,81
102,9,16
103,9,45
104,9,43
105,9,16
106,9,82
107,9,129
108,9,139
109,23,133
110,23,9
111,23,134
112,23,148
113,23,10
114,23,9
115,23,131
116,23,121
117,23,131
118,9,132
119,9,144
120,9,129
121,1,76
122,1,144
123,1,119
124,1,11
125,1,131
126,1,142
127,1,129
128,1,38
129,1,135
130,1,47
131,1,129
132,1,144
133,24,132
134,24,133
135,24,11
136,24,134
137,24,134
138,24,8
139,24,9
140,24,149
141,24,129
142,24,10
143,24,132
144,24,133
145,24,129
146,24,135
147,24,8
148,24,9
149,24,131
150,24,15
151,24,8
152,24,141
153,24,141
154,24,129
155,24,134
156,24,131
157,24,131
158,24,134
159,24,141
160,24,149
161,24,132
162,24,135
163,24,133
164,24,10
165,24,17
166,24,19
167,24,129
168,32,129
169,32,129
170,32,129
171,32,129
172,32,129
173,32,129
174,32,129
175,32,129
176,32,129
177,32,129
178,32,129
179,32,129
180,32,129
181,32,129
182,32,129
183,32,129
184,32,129
185,32,129
186,32,129
187,32,129
188,32,129
189,32,129
190,32,129
191,32,129
192,32,129
193,32,129
194,32,129
195,32,129
196,32,129
197,32,129
198,32,129
199,32,129
200,32,129
201,32,129
202,22,2
203,33,136
204,38,93
205,35,6
206,43,93
207,43,2
208,43,93
209,43,93
210,43,93
211,43,15
212,43,15
213,43,93
214,43,129
