truth,label,probability
1,1,0.75
1,2,0.25
1,3,0.25
1,4,0.25
1,5,0.25
1,6,0.25
1,7,0.25
1,8,0.25
1,9,0.25
1,10,0.25
1,11,0.25
1,12,0.25
1,13,0.25
1,14,0.25
1,15,0.25
1,16,0.25
1,17,0.25
1,18,0.25
1,19,0.25
1,20,0.25
1,21,0.25
1,22,0.25
1,23,0.25
1,24,0.25
1,25,0.25
1,26,0.25
1,27,0.25
1,28,0.25
1,29,0.25
1,30,0.25
1,31,0.25
1,32,0.25
1,33,0.25
1,34,0.25
1,35,0.25
1,36,0.25
1,37,0.25
1,38,0.25
1,39,0.25
1,40,0.25
1,41,0.25
1,42,0.25
1,43,0.25
1,44,0.25
1,45,0.25
1,46,0.25
1,47,0.25
1,48,0.25
1,49,0.25
1,50,0.25
1,51,0.25
1,52,0.25
1,53,0.25
1,54,0.25
1,55,0.25
1,56,0.25
1,57,0.25
1,58,0.25
1,59,0.25
1,60,0.25
1,61,0.25
1,62,0.25
1,63,0.25
1,64,0.25
1,65,0.25
1,66,0.25
1,67,0.25
1,68,0.25
1,69,0.25
1,70,0.25
1,71,0.25
1,72,0.25
1,73,0.25
1,74,0.25
1,75,0.25
1,76,0.25
1,77,0.25
1,78,0.25
1,79,0.25
1,80,0.25
1,81,0.25
1,82,0.25
1,83,0.25
1,84,0.25
1,85,0.25
1,86,0.25
1,87,0.25
1,88,0.25
1,89,0.25
1,90,0.25
1,91,0.25
1,92,0.25
1,93,0.25
1,94,0.25
1,95,0.25
1,96,0.25
1,97,0.25
1,98,0.25
1,99,0.25
1,100,0.25
1,101,0.25
1,102,0.25
1,103,0.25
1,104,0.25
1,105,0.25
1,106,0.25
1,107,0.25
1,108,0.25
1,109,0.25
1,110,0.25
1,111,0.25
1,112,0.25
1,113,0.25
1,114,0.25
1,115,0.25
1,116,0.25
1,117,0.25
1,118,0.25
1,119,0.25
1,120,0.25
1,121,0.25
1,122,0.25
1,123,0.25
1,124,0.25
1,125,0.25
1,126,0.25
1,127,0.25
1,128,0.25
1,129,0.25
1,130,0.25
1,131,0.25
1,132,0.25
1,133,0.25
1,134,0.25
1,135,0.25
1,136,0.25
1,137,0.25
1,138,0.25
1,139,0.25
1,140,0.25
1,141,0.25
1,142,0.25
1,143,0.25
1,144,0.25
1,145,0.25
1,146,0.25
1,147,0.25
1,148,0.25
1,149,0.25
2,1,0.75
2,2,0.75
2,3,0.25
2,4,0.25
2,5,0.25
2,6,0.25
2,7,0.25
2,8,0.25
2,9,0.25
2,10,0.25
2,11,0.25
2,12,0.25
2,13,0.25
2,14,0.25
2,15,0.25
2,16,0.25
2,17,0.25
2,18,0.25
