task,worker,answer
81991158,527,0
81213904,727,1
81178016,1886,0
79187315,408,3
79194028,1674,0
79195594,1674,2
79195142,1770,2
79187315,1258,3
79187357,1454,3
80053403,21,1
81993136,161,0
81991877,1807,2
80059203,692,1
81992855,12,2
81177034,1450,0
79189295,1701,3
79193796,1472,1
80051992,954,2
79187199,1919,2
81211801,1861,1
80052652,758,3
79196748,1175,2
81213961,1614,3
81170184,1666,3
79186651,910,0
81988861,1071,0
79197151,1286,0
81176672,1103,2
80058771,1519,1
80057656,12,3
80057291,859,1
81172598,712,2
81178007,75,1
81213726,927,1
81170419,720,2
81174165,1933,3
79193917,1017,1
81176923,100,2
80052225,311,1
79195594,1258,2
81990891,1272,1
80056863,1082,3
81177034,408,1
79193796,1750,1
81177034,1719,4
81213374,1100,3
81990635,249,3
81992074,1393,0
81991756,1296,3
79189341,1622,3
81177456,1830,0
80052652,570,3
81991330,577,2
81991158,249,0
80053247,1723,3
79197928,900,2
80052652,745,3
81993022,1400,0
79193917,1252,4
80058211,927,3
81177955,1149,1
81988861,829,0
79197417,782,2
80057340,1149,3
79197871,613,3
81991152,1775,3
81992249,148,0
79186569,782,1
80050064,1491,1
81991168,926,4
81215682,71,3
80058172,1514,4
80057405,467,3
81176286,221,2
80050966,1674,3
80052151,289,2
79185724,353,1
79196748,733,2
81174459,727,1
81179473,605,2
80056866,1567,3
81176951,429,1
80058437,21,4
79188846,476,1
81174487,1830,0
80057334,862,3
81991152,1940,3
81991738,1400,0
79195148,1347,3
81177034,841,1
79194933,194,4
81215052,1565,1
81990891,249,0
80059915,1338,3
81213874,1357,3
81991227,1357,0
81173459,716,3
80056218,287,2
79195022,708,4
79196748,433,2
81176894,775,3
81171771,932,3
79193752,894,2
81989954,1400,1
81177780,605,0
79197928,1840,2
80056520,1329,2
81177955,1726,1
79190118,374,2
81176534,1424,1
81214228,1578,2
80058771,1956,3
81177456,932,0
81215682,1540,3
80059799,884,1
80058809,1356,3
80056141,614,2
79189341,504,3
79195829,1314,0
79196176,911,3
80053613,1687,1
81174459,100,1
79185724,1638,4
81172069,816,3
80051992,1936,1
80050966,1472,3
81179800,420,1
81211801,1572,1
79188846,1565,1
79185673,708,0
81169556,1869,3
80058172,38,2
79187357,1347,1
81172077,688,2
81993022,1660,3
79189773,911,2
81988861,1204,0
80059045,409,0
81990447,1226,0
81213627,632,3
80050881,1846,3
81993620,961,3
81214513,1424,3
79186665,1770,1
81170184,1687,3
81990273,249,1
81992487,1442,0
81176504,1393,1
79196748,1325,2
80050144,1421,1
81988861,1566,0
81169563,1066,0
79197563,1393,1
80050625,1246,0
79197928,1103,2
80054009,1701,2
81212019,1527,1
80059118,1564,0
80050679,286,4
81178821,356,2
81174487,258,4
80058437,1338,4
79197503,614,2
81172701,165,3
80058539,17,2
81988861,353,0
81170419,711,2
79187315,5,3
81177838,1357,3
80059221,901,3
80053613,1752,1
79185724,703,1
81990560,796,2
81990794,961,4
79186651,1512,0
79197928,1745,2
79186749,726,2
81213147,1775,2
80056789,538,2
81213726,275,1
80050679,932,2
80056767,38,1
80056789,1752,2
81170491,1194,1
80058229,527,3
81215474,186,0
80059118,538,3
79187199,27,3
79194027,1009,3
81993022,901,0
79195022,1347,3
79188512,1454,0
79195829,110,0
81993145,354,0
79195594,420,2
81178980,906,2
80058749,1286,1
81988861,1109,0
80059119,1334,3
81172701,711,3
81169556,720,3
81170861,628,0
81215682,221,3
79187165,911,2
79187143,911,3
81179349,249,1
79197023,360,3
79188084,782,3
81991018,19,2
81993620,388,3
80059338,1544,1
81990273,1907,1
81176504,1100,1
80058749,1753,1
81988861,249,0
81212076,255,1
81992795,503,3
79186190,1502,2
81988861,1393,0
81993620,14,3
79197903,186,0
80051237,882,1
79197229,1840,3
81992407,503,3
79196060,71,3
80050679,186,1
80050966,758,3
81992407,1901,0
79194811,527,1
81991860,961,3
79196060,573,2
79193917,1188,0
80050271,27,3
79193752,59,2
81172348,1726,0
81988861,816,0
79196748,905,3
80058437,1356,3
81991465,1393,1
81171616,429,4
81172057,745,1
81991158,1365,0
81991152,577,3
80054061,1593,2
81989954,1245,1
81993145,613,1
81177780,1687,0
80057006,786,3
80051488,1258,3
81988861,932,0
81215835,961,3
80051197,1071,3
81990794,71,0
80057334,173,3
81992011,986,4
81991227,1550,0
80053599,1097,1
81178016,420,4
81214896,75,2
81993382,1566,3
80053749,670,2
81990794,249,0
79189357,433,0
80056767,467,2
79189773,320,2
80056141,1436,2
81992249,613,0
81176574,775,1
81178513,1100,3
80059079,1846,2
79197563,476,1
80057477,634,1
81992795,775,3
79187357,504,2
81172701,775,3
79185724,165,0
81992249,527,0
81215467,644,3
81170369,727,3
80056866,882,3
80058809,856,3
80057340,782,3
