truth,label,probability
1,1,0.7684210526315789
1,4,0.03684210526315789
1,0,0.05789473684210526
1,3,0.08421052631578947
1,2,0.05263157894736842
2,2,0.7277227722772277
2,1,0.12871287128712872
2,3,0.06930693069306931
2,4,0.034653465346534656
2,0,0.039603960396039604
3,3,0.897119341563786
3,0,0.0205761316872428
3,2,0.01646090534979424
3,4,0.037037037037037035
3,1,0.02880658436213992
4,1,0.30952380952380953
4,0,0.14285714285714285
4,2,0.14285714285714285
4,4,0.2857142857142857
4,3,0.11904761904761904
0,0,0.6797752808988764
0,3,0.06179775280898876
0,4,0.06741573033707865
0,1,0.15168539325842698
0,2,0.03932584269662921
