worker,community
613,community9
1103,community14
961,community11
1393,community15
932,community14
1770,community16
1472,community20
758,community8
745,community17
186,community13
1175,community13
1149,community17
467,community20
38,community12
249,community20
1846,community15
1840,community17
1775,community15
1357,community17
1347,community20
1171,community20
100,community15
911,community17
901,community20
800,community8
782,community17
527,community17
1933,community20
1614,community17
1566,community14
1258,community14
816,community16
775,community20
