task,worker,answer
disco.00091.mp3,AK0F484W5TBJ4,10
country.00091.mp3,A1G05O3HM7DNVZ,1
disco.00005.mp3,A1FUBGE9CHDHU6,3
jazz.00009.mp3,A1OB2UYMHESJIQ,2
jazz.00067.mp3,A1OB2UYMHESJIQ,2
disco.00014.mp3,A1OB2UYMHESJIQ,3
hiphop.00089.mp3,A1G05O3HM7DNVZ,10
classical.00021.mp3,AK0F484W5TBJ4,5
reggae.00061.mp3,A242LCRYG0BH30,5
classical.00047.mp3,AC6QZ6VSEIYK1,8
country.00008.mp3,AQEVAKQLI09EN,1
pop.00095.mp3,A32CMQGGTSUK6Z,4
reggae.00002.mp3,A2PQHWG79HDCX6,5
disco.00058.mp3,AK0F484W5TBJ4,4
country.00001.mp3,AC6QZ6VSEIYK1,1
disco.00090.mp3,AQEVAKQLI09EN,3
reggae.00007.mp3,AL12RG9EJZ60,9
pop.00070.mp3,AL12RG9EJZ60,3
jazz.00012.mp3,ANCNIZC2AB5Z8,2
disco.00064.mp3,A646R8SV0S04Y,3
classical.00015.mp3,A1G05O3HM7DNVZ,8
classical.00069.mp3,A2PQHWG79HDCX6,8
reggae.00007.mp3,A646R8SV0S04Y,5
metal.00073.mp3,A1G05O3HM7DNVZ,6
reggae.00043.mp3,A1G05O3HM7DNVZ,5
pop.00004.mp3,A3AWC4P8QUK1XB,4
country.00090.mp3,AL12RG9EJZ60,8
jazz.00044.mp3,A1MGP6RT6R6HS7,2
jazz.00027.mp3,A242LCRYG0BH30,7
metal.00052.mp3,A175ZTL2OZO9YU,9
classical.00070.mp3,A1N274L13ZKKI5,8
metal.00015.mp3,A2PQHWG79HDCX6,9
hiphop.00052.mp3,AL12RG9EJZ60,6
hiphop.00014.mp3,A12YUYYSIZ8GT2,6
disco.00088.mp3,A1N274L13ZKKI5,3
disco.00065.mp3,A1F4D2PZ7NNWTL,3
jazz.00024.mp3,A1OB2UYMHESJIQ,2
metal.00046.mp3,A1G05O3HM7DNVZ,6
rock.00074.mp3,A3546X291KZ1PV,6
jazz.00084.mp3,AL12RG9EJZ60,3
jazz.00057.mp3,A2PQHWG79HDCX6,2
disco.00077.mp3,A242LCRYG0BH30,5
pop.00008.mp3,A2PQHWG79HDCX6,4
rock.00055.mp3,A2PQHWG79HDCX6,2
metal.00024.mp3,A3546X291KZ1PV,6
classical.00078.mp3,AL12RG9EJZ60,4
country.00032.mp3,A1GEAO2U4ZR253,1
disco.00094.mp3,A1G05O3HM7DNVZ,4
disco.00007.mp3,A2PQHWG79HDCX6,4
metal.00069.mp3,A2PQHWG79HDCX6,6
metal.00037.mp3,A2PQHWG79HDCX6,6
rock.00054.mp3,A242LCRYG0BH30,1
classical.00064.mp3,A175ZTL2OZO9YU,8
classical.00057.mp3,AK0F484W5TBJ4,9
hiphop.00028.mp3,A3G4O512F59PH0,10
jazz.00089.mp3,A1MGP6RT6R6HS7,2
reggae.00040.mp3,A1N274L13ZKKI5,5
