truth,label,probability
2,2,0.6506024096385542
2,7,0.06626506024096386
2,5,0.04819277108433735
2,8,0.04216867469879518
2,9,0.03614457831325301
2,6,0.03614457831325301
2,4,0.024096385542168676
2,1,0.030120481927710843
2,10,0.03614457831325301
2,3,0.030120481927710843
3,3,0.4911242603550296
3,4,0.14792899408284024
3,5,0.047337278106508875
3,2,0.023668639053254437
3,1,0.05917159763313609
3,7,0.08284023668639054
3,10,0.07100591715976332
3,9,0.03550295857988166
3,6,0.01775147928994083
3,8,0.023668639053254437
10,10,0.5886524822695035
10,6,0.0425531914893617
10,4,0.0851063829787234
10,5,0.06382978723404255
10,9,0.06382978723404255
10,7,0.03546099290780142
10,8,0.02127659574468085
10,2,0.02127659574468085
10,3,0.04964539007092199
10,1,0.028368794326241134
8,5,0.04938271604938271
8,8,0.7037037037037037
8,6,0.024691358024691357
8,4,0.037037037037037035
8,3,0.043209876543209874
8,2,0.037037037037037035
8,1,0.030864197530864196
8,9,0.030864197530864196
8,10,0.018518518518518517
8,7,0.024691358024691357
1,1,0.5897435897435898
1,10,0.02564102564102564
1,5,0.05128205128205128
1,9,0.02564102564102564
1,2,0.038461538461538464
1,6,0.038461538461538464
1,4,0.08974358974358974
1,3,0.04487179487179487
1,7,0.0641025641025641
1,8,0.03205128205128205
4,3,0.05333333333333334
4,4,0.58
4,2,0.04666666666666667
4,7,0.03333333333333333
4,10,0.08
4,6,0.04666666666666667
4,1,0.06
4,8,0.013333333333333334
4,5,0.05333333333333334
4,9,0.03333333333333333
9,6,0.3353658536585366
9,5,0.054878048780487805
9,9,0.3597560975609756
9,4,0.054878048780487805
9,1,0.03048780487804878
9,10,0.018292682926829267
9,3,0.018292682926829267
9,7,0.06097560975609756
9,2,0.03048780487804878
9,8,0.036585365853658534
6,6,0.3269230769230769
6,2,0.04487179487179487
6,1,0.0641025641025641
6,10,0.019230769230769232
6,5,0.10256410256410256
6,4,0.21794871794871795
6,9,0.057692307692307696
6,3,0.05128205128205128
6,7,0.07692307692307693
6,8,0.038461538461538464
7,7,0.5095541401273885
7,9,0.044585987261146494
7,4,0.08280254777070063
7,1,0.12738853503184713
7,8,0.03184713375796178
7,5,0.050955414012738856
7,2,0.044585987261146494
7,10,0.03184713375796178
7,6,0.050955414012738856
7,3,0.025477707006369428
5,7,0.06993006993006994
5,5,0.5734265734265734
5,10,0.07692307692307693
5,6,0.04195804195804196
5,4,0.06293706293706294
5,3,0.03496503496503497
5,1,0.03496503496503497
5,2,0.04195804195804196
5,8,0.04195804195804196
5,9,0.02097902097902098
