task,worker,answer
country.00072.mp3,A12YUYYSIZ8GT2,country
disco.00041.mp3,A12YUYYSIZ8GT2,pop
jazz.00059.mp3,A12YUYYSIZ8GT2,jazz
country.00064.mp3,A12YUYYSIZ8GT2,pop
country.00088.mp3,A12YUYYSIZ8GT2,country
jazz.00057.mp3,A12YUYYSIZ8GT2,jazz
disco.00056.mp3,A12YUYYSIZ8GT2,pop
reggae.00095.mp3,A12YUYYSIZ8GT2,blues
rock.00052.mp3,A12YUYYSIZ8GT2,pop
reggae.00021.mp3,A12YUYYSIZ8GT2,reggae
rock.00076.mp3,A12YUYYSIZ8GT2,rock
pop.00083.mp3,A12YUYYSIZ8GT2,pop
reggae.00041.mp3,A12YUYYSIZ8GT2,reggae
blues.00079.mp3,A12YUYYSIZ8GT2,blues
blues.00048.mp3,A12YUYYSIZ8GT2,blues
metal.00099.mp3,A12YUYYSIZ8GT2,rock
jazz.00043.mp3,A12YUYYSIZ8GT2,jazz
classical.00028.mp3,A12YUYYSIZ8GT2,classical
reggae.00018.mp3,A12YUYYSIZ8GT2,reggae
disco.00074.mp3,A12YUYYSIZ8GT2,disco
country.00081.mp3,A12YUYYSIZ8GT2,country
rock.00011.mp3,A12YUYYSIZ8GT2,pop
rock.00098.mp3,A12YUYYSIZ8GT2,rock
blues.00059.mp3,A12YUYYSIZ8GT2,blues
rock.00021.mp3,A12YUYYSIZ8GT2,country
reggae.00065.mp3,A12YUYYSIZ8GT2,reggae
country.00090.mp3,A12YUYYSIZ8GT2,country
reggae.00029.mp3,A12YUYYSIZ8GT2,reggae
pop.00097.mp3,A12YUYYSIZ8GT2,pop
reggae.00093.mp3,A12YUYYSIZ8GT2,reggae
rock.00056.mp3,A12YUYYSIZ8GT2,rock
reggae.00040.mp3,A12YUYYSIZ8GT2,reggae
disco.00028.mp3,A12YUYYSIZ8GT2,pop
country.00029.mp3,A12YUYYSIZ8GT2,country
jazz.00012.mp3,A12YUYYSIZ8GT2,jazz
country.00018.mp3,A12YUYYSIZ8GT2,country
jazz.00066.mp3,A12YUYYSIZ8GT2,jazz
rock.00033.mp3,A12YUYYSIZ8GT2,rock
hiphop.00014.mp3,A12YUYYSIZ8GT2,rock
jazz.00089.mp3,A12YUYYSIZ8GT2,jazz
hiphop.00072.mp3,A12YUYYSIZ8GT2,hiphop
jazz.00035.mp3,A12YUYYSIZ8GT2,jazz
jazz.00078.mp3,A12YUYYSIZ8GT2,jazz
hiphop.00091.mp3,A12YUYYSIZ8GT2,hiphop
hiphop.00025.mp3,A12YUYYSIZ8GT2,hiphop
hiphop.00040.mp3,A12YUYYSIZ8GT2,pop
reggae.00074.mp3,A12YUYYSIZ8GT2,hiphop
hiphop.00069.mp3,A12YUYYSIZ8GT2,hiphop
classical.00072.mp3,A12YUYYSIZ8GT2,classical
blues.00067.mp3,A12YUYYSIZ8GT2,blues
rock.00079.mp3,A12YUYYSIZ8GT2,rock
pop.00002.mp3,A12YUYYSIZ8GT2,pop
jazz.00092.mp3,A12YUYYSIZ8GT2,jazz
country.00074.mp3,A12YUYYSIZ8GT2,country
blues.00000.mp3,A12YUYYSIZ8GT2,blues
disco.00064.mp3,A12YUYYSIZ8GT2,disco
metal.00038.mp3,A12YUYYSIZ8GT2,metal
disco.00088.mp3,A14XY4KSUATVAA,disco
hiphop.00093.mp3,A14XY4KSUATVAA,hiphop
disco.00082.mp3,A14XY4KSUATVAA,pop
metal.00037.mp3,A14XY4KSUATVAA,rock
blues.00051.mp3,A14XY4KSUATVAA,country
