task,community
rock.00084.mp3,rock
rock.00002.mp3,rock
reggae.00065.mp3,reggae
pop.00028.mp3,pop
metal.00005.mp3,metal
disco.00082.mp3,disco
disco.00048.mp3,disco
classical.00029.mp3,classical
blues.00023.mp3,blues
rock.00092.mp3,rock
rock.00079.mp3,rock
rock.00076.mp3,rock
rock.00038.mp3,rock
rock.00001.mp3,rock
reggae.00037.mp3,reggae
reggae.00026.mp3,reggae
pop.00083.mp3,pop
pop.00037.mp3,pop
metal.00092.mp3,metal
metal.00087.mp3,metal
metal.00084.mp3,metal
metal.00058.mp3,metal
metal.00031.mp3,metal
jazz.00083.mp3,jazz
jazz.00063.mp3,jazz
jazz.00053.mp3,jazz
jazz.00019.mp3,jazz
jazz.00014.mp3,jazz
jazz.00012.mp3,jazz
hiphop.00054.mp3,hiphop
hiphop.00041.mp3,hiphop
hiphop.00032.mp3,hiphop
hiphop.00028.mp3,hiphop
hiphop.00025.mp3,hiphop
disco.00020.mp3,disco
disco.00017.mp3,disco
classical.00089.mp3,classical
classical.00052.mp3,classical
classical.00023.mp3,classical
classical.00021.mp3,classical
blues.00063.mp3,blues
blues.00059.mp3,blues
blues.00055.mp3,blues
blues.00051.mp3,blues
blues.00025.mp3,blues
blues.00022.mp3,blues
blues.00019.mp3,blues
rock.00085.mp3,rock
rock.00078.mp3,rock
rock.00055.mp3,rock
rock.00054.mp3,rock
rock.00052.mp3,rock
rock.00051.mp3,rock
rock.00039.mp3,rock
rock.00034.mp3,rock
rock.00033.mp3,rock
rock.00009.mp3,rock
reggae.00095.mp3,reggae
reggae.00060.mp3,reggae
reggae.00046.mp3,reggae
reggae.00042.mp3,reggae
reggae.00018.mp3,reggae
reggae.00007.mp3,reggae
reggae.00003.mp3,reggae
pop.00091.mp3,pop
pop.00089.mp3,pop
pop.00084.mp3,pop
pop.00067.mp3,pop
pop.00007.mp3,pop
metal.00093.mp3,metal
metal.00085.mp3,metal
metal.00070.mp3,metal
metal.00069.mp3,metal
metal.00067.mp3,metal
metal.00066.mp3,metal
metal.00060.mp3,metal
metal.00057.mp3,metal
metal.00054.mp3,metal
metal.00052.mp3,metal
metal.00038.mp3,metal
metal.00029.mp3,metal
metal.00017.mp3,metal
metal.00004.mp3,metal
jazz.00099.mp3,jazz
jazz.00098.mp3,jazz
jazz.00092.mp3,jazz
jazz.00089.mp3,jazz
jazz.00080.mp3,jazz
jazz.00079.mp3,jazz
jazz.00078.mp3,jazz
jazz.00076.mp3,jazz
jazz.00067.mp3,jazz
jazz.00066.mp3,jazz
jazz.00062.mp3,jazz
jazz.00056.mp3,jazz
jazz.00043.mp3,jazz
jazz.00031.mp3,jazz
jazz.00017.mp3,jazz
hiphop.00068.mp3,hiphop
hiphop.00063.mp3,hiphop
hiphop.00061.mp3,hiphop
hiphop.00047.mp3,hiphop
hiphop.00046.mp3,hiphop
hiphop.00014.mp3,hiphop
hiphop.00009.mp3,hiphop
hiphop.00006.mp3,hiphop
disco.00093.mp3,disco
disco.00077.mp3,disco
