task,truth
country.00072.mp3,country
disco.00041.mp3,disco
jazz.00059.mp3,jazz
country.00064.mp3,country
country.00088.mp3,country
jazz.00057.mp3,jazz
disco.00056.mp3,disco
reggae.00095.mp3,reggae
rock.00052.mp3,rock
reggae.00021.mp3,reggae
rock.00076.mp3,rock
pop.00083.mp3,pop
reggae.00041.mp3,reggae
blues.00079.mp3,blues
blues.00048.mp3,blues
metal.00099.mp3,metal
jazz.00043.mp3,jazz
classical.00028.mp3,classical
reggae.00018.mp3,reggae
disco.00074.mp3,disco
country.00081.mp3,country
rock.00011.mp3,rock
rock.00098.mp3,rock
blues.00059.mp3,blues
rock.00021.mp3,rock
reggae.00065.mp3,reggae
country.00090.mp3,country
reggae.00029.mp3,reggae
pop.00097.mp3,pop
reggae.00093.mp3,reggae
rock.00056.mp3,rock
reggae.00040.mp3,reggae
disco.00028.mp3,disco
country.00029.mp3,country
jazz.00012.mp3,jazz
country.00018.mp3,country
jazz.00066.mp3,jazz
rock.00033.mp3,rock
hiphop.00014.mp3,hiphop
jazz.00089.mp3,jazz
hiphop.00072.mp3,hiphop
jazz.00035.mp3,jazz
jazz.00078.mp3,jazz
hiphop.00091.mp3,hiphop
hiphop.00025.mp3,hiphop
hiphop.00040.mp3,hiphop
reggae.00074.mp3,reggae
hiphop.00069.mp3,hiphop
classical.00072.mp3,classical
blues.00067.mp3,blues
rock.00079.mp3,rock
pop.00002.mp3,pop
jazz.00092.mp3,jazz
country.00074.mp3,country
blues.00000.mp3,blues
disco.00064.mp3,disco
metal.00038.mp3,metal
disco.00088.mp3,disco
hiphop.00093.mp3,hiphop
disco.00082.mp3,disco
metal.00037.mp3,metal
blues.00051.mp3,blues
blues.00045.mp3,blues
reggae.00081.mp3,reggae
disco.00068.mp3,disco
metal.00022.mp3,metal
rock.00030.mp3,rock
classical.00036.mp3,classical
reggae.00068.mp3,reggae
disco.00033.mp3,disco
metal.00058.mp3,metal
metal.00052.mp3,metal
classical.00057.mp3,classical
metal.00080.mp3,metal
classical.00020.mp3,classical
reggae.00007.mp3,reggae
rock.00009.mp3,rock
blues.00006.mp3,blues
hiphop.00046.mp3,hiphop
blues.00085.mp3,blues
hiphop.00006.mp3,hiphop
jazz.00053.mp3,jazz
classical.00064.mp3,classical
disco.00065.mp3,disco
pop.00008.mp3,pop
rock.00023.mp3,rock
country.00011.mp3,country
country.00028.mp3,country
blues.00023.mp3,blues
classical.00075.mp3,classical
rock.00078.mp3,rock
jazz.00025.mp3,jazz
country.00027.mp3,country
jazz.00063.mp3,jazz
blues.00038.mp3,blues
metal.00092.mp3,metal
pop.00070.mp3,pop
country.00089.mp3,country
classical.00004.mp3,classical
blues.00003.mp3,blues
rock.00054.mp3,rock
jazz.00010.mp3,jazz
disco.00005.mp3,disco
jazz.00047.mp3,jazz
disco.00090.mp3,disco
disco.00044.mp3,disco
reggae.00002.mp3,reggae
hiphop.00061.mp3,hiphop
country.00014.mp3,country
pop.00010.mp3,pop
pop.00038.mp3,pop
disco.00092.mp3,disco
metal.00028.mp3,metal
pop.00093.mp3,pop
country.00051.mp3,country
blues.00012.mp3,blues
jazz.00070.mp3,jazz
country.00007.mp3,country
reggae.00010.mp3,reggae
jazz.00029.mp3,jazz
blues.00041.mp3,blues
hiphop.00010.mp3,hiphop
country.00040.mp3,country
disco.00071.mp3,disco
disco.00081.mp3,disco
metal.00011.mp3,metal
reggae.00063.mp3,reggae
reggae.00049.mp3,reggae
disco.00047.mp3,disco
blues.00001.mp3,blues
pop.00009.mp3,pop
reggae.00085.mp3,reggae
rock.00061.mp3,rock
jazz.00058.mp3,jazz
jazz.00075.mp3,jazz
metal.00071.mp3,metal
metal.00076.mp3,metal
country.00004.mp3,country
pop.00087.mp3,pop
country.00087.mp3,country
jazz.00018.mp3,jazz
reggae.00067.mp3,reggae
pop.00003.mp3,pop
rock.00069.mp3,rock
classical.00045.mp3,classical
pop.00074.mp3,pop
rock.00097.mp3,rock
classical.00094.mp3,classical
jazz.00094.mp3,jazz
disco.00097.mp3,disco
country.00070.mp3,country
rock.00000.mp3,rock
pop.00090.mp3,pop
reggae.00099.mp3,reggae
blues.00013.mp3,blues
rock.00057.mp3,rock
rock.00025.mp3,rock
country.00016.mp3,country
metal.00020.mp3,metal
hiphop.00022.mp3,hiphop
disco.00034.mp3,disco
jazz.00065.mp3,jazz
metal.00046.mp3,metal
hiphop.00055.mp3,hiphop
rock.00024.mp3,rock
pop.00042.mp3,pop
blues.00052.mp3,blues
disco.00099.mp3,disco
metal.00074.mp3,metal
country.00075.mp3,country
rock.00093.mp3,rock
country.00015.mp3,country
country.00033.mp3,country
rock.00018.mp3,rock
metal.00019.mp3,metal
metal.00073.mp3,metal
blues.00040.mp3,blues
classical.00073.mp3,classical
reggae.00090.mp3,reggae
jazz.00081.mp3,jazz
country.00098.mp3,country
metal.00042.mp3,metal
rock.00043.mp3,rock
reggae.00028.mp3,reggae
jazz.00042.mp3,jazz
classical.00013.mp3,classical
disco.00001.mp3,disco
reggae.00019.mp3,reggae
metal.00043.mp3,metal
jazz.00090.mp3,jazz
classical.00060.mp3,classical
classical.00038.mp3,classical
country.00093.mp3,country
pop.00032.mp3,pop
rock.00042.mp3,rock
country.00042.mp3,country
blues.00054.mp3,blues
disco.00086.mp3,disco
country.00036.mp3,country
rock.00014.mp3,rock
hiphop.00051.mp3,hiphop
rock.00046.mp3,rock
disco.00089.mp3,disco
