task,worker,answer
5401,A3IG0TV6T181YE,0
1638,A34XE98BOR60ZJ,1
8908,A4F3BK6J0PCVH,0
3949,A207OR9LV0PAPY,1
7434,A1F12YBG64MNZJ,0
4075,A122JE350RXCLB,1
2868,A207OR9LV0PAPY,0
4548,A3SWVCOJPJM7KQ,1
6938,AD5IKFAK8KN4P,0
1491,A1UB330C1JPJ9I,1
5638,A31A20Z5P0UJBH,0
818,A2AKAKQY8ZLETB,1
6519,A1JH7KENWHOGB7,0
6422,A1NK5S5QJEOLZY,1
6882,A233ONYNWKDIYF,0
1899,A1M8AYAL3L8ACP,1
4226,A207OR9LV0PAPY,1
346,A7JTOYC1DSDIT,1
2891,AFT6VDMD6VGDG,0
5505,A207OR9LV0PAPY,0
8821,A1F4D2PZ7NNWTL,0
8091,A207OR9LV0PAPY,0
6891,A3SO7L7BG8FATV,0
8597,A207OR9LV0PAPY,0
5883,APSHE13X6ZQJI,0
10137,A3UUTCRNGNJAP1,1
246,APPTLVXZD0SKE,1
7883,A2Y9CYI7OICX8U,0
4155,A2CB59Z7X1BFD4,1
10238,A24ZS6FANCA3E5,0
1798,ASG1JM6Y10EXS,0
2935,A119KIC2YMT1HX,0
7907,A207OR9LV0PAPY,1
10172,A24ZS6FANCA3E5,0
2137,A1ZU9OA6B22CWP,1
1635,ARX0S1CIDJLOX,0
8326,A207OR9LV0PAPY,1
4633,A3A5BAO5NT2W8,1
10143,A207OR9LV0PAPY,0
2547,A233ONYNWKDIYF,1
5781,AWJ35HKXU34TE,0
551,A207OR9LV0PAPY,1
10155,A2J4TPLU00ZRYJ,0
4920,A28TXBSZPWMEU9,1
10168,ARX0S1CIDJLOX,0
2716,A24ZS6FANCA3E5,1
9183,A2TI6FZW8DL9E8,0
93,A3UUTCRNGNJAP1,1
704,A3SWVCOJPJM7KQ,1
5859,A207OR9LV0PAPY,1
7515,A2TEWO3WJ5YKGG,0
4033,AL12RG9EJZ60,1
4785,A122JE350RXCLB,1
3625,A207OR9LV0PAPY,1
8215,AZ8KL6F16ZS7G,1
2608,A3KTOGPD4ILUNM,1
8018,A3CFNUD7VR2E1E,0
6903,A207OR9LV0PAPY,0
4424,A122JE350RXCLB,1
10244,A207OR9LV0PAPY,0
4015,A4F3BK6J0PCVH,1
5743,A2JVHE1ESSF6IQ,0
8693,A37OZD4L9W21QK,0
8037,A9J48W1C9IZAI,0
2492,A2JUTTLDE5LGHH,1
4073,ARX0S1CIDJLOX,1
7403,A9MYC5IGQ2DO4,1
7502,A25OJ3H62OYX6B,0
4948,A4F3BK6J0PCVH,1
8941,AD5IKFAK8KN4P,1
3641,AWJ35HKXU34TE,1
5467,A207OR9LV0PAPY,0
5806,ASG1JM6Y10EXS,0
264,A35OGKV242IJ78,1
1627,A1F12YBG64MNZJ,1
3945,ARX0S1CIDJLOX,1
8313,A2N0C6CGQXE2NS,0
7970,A207OR9LV0PAPY,1
7625,A3CFNUD7VR2E1E,0
3201,A122JE350RXCLB,1
5877,A3SWVCOJPJM7KQ,0
4114,A1DM69EDQ1PS9S,0
1847,APPTLVXZD0SKE,1
7399,A3A55IAQ5UNIYW,0
6990,A3UUTCRNGNJAP1,1
9624,A8028AFBBS29G,0
6310,A207OR9LV0PAPY,0
6878,A79CHO3NW2IPO,1
8837,A122JE350RXCLB,1
5900,A207OR9LV0PAPY,0
765,A3A5BAO5NT2W8,1
8140,AN0GCNAAD7MBI,0
9535,A207OR9LV0PAPY,0
4624,A3CFNUD7VR2E1E,1
381,APPTLVXZD0SKE,1
3571,AFT6VDMD6VGDG,1
2206,A3UUTCRNGNJAP1,1
5812,A31X3JCHS0BPFJ,0
2582,ARX0S1CIDJLOX,1
2839,A3O6XMWN8W84L5,1
1884,ARX0S1CIDJLOX,1
1188,A2EISOFPZ8FV23,1
7243,AL12RG9EJZ60,0
869,ARX0S1CIDJLOX,1
3014,A1UB330C1JPJ9I,1
1785,A1WDHA5DK7IX9R,1
2206,A3CFNUD7VR2E1E,1
5221,A207OR9LV0PAPY,1
7287,A3UUTCRNGNJAP1,0
2242,AD5IKFAK8KN4P,1
9248,A3IG0TV6T181YE,0
116,A375JLQN5DZBD7,1
8720,A3UUTCRNGNJAP1,1
1535,APPTLVXZD0SKE,0
830,A22YIP9VBAHTD0,1
2198,A26O058S4R4JPX,1
6130,A1F12YBG64MNZJ,0
232,A3UUTCRNGNJAP1,1
10001,APPTLVXZD0SKE,0
10335,A207OR9LV0PAPY,1
9149,A207OR9LV0PAPY,0
5774,A2WZQ92N4809N1,0
4937,A3IG0TV6T181YE,1
9327,ASG1JM6Y10EXS,0
385,A35OGKV242IJ78,1
9014,AD1ILDUXZHASF,0
3696,A2865KTIP7MIXZ,1
439,A1NK5S5QJEOLZY,1
2679,A207OR9LV0PAPY,1
5631,A2BKU0NE7F3P0B,1
1624,A207OR9LV0PAPY,1
6583,A207OR9LV0PAPY,1
963,A2EISOFPZ8FV23,0
1339,ARX0S1CIDJLOX,1
4599,A1B0VDV0M335IC,1
7510,AUQYIK6A9OLWK,0
9125,A2OSJ2WXWUGNTT,1
9471,A24GYA3DEJRNNS,0
3356,A3CFNUD7VR2E1E,1
5711,A2EISOFPZ8FV23,0
10135,APPTLVXZD0SKE,0
1405,A3UUTCRNGNJAP1,1
3617,ASG1JM6Y10EXS,0
5781,A3UUTCRNGNJAP1,0
2909,A24GYA3DEJRNNS,1
5219,AZ8KL6F16ZS7G,1
3587,ANCF8G8GCO4EM,1
8416,A3EJ3VOAJF2KYU,0
5383,A207OR9LV0PAPY,1
1703,A122JE350RXCLB,1
9791,AL12RG9EJZ60,0
4360,A1JH7KENWHOGB7,1
9262,A2Y9CYI7OICX8U,0
5304,A1M8JDV3X0IXIW,1
2661,A3UUTCRNGNJAP1,1
4009,A207OR9LV0PAPY,1
1179,A28TXBSZPWMEU9,1
2093,A2CJY4787IR70K,1
403,AFT6VDMD6VGDG,1
3459,A1NF6PELRKACS9,1
237,A2BKU0NE7F3P0B,1
3512,A233ONYNWKDIYF,1
10155,A31X3JCHS0BPFJ,0
6033,A2TI6FZW8DL9E8,0
1982,A1NK5S5QJEOLZY,1
2609,A24ZS6FANCA3E5,0
6227,A2CB59Z7X1BFD4,0
8358,ARX0S1CIDJLOX,0
4659,A2YO1F0W7I4IFD,1
4196,A17D71VG0C31RT,1
1543,A3KTOGPD4ILUNM,1
5696,A2TEWO3WJ5YKGG,0
8899,A3UUTCRNGNJAP1,1
5935,AC6QZ6VSEIYK1,0
3099,A2865KTIP7MIXZ,1
8017,ASG1JM6Y10EXS,0
1855,A207OR9LV0PAPY,1
1038,APPTLVXZD0SKE,1
628,AFT6VDMD6VGDG,1
500,ASG1JM6Y10EXS,0
7730,AL12RG9EJZ60,0
5241,A2JVHE1ESSF6IQ,0
3558,A37OZD4L9W21QK,1
8679,A28TXBSZPWMEU9,0
10329,A1WBR902VW7HTY,0
3501,A1M8AYAL3L8ACP,1
8650,A207OR9LV0PAPY,0
857,A3BBUPENPQF62F,1
4198,A2T19IADVP11HY,0
481,A2RA4A0LLQLGUW,1
8620,ASG1JM6Y10EXS,1
5809,A35GMY72E6AKNS,1
4378,APSHE13X6ZQJI,1
1286,A207OR9LV0PAPY,0
10022,A207OR9LV0PAPY,0
7613,ASG1JM6Y10EXS,1
5132,A207OR9LV0PAPY,1
10348,A2CJY4787IR70K,0
5987,A3A6QS6FKGUJIN,0
3001,AW4GAQGB36IBK,1
1126,A2865KTIP7MIXZ,1
2789,A1DM69EDQ1PS9S,1
3359,A1JWEUVNAZ6WVA,1
10284,A207OR9LV0PAPY,0
3935,A207OR9LV0PAPY,0
4504,A207OR9LV0PAPY,0
9999,A207OR9LV0PAPY,1
4702,A1JH7KENWHOGB7,1
9838,A33SMNMTMIOJ6T,0
7971,A24ZS6FANCA3E5,0
9630,A2865KTIP7MIXZ,0
2315,AZ8KL6F16ZS7G,1
4489,AFDMO7SSL5F3V,0
9727,A122JE350RXCLB,1
5353,A3CFNUD7VR2E1E,0
6760,ASG1JM6Y10EXS,0
2916,A207OR9LV0PAPY,1
6824,A207OR9LV0PAPY,1
7074,APPTLVXZD0SKE,0
10104,AC6QZ6VSEIYK1,0
4921,ASG1JM6Y10EXS,1
5145,A1JH7KENWHOGB7,0
6363,AFT6VDMD6VGDG,1
2073,A207OR9LV0PAPY,1
2006,A3SO7L7BG8FATV,1
5398,ASG1JM6Y10EXS,0
1516,ASG1JM6Y10EXS,1
9691,A207OR9LV0PAPY,1
5513,A3UUTCRNGNJAP1,0
3727,AC6QZ6VSEIYK1,1
9217,A3A5BAO5NT2W8,1
2634,APPTLVXZD0SKE,1
2376,A2HDKJO3N68Q2K,1
1899,A3CFNUD7VR2E1E,1
8595,A9J48W1C9IZAI,0
384,A2865KTIP7MIXZ,0
2824,A34XE98BOR60ZJ,0
8933,AD5IKFAK8KN4P,0
2296,A36P6YLIJXYPHA,1
7208,A24ZS6FANCA3E5,0
3433,A3UUTCRNGNJAP1,1
8609,A207OR9LV0PAPY,0
5851,A24ZS6FANCA3E5,0
7370,A9K49S97N9S9Y,0
6605,A1NK5S5QJEOLZY,0
9185,A1F12YBG64MNZJ,0
3320,A2HDKJO3N68Q2K,1
8028,A2Y9CYI7OICX8U,0
5478,A1WBR902VW7HTY,0
769,A3CFNUD7VR2E1E,1
743,APPTLVXZD0SKE,1
2023,A34XE98BOR60ZJ,1
5097,A3HMIGIYSTV14N,1
9871,ASG1JM6Y10EXS,0
6982,AFT6VDMD6VGDG,1
8540,A24GYA3DEJRNNS,0
3258,A2EISOFPZ8FV23,1
1840,A3UUTCRNGNJAP1,1
2070,A2RA4A0LLQLGUW,0
2643,A24ZS6FANCA3E5,0
7039,A3UUTCRNGNJAP1,0
1213,A3CFNUD7VR2E1E,0
6602,A207OR9LV0PAPY,1
206,AC6QZ6VSEIYK1,1
7208,AL12RG9EJZ60,0
1335,A375JLQN5DZBD7,1
9606,AL12RG9EJZ60,0
10134,A9J48W1C9IZAI,0
8065,A3A6QS6FKGUJIN,0
480,AFDMO7SSL5F3V,1
9787,ASG1JM6Y10EXS,1
3859,ARX0S1CIDJLOX,1
1186,A28TXBSZPWMEU9,1
4911,A207OR9LV0PAPY,1
741,A3CD2802ITWXNH,1
1735,A3SO7L7BG8FATV,1
344,A119KIC2YMT1HX,1
1932,A1F4D2PZ7NNWTL,1
5776,A36KE97IOQINHY,0
2137,ASG1JM6Y10EXS,0
8307,A207OR9LV0PAPY,0
4411,ARX0S1CIDJLOX,1
7076,A3CFNUD7VR2E1E,0
9411,APPTLVXZD0SKE,0
5327,A28TXBSZPWMEU9,0
9509,A2TEWO3WJ5YKGG,1
6304,A25OJ3H62OYX6B,0
4963,A233ONYNWKDIYF,1
5276,A34XE98BOR60ZJ,0
7097,A2TI6FZW8DL9E8,0
3786,A233ONYNWKDIYF,1
7060,A3SXLBX06D9FP9,0
9457,A3R2KHDROA56BT,0
2903,A2EISOFPZ8FV23,1
8728,A2TI6FZW8DL9E8,0
2250,A207OR9LV0PAPY,1
7046,A207OR9LV0PAPY,0
7305,A3CD2802ITWXNH,1
4143,A24ZS6FANCA3E5,1
8480,A122JE350RXCLB,0
5691,A24ZS6FANCA3E5,0
1693,AFT6VDMD6VGDG,1
3955,A1WDHA5DK7IX9R,0
4355,A2TEWO3WJ5YKGG,1
7269,A36P6YLIJXYPHA,1
9710,A207OR9LV0PAPY,1
517,A1WDHA5DK7IX9R,1
8502,A35OGKV242IJ78,0
1566,ARX0S1CIDJLOX,1
9411,A1B0VDV0M335IC,1
2699,A3A6QS6FKGUJIN,1
8453,A34E3GJZIW6MIO,1
908,A31A20Z5P0UJBH,1
7861,A24ZS6FANCA3E5,0
9774,A207OR9LV0PAPY,0
5076,A8028AFBBS29G,1
9301,A207OR9LV0PAPY,0
4248,ARX0S1CIDJLOX,1
4839,A1H0T56YFAR3QK,1
382,ARX0S1CIDJLOX,1
7698,A2CJY4787IR70K,0
3710,ARX0S1CIDJLOX,1
9185,AL12RG9EJZ60,0
8306,A3CFNUD7VR2E1E,0
2641,A2AKAKQY8ZLETB,1
3106,A233ONYNWKDIYF,1
565,A2EISOFPZ8FV23,1
5502,AKZGEPPYJ0GDI,0
6500,AN0GCNAAD7MBI,1
9909,AWJ35HKXU34TE,0
1515,ASG1JM6Y10EXS,1
9550,AN0GCNAAD7MBI,0
8521,A2CJY4787IR70K,1
4070,A207OR9LV0PAPY,1
2868,A1JH7KENWHOGB7,1
9394,APPTLVXZD0SKE,1
2742,A207OR9LV0PAPY,1
5233,ASG1JM6Y10EXS,1
51,A3CFNUD7VR2E1E,1
6402,ASG1JM6Y10EXS,1
5621,AGBA9QNP2BKR1,1
4440,A7187OU3OJ0O5,0
10264,A375JLQN5DZBD7,0
7419,A17D71VG0C31RT,0
707,ARX0S1CIDJLOX,0
7777,A2CB59Z7X1BFD4,0
3075,A122JE350RXCLB,1
6808,A3CD2802ITWXNH,0
2535,A2EISOFPZ8FV23,1
2103,A3A6QS6FKGUJIN,1
7269,A207OR9LV0PAPY,0
979,A207OR9LV0PAPY,1
7180,AL12RG9EJZ60,0
9405,A28TXBSZPWMEU9,1
3205,A205ETKCKCP50G,1
4709,APSHE13X6ZQJI,1
