task,community
8211,0
5146,1
2020,1
10128,0
9781,0
9523,0
9406,0
9357,0
8926,0
8773,0
8694,0
8691,0
7503,0
7143,0
6706,0
6691,0
6681,0
6506,0
6496,0
6458,0
6044,0
5891,0
5877,0
5796,0
5788,0
5686,0
5411,0
5402,0
5232,0
5061,1
4968,1
4689,1
4681,1
4600,1
4592,1
4404,1
4089,1
3909,1
3727,1
3434,1
3364,1
3249,1
26,1
2548,1
222,1
1786,1
1637,1
1601,1
1367,1
1244,1
10405,0
9977,0
9974,0
9893,0
9870,0
985,1
980,1
9792,0
9742,0
9695,0
9693,0
9686,0
9631,0
9614,0
9608,0
9569,0
9528,0
9472,0
9432,0
9422,0
9372,0
9366,0
9361,0
935,1
9332,0
9281,0
9256,0
915,1
9143,0
913,1
9122,0
9120,0
9097,0
9065,0
9037,0
8989,0
8985,0
8925,0
8919,0
8850,0
8836,0
8810,0
8790,0
8713,0
8705,0
864,1
8623,0
8602,0
8597,0
8544,0
850,1
8468,0
8455,0
841,1
8390,0
8377,0
8366,0
8222,0
8129,0
8104,0
8080,0
8065,0
8064,0
8018,0
8007,0
7982,0
7979,0
7974,0
7970,0
7959,0
7936,0
7894,0
7892,0
7857,0
784,1
7816,0
7810,0
7765,0
7700,0
7652,0
7639,0
7569,0
7545,0
7518,0
7497,0
7494,0
7490,0
7489,0
7442,0
744,1
7434,0
741,1
7394,0
7368,0
7364,0
7361,0
7355,0
735,1
733,1
7295,0
7291,0
7290,0
7257,0
7237,0
7231,0
7210,0
7200,0
7162,0
7144,0
7126,0
7070,0
7066,0
706,1
7049,0
7039,0
7016,0
7013,0
6998,0
6921,0
6908,0
6887,0
6839,0
681,1
6798,0
6792,0
6769,0
6703,0
6674,0
6666,0
6661,0
660,1
6590,0
6550,0
6509,0
6491,0
6459,0
6445,0
6415,0
6405,0
6389,0
6379,0
6374,0
6329,0
6328,0
6322,0
6313,0
6299,0
6215,0
6207,0
6167,0
6144,0
6136,0
6121,0
6108,0
