worker,community
A207OR9LV0PAPY,community14
ASG1JM6Y10EXS,community9
ARX0S1CIDJLOX,community18
A3CFNUD7VR2E1E,community18
A3UUTCRNGNJAP1,community12
A2EISOFPZ8FV23,community15
APPTLVXZD0SKE,community16
AL12RG9EJZ60,community18
A24ZS6FANCA3E5,community18
AFT6VDMD6VGDG,community11
A2TEWO3WJ5YKGG,community15
A233ONYNWKDIYF,community18
A17D71VG0C31RT,community19
A2CJY4787IR70K,community18
AZ8KL6F16ZS7G,community18
A2CB59Z7X1BFD4,community17
A2865KTIP7MIXZ,community16
A34XE98BOR60ZJ,community18
A1NK5S5QJEOLZY,community11
A3EJ3VOAJF2KYU,community18
A122JE350RXCLB,community14
