task,truth
9334,0
1843,1
137,1
7739,0
318,1
1730,1
4453,1
6022,0
4223,1
5688,0
7500,0
2281,1
7302,0
4885,1
2891,1
772,1
4248,1
1001,1
4471,1
6697,0
3274,1
10354,0
253,1
2702,1
3781,1
1639,1
4709,1
6954,0
3265,1
8855,0
4416,1
9719,0
1878,1
2279,1
246,1
1963,1
2245,1
8447,0
2482,1
10325,0
3510,1
769,1
103,1
2142,1
2787,1
3433,1
442,1
7294,0
6334,0
1226,1
9914,0
1969,1
2867,1
912,1
4825,1
7133,0
6798,0
10378,0
3335,1
6032,0
2658,1
9625,0
8297,0
6579,0
6328,0
3907,1
1421,1
5093,1
2869,1
8551,0
7586,0
564,1
6547,0
6058,0
3193,1
682,1
3753,1
636,1
8469,0
7776,0
7453,0
5653,0
1609,1
3268,1
7218,0
10035,0
10427,0
10083,0
8366,0
2915,1
7769,0
8985,0
1331,1
8223,0
1764,1
7228,0
9815,0
7402,0
1212,1
1834,1
9176,0
7674,0
2250,1
7786,0
4822,1
9672,0
10163,0
4657,1
6284,0
692,1
6517,0
1591,1
5706,0
9432,0
3816,1
2966,1
4145,1
8179,0
362,1
6502,0
6542,0
10210,0
10072,0
8958,0
7883,0
5667,0
1113,1
4884,1
8602,0
2986,1
9409,0
4240,1
462,1
10224,0
7662,0
4889,1
6905,0
2248,1
1510,1
4933,1
9006,0
784,1
9647,0
4385,1
2989,1
4625,1
7637,0
5184,1
8735,0
7934,0
7659,0
5952,0
8752,0
123,1
5412,0
4034,1
4548,1
3854,1
3533,1
7426,0
7562,0
1038,1
3782,1
2583,1
405,1
9311,0
10085,0
6228,0
8622,0
1526,1
7618,0
1146,1
8309,0
6443,0
2665,1
8189,0
4114,1
6987,0
10296,0
9623,0
5534,0
68,1
10182,0
5891,0
10223,0
3593,1
8159,0
9416,0
1802,1
8796,0
7862,0
7178,0
5149,1
1335,1
1856,1
7580,0
2691,1
6566,0
623,1
8146,0
3928,1
10018,0
8088,0
7825,0
10187,0
9293,0
3095,1
7891,0
2685,1
217,1
3548,1
633,1
6447,0
495,1
7060,0
9755,0
6483,0
8175,0
2837,1
7191,0
7960,0
9632,0
6708,0
629,1
7397,0
7503,0
10171,0
677,1
2982,1
4478,1
2651,1
7064,0
6884,0
6908,0
6747,0
6861,0
10284,0
3035,1
6500,0
5034,1
2152,1
10068,0
841,1
3863,1
1271,1
9195,0
575,1
7587,0
3225,1
8874,0
5145,1
434,1
9689,0
1905,1
1171,1
6154,0
1971,1
3833,1
975,1
5380,0
1603,1
7512,0
4958,1
4360,1
5646,0
9725,0
4975,1
308,1
1597,1
4733,1
6519,0
9720,0
9148,0
5115,1
7217,0
10013,0
6183,0
2314,1
6828,0
6874,0
9290,0
737,1
6979,0
5639,0
3559,1
5806,0
3001,1
7301,0
10146,0
5770,0
9509,0
2885,1
4123,1
216,1
98,1
9197,0
156,1
5771,0
1475,1
3466,1
2007,1
370,1
8307,0
10298,0
1817,1
8914,0
6044,0
9931,0
10042,0
6304,0
6606,0
517,1
2334,1
5336,0
2212,1
901,1
915,1
7285,0
8593,0
4378,1
1099,1
6278,0
7803,0
4870,1
8935,0
8240,0
3306,1
2629,1
3362,1
2813,1
9564,0
1824,1
5836,0
5606,0
10081,0
5992,0
7155,0
1685,1
2369,1
6399,0
9498,0
5416,0
9454,0
3564,1
9337,0
4617,1
8060,0
6655,0
9685,0
3861,1
1671,1
9038,0
10313,0
4171,1
1914,1
794,1
1252,1
9741,0
8642,0
8315,0
2960,1
2105,1
9798,0
3787,1
1645,1
1648,1
7936,0
8686,0
9867,0
6055,0
7681,0
95,1
4430,1
6101,0
9816,0
7951,0
3882,1
5042,1
1850,1
3864,1
4160,1
2779,1
6223,0
3169,1
3401,1
1343,1
1257,1
699,1
2606,1
4784,1
6254,0
3812,1
8357,0
947,1
4139,1
5404,0
4608,1
6474,0
782,1
3951,1
5041,1
8252,0
3670,1
5039,1
6487,0
2563,1
3143,1
3990,1
5737,0
2870,1
4138,1
4862,1
1380,1
8908,0
6317,0
6076,0
4725,1
64,1
8564,0
1990,1
3946,1
5520,0
6419,0
8925,0
10421,0
6115,0
7152,0
1221,1
3944,1
1866,1
10308,0
8821,0
10279,0
3865,1
4793,1
7950,0
2091,1
8383,0
9149,0
3707,1
6552,0
1875,1
4752,1
8520,0
6207,0
2346,1
1943,1
7525,0
9055,0
9069,0
6423,0
6102,0
9880,0
3406,1
5576,0
6990,0
178,1
3539,1
4574,1
4922,1
3595,1
9996,0
4961,1
7970,0
4418,1
3465,1
286,1
8615,0
994,1
2900,1
1827,1
5209,1
1996,1
5524,0
4852,1
3041,1
4003,1
10431,0
817,1
7104,0
23,1
5189,1
6950,0
569,1
9281,0
1789,1
8163,0
9444,0
5451,0
2678,1
3183,1
4184,1
6667,0
2070,1
3127,1
6927,0
2909,1
7791,0
6635,0
4489,1
