worker_id,worker_community
0,5
1,4
2,6
3,5
4,7
5,2
6,6
7,7
8,0
9,4
10,2
11,2
12,3
13,7
14,0
15,3
16,5
17,2
18,0
19,0
20,7
21,2
22,2
23,5
24,7
25,0
26,7
27,7
28,1
29,0
30,0
31,0
32,3
33,1
34,0
35,0
36,5
37,3
38,7
39,5
40,1
41,7
42,6
43,3
44,5
45,5
46,0
47,7
48,5
49,7
50,0
51,1
52,5
53,0
54,4
55,5
56,5
57,5
58,5
59,0
60,6
61,7
62,7
63,0
64,1
65,2
66,5
67,2
68,0
69,3
70,6
71,7
72,5
73,6
74,0
75,3
76,2
77,3
78,2
79,0
80,6
81,6
82,5
83,6
84,0
85,0
86,6
87,3
88,5
89,6
90,7
91,4
92,3
93,6
94,4
95,4
96,3
97,3
98,0
99,4
100,3
101,3
102,4
103,1
104,7
105,0
106,6
107,7
108,1
109,4
110,3
111,7
112,3
113,4
114,4
115,3
116,5
117,0
118,3
119,6
120,5
121,5
122,4
123,4
124,1
125,4
126,1
127,5
128,7
129,5
130,5
131,1
132,0
133,6
134,5
135,7
136,5
137,4
138,5
139,3
140,1
141,7
142,1
143,0
144,6
145,4
146,5
147,5
148,4
149,7
150,3
151,7
152,4
153,7
154,3
155,6
156,6
157,3
158,3
159,3
160,2
161,3
162,3
163,0
164,0
165,4
166,1
167,5
168,4
169,7
170,2
171,7
172,2
173,0
174,6
175,2
176,5
177,4
178,0
179,1
180,3
181,2
182,3
183,3
184,2
185,4
186,2
187,7
188,6
189,4
190,4
191,4
192,1
193,7
194,2
195,5
196,6
197,1
198,7
199,0
200,4
201,5
202,1
203,7
204,5
205,1
206,5
207,5
208,1
209,2
210,6
211,2
212,0
213,0
214,6
215,2
216,6
217,3
218,7
219,4
220,7
221,2
222,4
223,6
224,6
225,1
226,4
227,7
228,5
229,6
230,5
231,7
232,6
233,7
234,1
235,4
236,2
237,0
238,7
239,0
240,1
241,5
242,5
243,0
244,0
245,6
246,7
247,7
248,5
249,4
250,0
251,3
252,6
253,4
254,1
255,5
256,1
257,1
258,0
259,2
260,0
261,1
262,7
263,3
264,7
265,0
266,5
267,3
268,7
269,3
270,5
271,0
272,7
273,2
274,4
275,0
276,6
277,5
278,1
279,6
280,1
281,4
282,0
283,3
284,7
285,6
286,5
287,5
288,7
289,2
290,6
291,1
292,6
293,7
294,2
295,4
296,6
297,0
298,7
299,5
300,1
301,7
302,5
303,0
304,6
305,2
306,4
307,6
308,0
309,3
310,0
311,1
312,1
313,1
314,6
315,2
316,5
317,2
318,6
319,3
320,5
321,5
322,3
323,0
324,1
325,1
326,2
327,7
328,3
329,4
330,7
331,3
332,4
333,3
334,0
335,0
336,2
337,0
338,4
339,6
340,0
341,4
342,2
343,0
344,7
345,4
346,5
347,5
348,4
349,2
350,6
351,4
352,4
353,3
354,7
355,3
356,1
357,7
358,6
359,3
360,0
361,0
362,0
363,5
364,7
365,4
366,7
367,6
368,6
369,0
370,3
371,2
372,2
373,1
374,5
375,6
376,2
377,5
378,2
379,7
380,6
381,0
382,5
383,5
384,3
385,1
386,1
387,2
388,0
389,0
390,2
391,4
392,2
393,4
394,3
395,5
396,0
397,0
398,6
399,4
400,1
401,5
402,7
403,6
404,3
405,5
406,3
407,1
408,0
409,5
410,6
411,2
412,1
413,1
414,5
415,1
416,5
417,1
418,4
419,6
420,7
421,3
422,3
423,2
424,4
425,0
426,3
427,5
428,1
429,7
430,1
431,4
432,4
433,2
434,1
435,3
436,2
437,4
438,6
439,5
440,0
441,7
442,1
443,2
444,3
445,0
446,2
447,5
448,7
449,4
450,3
451,3
452,3
453,0
454,3
455,0
456,2
457,2
458,5
459,3
460,2
461,1
462,2
463,6
464,0
465,2
466,5
467,6
468,4
469,7
470,0
471,2
472,5
473,4
474,2
475,0
476,5
477,1
478,7
479,6
480,3
481,1
482,1
483,2
484,3
485,6
486,5
487,6
488,1
489,4
490,2
491,1
492,1
493,2
494,2
495,2
496,4
497,4
498,2
499,4
