task_id,task_community
0,5
1,4
2,0
3,6
4,4
5,3
6,1
7,2
8,4
9,0
10,5
11,6
12,1
13,2
14,4
15,3
16,4
17,1
18,5
19,5
20,1
21,3
22,3
23,1
24,3
25,4
26,3
27,1
28,6
29,1
30,2
31,3
32,6
33,3
34,5
35,3
36,1
37,6
38,1
39,5
40,2
41,1
42,0
43,5
44,1
45,4
46,1
47,1
48,3
49,6
50,5
51,1
52,4
53,1
54,5
55,5
56,3
57,1
58,3
59,5
60,6
61,6
62,3
63,1
64,4
65,5
66,3
67,4
68,2
69,0
70,5
71,4
72,1
73,0
74,6
75,6
76,2
77,2
78,4
79,4
80,2
81,2
82,3
83,2
84,0
85,4
86,3
87,0
88,6
89,4
90,3
91,6
92,3
93,1
94,1
95,5
96,5
97,3
98,6
99,0
100,0
101,3
102,0
103,6
104,6
105,0
106,0
107,1
108,4
109,1
110,1
111,3
112,4
113,2
114,2
115,5
116,2
117,3
118,6
119,0
120,2
121,3
122,2
123,3
124,6
125,6
126,0
127,6
128,2
129,5
130,3
131,4
132,2
133,6
134,5
135,1
136,5
137,2
138,1
139,4
140,3
141,1
142,3
143,6
144,0
145,1
146,0
147,6
148,1
149,5
150,0
151,3
152,5
153,3
154,6
155,4
156,0
157,4
158,0
159,2
160,5
161,1
162,4
163,3
164,3
165,3
166,4
167,6
168,4
169,5
170,0
171,3
172,2
173,1
174,5
175,5
176,0
177,2
178,1
179,5
180,3
181,4
182,4
183,3
184,6
185,5
186,4
187,5
188,1
189,2
190,3
191,5
192,5
193,2
194,6
195,0
196,0
197,1
198,4
199,6
200,5
201,3
202,1
203,1
204,1
205,3
206,5
207,3
208,3
209,1
210,1
211,5
212,1
213,2
214,2
215,4
216,0
217,5
218,6
219,1
220,2
221,5
222,5
223,2
224,6
225,0
226,5
227,6
228,2
229,5
230,5
231,1
232,4
233,4
234,6
235,0
236,5
237,4
238,4
239,3
240,6
241,2
242,6
243,1
244,6
245,6
246,5
247,5
248,2
249,2
250,5
251,4
252,3
253,3
254,0
255,5
256,3
257,5
258,0
259,2
260,0
261,6
262,0
263,4
264,3
265,4
266,0
267,0
268,3
269,3
270,5
271,5
272,6
273,5
274,1
275,2
276,1
277,3
278,4
279,6
280,4
281,3
282,6
283,1
284,3
285,4
286,1
287,3
288,3
289,0
290,3
291,2
292,1
293,0
294,3
295,6
296,3
297,5
298,0
299,6
300,5
301,5
302,6
303,3
304,6
305,1
306,2
307,2
308,1
309,4
310,6
311,5
312,6
313,1
314,3
315,2
316,1
317,2
318,3
319,0
320,6
321,0
322,5
323,6
324,2
325,1
326,6
327,2
328,5
329,0
330,3
331,5
332,0
333,1
334,4
335,6
336,3
337,4
338,1
339,4
340,1
341,2
342,6
343,4
344,4
345,2
346,3
347,6
348,3
349,6
350,2
351,3
352,4
353,3
354,3
355,0
356,2
357,1
358,0
359,3
360,0
361,1
362,4
363,6
364,5
365,0
366,0
367,4
368,0
369,3
370,6
371,5
372,6
373,4
374,6
375,3
376,2
377,4
378,6
379,4
380,1
381,1
382,0
383,3
384,3
385,4
386,1
387,1
388,5
389,3
390,1
391,4
392,5
393,1
394,6
395,1
396,5
397,2
398,1
399,3
400,6
401,5
402,0
403,6
404,2
405,1
406,6
407,4
408,6
409,2
410,1
411,5
412,1
413,3
414,6
415,3
416,2
417,1
418,4
419,1
420,0
421,5
422,0
423,0
424,5
425,3
426,2
427,2
428,1
429,4
430,2
431,1
432,6
433,6
434,4
435,5
436,6
437,1
438,4
439,4
440,3
441,0
442,3
443,5
444,2
445,3
446,5
447,1
448,2
449,5
450,3
451,3
452,5
453,4
454,0
455,5
456,6
457,3
458,5
459,2
460,4
461,2
462,1
463,4
464,5
465,2
466,3
467,0
468,3
469,2
470,1
471,5
472,2
473,4
474,6
475,5
476,3
477,5
478,6
479,3
480,5
481,3
482,1
483,1
484,0
485,5
486,4
487,4
488,6
489,5
490,0
491,2
492,4
493,0
494,2
495,2
496,5
497,6
498,2
499,6
500,5
501,4
502,4
503,6
504,3
505,4
506,5
507,6
508,0
509,2
510,6
511,5
512,4
513,5
514,0
515,1
516,5
517,3
518,1
519,3
520,5
521,2
522,4
523,1
524,1
525,1
526,6
527,4
528,0
529,2
530,6
531,0
532,0
533,3
534,4
535,5
536,5
537,4
538,3
539,6
540,3
541,2
542,1
543,3
544,5
545,1
546,5
547,6
548,4
549,1
550,4
551,4
552,1
553,6
554,2
555,1
556,0
557,6
558,3
559,1
560,2
561,0
562,2
563,0
564,4
565,3
566,2
567,4
568,0
569,2
570,4
571,1
572,3
573,1
574,4
575,2
576,5
577,5
578,6
579,3
580,0
581,1
582,6
583,3
584,3
585,3
586,5
587,5
588,3
589,1
590,5
591,3
592,6
593,0
594,0
595,5
596,3
597,3
598,2
599,0
600,0
601,3
602,1
603,6
604,0
605,2
606,2
607,2
