task,worker,answer
0,87,0
0,241,0
0,326,0
0,407,3
0,225,13
1,37,3
1,295,3
1,199,1
1,434,3
1,109,10
2,228,2
2,101,2
2,351,8
2,196,6
2,340,8
3,345,12
3,272,5
3,23,0
3,397,10
3,317,8
4,269,9
4,322,8
4,272,2
4,75,2
4,431,7
5,72,13
5,305,6
5,0,8
5,198,2
5,210,8
6,136,3
6,53,3
6,238,3
6,300,3
6,142,5
7,162,2
7,402,2
7,313,9
7,413,2
7,423,1
8,9,11
8,89,11
8,186,1
8,443,11
8,181,0
9,367,5
9,340,8
9,39,2
9,50,12
9,381,3
10,244,4
10,395,4
10,50,4
10,334,5
10,373,4
11,86,13
11,129,13
11,1,13
11,172,3
11,154,13
12,66,6
12,201,9
12,417,13
12,53,9
12,91,9
13,466,7
13,185,9
13,43,8
13,383,9
13,38,12
14,439,0
14,63,3
14,67,3
14,58,5
14,223,3
15,34,7
15,375,4
15,483,2
15,446,6
15,186,11
16,471,4
16,319,10
16,242,4
16,425,3
16,493,10
17,344,8
17,307,5
17,436,11
17,293,9
17,451,2
18,30,11
18,193,4
18,337,13
18,466,3
18,286,13
19,131,1
19,30,0
19,405,10
19,75,0
19,370,0
20,36,8
20,349,9
20,269,12
20,129,2
20,49,9
21,51,1
21,276,3
21,376,10
21,446,9
21,222,2
22,453,0
22,70,0
22,492,0
22,326,0
22,163,0
23,368,9
23,107,12
23,7,8
23,153,8
23,262,8
24,190,12
24,79,8
24,362,9
24,431,1
24,170,8
25,43,11
25,365,11
25,477,11
25,481,6
25,311,11
26,91,12
26,186,12
26,449,12
26,239,10
26,151,9
27,418,7
27,129,12
27,335,7
27,390,9
27,489,9
28,451,9
28,224,5
28,7,11
28,160,8
28,284,8
29,226,13
29,206,12
29,194,5
29,377,13
29,27,13
30,140,1
30,54,9
30,394,11
30,357,13
30,260,10
31,323,3
31,401,1
31,27,1
31,362,1
31,295,1
32,439,7
32,370,1
32,358,1
32,318,1
32,488,1
33,309,7
33,351,7
33,495,7
33,394,2
33,301,7
34,182,13
34,106,10
34,225,12
34,1,10
34,285,1
35,452,0
35,448,1
35,86,1
35,115,1
35,437,1
36,332,7
36,404,7
36,413,1
36,464,7
36,414,11
37,100,13
37,394,9
37,179,3
37,118,5
37,167,5
38,185,9
38,128,9
38,80,9
38,203,12
38,102,9
39,86,6
39,314,6
39,191,3
39,38,6
39,436,3
40,5,11
40,213,5
40,299,5
40,146,0
40,102,5
41,309,4
41,188,8
41,461,9
41,286,7
41,161,8
42,202,12
42,339,8
42,259,3
42,363,1
43,112,0
43,395,0
43,460,9
43,491,9
43,47,0
44,204,6
44,188,3
44,383,6
44,69,6
44,112,6
45,490,4
45,317,13
45,213,3
45,300,3
45,102,10
46,401,7
46,485,11
46,312,13
46,363,3
46,213,13
47,33,11
47,164,7
47,54,8
47,182,8
47,491,3
48,49,11
48,107,9
48,192,5
48,155,11
48,144,11
49,430,10
49,147,8
49,206,8
49,319,11
49,429,1
50,241,8
50,210,2
50,38,13
50,213,9
50,359,9
51,352,2
51,95,11
51,349,2
51,9,12
51,201,2
52,35,0
52,496,2
52,407,0
52,398,8
52,487,0
53,141,10
53,142,13
53,9,8
53,220,1
53,314,3
54,280,3
54,267,7
54,70,1
54,450,10
54,43,3
55,390,10
55,92,10
55,164,10
55,189,10
55,498,6
56,397,4
56,478,0
56,494,5
56,138,6
56,386,4
57,87,5
57,450,4
57,32,3
57,164,1
57,24,1
58,109,7
58,114,4
58,315,4
58,261,4
58,23,4
59,301,5
59,483,5
59,281,5
59,29,7
59,371,5
60,208,1
60,77,1
60,249,3
60,237,3
60,376,1
61,203,4
61,136,8
61,47,7
61,11,12
61,223,12
62,153,12
62,215,5
62,454,4
62,314,7
62,176,5
63,93,8
63,488,1
63,162,8
63,366,7
63,363,8
64,265,5
64,489,3
64,122,7
64,90,4
64,459,3
65,323,2
65,379,4
65,52,13
65,101,4
65,224,4
66,222,13
66,108,4
66,401,13
66,170,13
66,420,13
67,316,4
67,173,4
67,421,4
67,74,12
67,405,4
68,356,2
68,132,12
68,329,13
68,335,12
68,432,12
69,131,6
69,391,11
69,467,12
69,71,1
69,49,11
70,326,1
70,63,13
70,100,12
70,481,13
70,360,0
71,267,11
71,393,6
71,151,6
71,33,13
71,129,6
72,457,10
72,15,12
72,13,10
72,114,10
72,119,1
73,98,4
73,161,0
73,68,0
73,207,8
73,143,6
74,247,12
74,496,11
74,487,12
74,34,11
74,323,11
75,409,13
75,499,6
75,116,1
75,219,8
75,453,1
76,90,6
76,97,6
76,279,7
76,315,6
76,106,7
77,125,4
77,194,6
77,44,6
77,377,9
77,203,2
78,260,3
78,81,10
78,332,11
78,137,2
78,130,8
79,15,13
79,310,1
79,444,13
79,393,2
79,158,13
80,478,0
80,228,10
80,41,3
80,203,4
80,338,5
81,9,5
81,190,5
81,343,2
81,33,5
81,73,10
82,438,12
82,141,10
82,331,8
82,61,12
82,134,7
83,276,2
83,23,5
83,377,12
83,459,12
83,272,1
84,310,0
84,475,3
84,195,0
84,56,0
84,348,0
85,131,13
85,366,13
85,243,13
85,353,13
85,97,13
86,52,7
86,482,10
86,341,9
86,174,9
86,25,11
87,180,10
87,132,12
87,98,12
87,494,11
87,390,6
88,463,13
88,225,7
88,340,0
88,315,7
88,83,7
89,58,6
89,288,6
89,112,8
89,226,6
89,441,6
90,454,13
90,37,13
90,327,13
90,498,13
90,300,0
91,17,1
91,155,2
91,275,10
91,413,2
91,388,2
92,306,1
92,10,10
92,59,10
92,63,10
92,116,10
93,220,5
93,272,10
93,87,5
93,115,9
93,398,5
94,154,6
94,241,6
94,199,3
94,210,3
94,329,5
95,347,0
95,173,9
95,101,3
95,422,3
95,355,3
96,258,3
96,490,11
96,72,3
96,315,3
96,56,3
97,231,12
97,387,7
97,361,3
97,468,11
97,73,7
98,287,6
98,80,8
98,481,8
98,18,8
98,295,8
99,59,12
99,373,0
99,280,7
99,16,7
99,376,12
100,44,1
100,446,11
100,408,2
100,15,2
100,5,2
101,313,8
101,234,8
101,366,8
101,472,10
101,175,8
102,321,1
102,462,8
102,449,4
102,62,5
102,416,10
103,438,0
103,399,13
103,52,0
103,160,0
103,54,0
104,243,4
104,74,4
104,347,0
104,273,4
104,123,4
105,278,10
105,14,5
105,268,9
105,5,10
105,62,6
106,485,1
106,435,1
106,177,1
106,254,11
106,113,2
107,386,10
107,42,9
107,168,0
107,298,9
107,442,2
108,273,13
108,453,13
108,484,0
108,230,7
108,176,13
109,160,1
109,242,1
109,439,12
109,257,11
109,498,2
110,158,12
110,148,4
110,310,10
110,469,10
110,283,8
