task_id,truth
0,7
1,9
2,9
3,9
4,11
5,10
6,6
7,12
8,9
9,11
10,8
11,5
12,13
13,3
14,7
15,7
16,0
17,13
18,3
19,10
20,3
21,11
22,9
23,12
24,13
25,10
26,7
27,13
28,2
29,10
30,10
31,9
32,8
33,12
34,7
35,4
36,10
37,5
38,7
39,9
40,10
41,12
42,13
43,8
44,4
45,10
46,3
47,8
48,6
49,2
50,2
51,10
52,1
53,3
54,2
55,2
56,11
57,9
58,7
59,9
60,13
61,1
62,0
63,2
64,4
65,5
66,3
67,13
68,0
69,12
70,5
71,9
72,9
73,8
74,13
75,12
76,8
77,9
78,1
79,6
80,5
81,4
82,8
83,6
84,2
85,5
86,13
87,6
88,7
89,10
90,6
91,9
92,9
93,9
94,4
95,0
96,2
97,0
98,3
99,2
100,4
101,7
102,0
103,8
104,10
105,10
106,5
107,0
108,0
109,7
110,3
111,9
112,6
113,12
114,3
115,4
116,6
117,6
118,2
119,9
120,13
121,5
122,1
123,9
124,0
125,5
126,13
127,5
128,0
129,8
130,11
131,0
132,13
133,9
134,5
135,1
136,0
137,8
138,13
139,3
140,9
141,12
142,7
143,10
144,6
145,6
146,2
147,2
148,9
149,4
150,1
151,5
152,0
153,5
154,11
155,8
156,12
157,8
158,13
159,3
160,8
161,2
162,7
163,11
164,12
165,12
166,5
167,11
168,1
169,1
170,12
171,9
172,13
173,7
174,8
175,2
176,6
177,5
178,7
179,3
180,11
181,1
182,2
183,1
184,8
185,2
186,0
187,6
188,4
189,12
190,12
191,0
192,13
193,10
194,6
195,1
196,8
197,7
198,3
199,1
200,2
201,8
202,7
203,10
204,10
205,6
206,3
207,8
208,9
209,10
210,1
211,9
212,4
213,10
214,3
215,8
216,7
217,6
218,10
219,2
220,5
221,12
222,11
223,11
224,2
225,10
226,9
227,4
228,8
229,0
230,12
231,1
232,0
233,2
234,5
235,12
236,10
237,13
238,11
239,11
240,2
241,7
242,10
243,4
244,10
245,9
246,1
247,11
248,0
249,4
250,8
251,0
252,10
253,0
254,13
255,2
256,4
257,2
258,9
259,8
260,10
261,11
262,13
263,12
264,5
265,4
266,7
267,5
268,12
269,6
270,13
271,2
272,12
273,3
274,7
275,11
276,8
277,12
278,7
279,4
280,3
281,7
282,5
283,8
284,2
285,8
286,9
287,6
288,12
289,4
290,10
291,1
292,3
293,8
294,7
295,9
296,6
297,8
298,5
299,2
300,8
301,12
302,13
303,2
304,2
305,4
306,1
307,13
308,11
309,5
310,5
311,12
312,12
313,8
314,11
315,1
316,11
317,8
318,3
319,8
320,2
321,0
322,7
323,10
324,5
325,1
326,6
327,9
328,12
329,3
330,4
331,1
332,6
333,12
334,5
335,11
336,13
337,13
338,8
339,6
340,1
341,1
342,3
343,2
344,13
345,7
346,11
347,9
348,12
349,10
350,8
351,2
352,10
353,1
354,12
355,2
356,2
357,11
358,9
359,10
360,3
361,9
362,7
363,7
364,12
365,2
366,4
367,8
368,8
369,7
370,4
371,9
372,3
373,4
374,10
375,4
376,8
377,6
378,3
379,13
380,7
381,8
382,7
383,2
384,10
385,2
386,10
387,1
388,2
389,6
390,6
391,0
392,10
393,6
394,3
395,9
396,9
397,6
398,3
399,7
400,6
401,4
402,2
403,8
404,11
405,6
406,8
407,6
408,12
409,2
410,4
411,10
412,8
413,13
414,10
415,11
416,10
417,10
418,5
419,8
420,7
421,0
422,11
423,11
424,8
425,7
426,13
427,11
428,10
429,3
430,4
431,4
432,1
433,5
434,3
435,2
436,2
437,9
438,12
439,7
440,12
441,7
442,1
443,1
444,3
445,5
446,9
447,1
448,5
449,9
450,12
451,5
452,11
453,3
454,1
455,10
456,10
457,0
458,10
459,5
460,11
461,5
462,9
463,3
464,8
465,12
466,5
467,3
468,5
469,12
470,3
471,4
472,7
473,13
474,9
475,0
476,11
477,1
478,7
479,0
480,1
481,5
482,4
483,13
484,12
485,9
486,10
487,6
488,9
489,1
490,10
491,9
492,7
493,1
494,8
495,6
496,9
497,11
498,5
499,6
500,9
501,1
502,1
503,12
504,7
505,5
506,3
507,9
508,13
509,3
510,9
511,13
512,10
513,5
514,0
515,0
516,6
517,8
518,4
519,12
520,6
521,4
522,2
523,0
524,6
525,8
