task,worker,answer
0,18,6
0,89,4
0,54,2
0,65,6
0,16,8
1,42,0
1,65,4
1,47,4
1,19,5
1,31,9
2,24,9
2,67,5
2,25,2
2,75,5
2,81,5
3,84,8
3,24,8
3,23,8
3,33,8
3,45,9
4,69,7
4,58,5
4,91,5
4,8,3
4,49,3
5,80,2
5,90,1
5,64,2
5,17,8
5,74,8
6,18,8
6,65,9
6,22,4
6,48,9
6,71,8
7,78,6
7,72,1
7,97,5
7,39,3
7,89,9
8,81,0
8,44,6
8,92,6
8,41,5
8,49,1
9,2,2
9,53,2
9,32,5
9,47,0
9,23,0
10,60,7
10,32,0
10,78,7
10,24,9
10,6,7
11,49,4
11,27,1
11,82,5
11,37,6
11,64,5
12,59,7
12,29,3
12,85,4
12,90,4
12,88,4
13,30,7
13,6,7
13,34,5
13,39,3
13,73,7
14,50,5
14,62,2
14,82,9
14,71,9
14,28,3
15,38,9
15,79,2
15,10,9
15,75,9
15,5,9
16,74,4
16,62,4
16,5,4
16,2,2
16,57,6
17,60,8
17,20,1
17,18,2
17,51,8
17,2,8
18,75,6
18,32,9
18,30,6
18,90,4
18,89,6
19,21,8
19,9,7
19,93,8
19,60,3
19,67,8
20,55,8
20,58,5
20,47,8
20,42,8
20,93,7
21,37,7
21,64,7
21,17,2
21,56,2
21,95,0
22,50,4
22,51,3
22,95,7
22,43,0
22,86,4
23,64,3
23,55,2
23,74,3
23,57,2
23,76,5
24,87,2
24,68,5
24,78,9
24,48,3
24,11,8
25,11,6
25,39,0
25,28,7
25,15,0
25,9,5
26,24,8
26,46,6
26,56,8
26,71,8
26,47,8
27,28,0
27,34,0
27,50,0
27,12,6
27,17,0
28,98,2
28,65,0
28,82,2
28,74,9
28,69,2
29,43,2
29,36,3
29,30,2
29,81,6
29,34,7
30,47,8
30,8,8
30,62,8
30,44,1
30,55,5
31,57,6
31,16,7
31,94,4
31,64,7
31,5,7
32,56,1
32,14,3
32,45,2
32,79,4
32,15,6
33,83,3
33,31,1
33,19,7
33,16,6
33,85,6
34,37,9
34,52,9
34,62,1
34,6,9
34,32,9
35,90,8
35,83,2
35,80,5
35,65,5
35,92,5
36,94,7
36,76,3
36,68,3
36,93,7
36,17,7
37,51,3
37,89,9
37,31,3
37,99,0
37,39,2
38,96,3
38,66,3
38,91,3
38,80,4
38,32,3
39,99,7
39,20,4
39,76,6
39,75,6
39,70,8
40,51,5
40,26,0
40,57,0
40,90,9
40,94,8
41,37,3
41,83,2
41,32,1
41,97,1
41,34,3
42,80,8
42,17,8
42,9,1
42,96,8
42,45,5
43,46,8
43,16,8
43,56,8
43,84,2
43,21,6
44,82,8
44,49,1
44,24,7
44,67,6
44,73,4
45,2,5
45,36,0
45,92,7
45,33,2
45,58,2
46,34,9
46,53,0
46,26,8
46,58,7
46,75,7
47,90,1
47,83,8
47,17,2
47,80,8
47,15,7
48,89,5
48,62,4
48,83,5
48,14,3
49,91,0
49,0,0
49,35,0
49,8,0
49,85,4
50,15,1
50,49,1
50,1,1
50,19,0
50,72,1
51,53,3
51,91,8
51,31,0
51,34,3
51,27,1
52,30,3
52,94,3
52,63,1
52,1,3
52,22,9
53,49,9
53,32,6
53,14,9
53,5,9
53,66,8
54,0,7
54,30,8
54,75,7
54,89,5
55,54,7
55,82,2
55,27,9
55,4,7
55,50,0
56,29,4
56,92,4
56,63,4
56,90,4
56,74,7
57,75,9
57,10,1
57,51,9
57,58,4
57,48,9
58,21,9
58,61,3
58,98,7
58,31,3
58,45,7
59,95,5
59,16,4
59,31,4
59,67,4
59,98,4
60,58,6
60,10,5
60,83,7
60,2,9
60,3,9
61,17,7
61,8,0
61,73,2
61,35,8
62,63,7
62,40,9
62,79,6
62,77,9
63,52,5
63,93,4
63,68,4
63,79,2
63,53,2
64,45,2
64,68,9
64,48,9
64,14,9
64,15,0
65,72,2
65,16,2
65,31,2
65,69,2
65,56,8
66,23,9
66,74,9
66,71,9
66,82,2
66,26,4
67,21,6
67,35,6
67,82,1
67,80,6
68,28,0
68,61,4
68,55,4
68,94,2
68,52,8
69,78,1
69,67,5
69,83,7
69,14,7
69,9,0
70,0,3
70,45,6
70,16,3
70,2,4
70,86,3
71,48,0
71,12,0
71,60,2
71,16,7
71,79,9
72,68,7
72,2,8
72,45,9
72,61,9
72,14,2
73,42,1
73,14,1
73,67,4
73,94,9
73,37,1
74,80,3
74,27,3
74,33,2
74,92,7
74,35,6
75,5,5
75,42,8
75,62,3
75,69,3
75,71,3
76,74,2
76,26,5
76,40,5
76,48,7
76,47,0
77,68,8
77,53,1
77,27,3
77,35,1
77,55,1
78,50,0
78,87,0
78,28,2
78,25,0
78,90,0
79,85,8
79,24,6
79,18,7
79,7,5
79,98,3
80,99,1
80,49,6
80,70,5
80,15,2
80,40,4
81,41,0
81,99,9
81,28,0
81,31,0
81,12,8
82,13,6
82,72,7
82,37,7
82,28,3
82,68,0
83,3,4
83,46,7
83,70,9
83,6,2
83,48,5
84,38,8
84,56,6
84,96,0
84,32,5
84,43,5
85,49,9
85,53,3
85,21,8
85,41,6
85,14,3
86,7,4
86,82,3
86,69,1
86,55,5
86,41,9
87,32,9
87,12,5
87,57,2
87,47,9
87,69,9
88,15,8
88,30,8
88,78,8
88,38,8
88,89,7
89,31,7
89,8,7
89,2,2
89,61,1
90,51,7
90,9,0
90,1,9
90,10,9
90,5,9
91,98,3
91,71,5
91,30,3
91,34,3
92,50,0
92,62,5
92,5,1
92,18,5
92,76,7
93,84,0
93,72,0
93,62,1
93,36,1
93,38,0
94,41,0
94,30,0
94,14,4
94,21,0
95,31,0
95,29,6
95,34,7
95,16,2
95,53,1
96,6,2
96,57,8
96,13,1
96,78,5
96,48,9
97,32,9
97,55,4
97,0,2
97,51,3
97,59,0
98,2,8
98,40,4
98,45,3
98,42,6
98,59,8
99,21,2
99,16,6
99,78,3
99,57,7
99,15,6
100,76,3
100,74,6
100,68,3
100,71,5
100,50,3
101,21,6
101,26,8
101,13,6
101,69,5
101,68,7
102,90,6
102,7,9
102,22,4
102,84,3
102,88,0
103,81,3
103,83,3
103,85,0
103,84,3
103,45,3
104,40,8
104,82,7
104,52,0
104,27,8
104,66,7
105,52,1
105,9,7
105,90,1
105,5,7
106,28,4
106,49,4
106,66,1
106,65,5
106,73,4
107,98,9
107,19,0
107,84,5
107,85,9
107,76,7
108,37,2
108,70,7
108,33,1
108,56,3
108,40,7
109,66,3
109,46,3
109,96,3
109,34,3
109,47,3
110,76,9
110,83,6
110,30,9
110,12,8
110,91,5
111,81,2
111,22,8
111,91,9
111,70,6
111,57,8
112,12,9
112,53,2
112,14,0
112,37,1
112,71,0
113,29,3
113,25,2
113,31,3
113,78,0
113,12,9
114,47,3
114,24,4
114,60,3
114,45,3
114,85,6
115,36,9
115,27,9
115,5,0
115,59,1
115,30,9
116,0,8
116,17,8
116,66,8
116,80,4
117,43,7
117,15,2
117,5,0
117,58,0
117,98,3
118,44,4
118,97,9
118,46,4
118,88,1
118,59,2
119,74,7
119,80,7
119,66,4
119,91,0
119,30,7
120,99,6
120,21,6
120,18,7
120,51,5
120,28,7
121,72,3
121,59,4
121,37,4
121,21,8
121,14,7
122,58,5
122,24,5
122,80,5
122,36,7
122,39,5
123,81,1
123,34,9
123,86,0
123,21,0
123,15,0
124,46,8
124,80,0
124,19,4
124,31,9
124,6,7
125,31,0
125,55,2
125,56,2
125,24,6
125,3,7
126,22,5
126,53,5
126,11,8
126,29,7
126,0,2
127,15,5
127,98,8
127,2,0
127,90,8
127,48,5
128,96,0
128,22,0
128,87,1
128,89,3
128,6,6
129,59,0
129,46,8
129,56,8
129,22,1
129,7,3
130,24,8
130,21,0
130,51,8
130,77,8
131,87,0
131,63,3
131,14,3
131,92,3
131,29,3
132,88,1
132,22,2
132,35,8
132,50,1
133,65,5
133,28,3
133,47,9
133,15,5
133,25,9
134,38,5
134,59,5
134,82,0
134,8,8
134,4,1
135,31,0
135,22,3
135,14,2
135,5,2
135,29,2
136,3,5
136,70,8
136,92,5
136,13,1
136,16,5
137,70,9
137,35,6
137,56,4
137,61,1
137,47,1
138,84,1
138,62,9
138,37,7
138,61,1
138,28,1
139,2,3
139,62,4
139,23,3
139,18,7
139,84,2
140,28,3
140,66,3
140,98,2
140,57,3
140,47,3
141,73,3
141,64,0
141,79,0
141,35,0
141,17,0
142,55,1
142,65,9
142,17,3
142,94,1
143,19,2
143,74,7
143,57,2
143,5,6
143,58,7
144,74,9
144,56,9
144,81,9
144,25,9
144,62,6
145,91,4
145,55,1
145,76,6
145,81,1
145,40,4
146,49,3
146,93,5
146,36,3
146,25,4
146,72,3
147,23,6
147,34,4
147,30,5
147,66,4
147,83,5
148,63,4
148,95,0
148,29,4
148,72,4
148,88,5
149,41,2
149,57,3
149,51,4
149,52,5
149,53,5
150,5,6
150,72,6
150,2,6
150,75,6
150,29,8
151,4,7
151,74,7
151,64,4
151,34,1
151,81,7
152,67,4
152,74,3
152,95,2
152,3,4
152,84,4
153,8,1
153,56,4
153,1,3
153,90,8
153,29,3
154,14,6
154,26,6
154,51,6
154,95,8
154,70,7
155,48,9
155,10,1
155,84,1
155,13,1
155,1,1
156,19,7
156,66,7
156,50,9
156,83,0
156,67,1
157,95,5
157,1,5
157,43,9
157,35,5
158,6,9
158,64,0
158,19,2
158,55,6
158,10,6
159,20,1
159,98,4
159,59,3
159,30,7
160,13,6
160,16,7
160,5,2
160,32,9
160,82,2
161,97,7
161,66,6
161,88,0
161,94,8
161,81,8
162,56,1
162,75,0
162,46,0
162,3,4
162,4,0
163,62,1
163,57,0
163,16,8
163,13,9
163,6,0
164,30,2
164,29,2
164,80,7
164,0,2
164,31,2
165,70,7
165,36,4
165,73,7
165,65,7
165,23,6
166,53,4
166,55,8
166,62,8
166,2,9
166,85,8
167,77,1
167,25,9
167,88,7
167,20,9
167,90,2
168,36,4
168,3,3
168,75,4
168,70,4
168,23,2
169,44,1
169,25,1
169,34,1
169,29,1
169,59,9
170,86,2
170,9,3
170,41,3
170,89,3
170,78,3
171,52,0
171,6,1
171,14,0
171,47,0
171,68,3
172,73,0
172,93,0
172,21,0
172,2,4
172,55,7
173,97,3
173,20,7
173,65,1
173,39,2
174,64,4
174,25,5
174,32,6
174,23,1
174,59,6
175,39,1
175,61,5
175,50,5
175,93,8
175,72,5
176,30,5
176,88,9
176,23,9
176,29,3
176,33,7
177,2,7
177,86,0
177,93,7
177,38,1
177,74,0
178,54,7
178,44,2
178,78,7
178,6,2
178,97,6
179,79,4
179,55,0
179,15,6
179,9,4
179,37,2
180,85,3
180,45,3
180,57,5
180,7,8
180,88,5
181,25,8
181,36,1
181,93,8
181,57,8
181,16,6
182,67,2
182,76,2
182,43,0
182,69,2
182,25,5
183,91,2
183,42,8
183,20,8
183,55,8
184,78,1
184,40,2
184,68,2
184,38,7
184,9,7
185,55,0
185,87,0
185,72,0
185,80,0
185,58,8
186,96,8
186,59,8
186,66,6
186,35,2
186,68,8
187,69,6
187,70,1
187,22,6
187,38,6
187,4,6
188,85,0
188,39,0
188,63,4
188,48,5
188,40,2
189,97,5
189,19,0
189,86,9
189,90,6
189,73,0
190,42,1
190,46,2
190,47,9
190,94,9
190,43,9
191,42,4
191,17,7
191,91,8
191,58,8
191,71,4
192,30,3
192,71,3
192,84,8
192,43,3
192,56,3
193,91,0
193,6,4
193,76,0
193,16,2
193,83,0
194,31,1
194,69,6
194,85,3
194,99,5
194,27,0
195,42,5
195,85,5
195,22,5
195,12,3
195,99,5
196,14,2
196,48,2
196,1,2
196,58,9
196,49,4
197,18,4
197,88,1
197,67,4
197,19,9
198,68,1
198,85,1
198,62,7
198,14,9
198,11,2
199,75,4
199,52,9
199,7,4
199,29,6
199,66,5
200,93,0
200,29,3
200,32,0
200,4,0
200,0,7
201,12,8
201,18,1
201,93,0
201,29,6
201,16,0
202,29,5
202,38,0
202,98,8
202,96,8
203,30,2
203,76,7
203,61,5
203,28,8
203,36,0
204,24,8
204,0,8
204,49,7
204,55,8
204,78,4
205,88,6
205,71,7
205,13,0
205,30,7
205,43,7
206,47,0
206,25,6
206,45,0
206,28,0
206,56,0
207,94,9
207,85,5
207,51,5
207,19,5
207,84,5
208,23,9
208,34,4
208,20,8
208,97,1
208,80,3
209,30,3
209,23,3
209,35,3
209,1,0
209,8,3
210,1,3
210,48,2
210,57,3
210,6,3
210,47,3
211,24,2
211,18,0
211,9,4
211,40,8
211,45,4
212,81,1
212,3,0
212,35,7
212,40,6
212,28,0
213,8,0
213,24,3
213,46,4
213,65,6
214,75,6
214,38,6
214,85,6
214,29,6
214,86,1
215,25,2
215,56,6
215,37,6
215,27,2
215,80,8
216,48,7
216,61,0
216,30,0
216,39,0
216,41,3
217,50,4
217,56,6
217,74,1
217,37,1
218,38,4
218,71,5
218,42,5
218,36,3
218,13,5
219,56,9
