task_id,task_community
0,3
1,4
2,4
3,6
4,6
5,1
6,6
7,4
8,3
9,0
10,0
11,4
12,2
13,1
14,0
15,3
16,4
17,6
18,1
19,1
20,0
21,0
22,4
23,4
24,3
25,1
26,1
27,1
28,4
29,2
30,3
31,1
32,4
33,2
34,5
35,1
36,1
37,0
38,4
39,2
40,1
41,6
42,6
43,1
44,3
45,0
46,5
47,5
48,3
49,1
50,4
51,2
52,3
53,0
54,4
55,6
56,5
57,3
58,4
59,0
60,1
61,3
62,5
63,6
64,0
65,5
66,5
67,3
68,2
69,6
70,5
71,5
72,2
73,2
74,5
75,5
76,2
77,5
78,1
79,6
80,4
81,5
82,5
83,4
84,1
85,4
86,2
87,5
88,5
89,1
90,6
91,2
92,0
93,3
94,3
95,6
96,3
97,6
98,0
99,0
100,0
101,1
102,6
103,2
104,3
105,2
106,4
107,5
108,5
109,1
110,0
111,3
112,6
113,4
114,4
115,3
116,3
117,0
118,3
119,4
120,6
121,4
122,4
123,3
124,6
125,5
126,3
127,4
128,0
129,1
130,6
131,4
132,1
133,5
134,3
135,1
136,1
137,2
138,2
139,4
140,1
141,4
142,2
143,6
144,2
145,3
146,1
147,5
148,0
149,4
150,6
151,1
152,1
153,2
154,1
155,2
156,3
157,2
158,5
159,4
160,3
161,0
162,1
163,4
164,0
165,2
166,5
167,2
168,3
169,5
170,3
171,5
172,4
173,6
174,4
175,1
176,2
177,0
178,1
179,0
180,6
181,1
182,6
183,2
184,1
185,2
186,2
187,6
188,3
189,6
190,4
191,6
192,0
193,5
194,0
195,1
196,4
197,1
198,1
199,6
200,4
201,6
202,1
203,0
204,0
205,6
206,6
207,5
208,6
209,2
210,1
211,0
212,6
213,6
214,4
215,4
216,2
217,1
218,1
219,5
220,4
221,2
222,0
223,2
224,4
225,2
226,6
227,4
228,0
229,1
230,6
231,0
232,0
233,2
234,6
235,1
236,2
237,6
238,4
239,5
240,0
241,0
242,3
243,4
244,3
245,6
246,6
247,2
248,3
249,5
250,6
251,6
252,0
253,5
254,6
255,0
256,3
257,1
258,3
259,3
260,6
261,6
262,0
263,6
264,1
265,6
266,6
267,0
268,0
269,3
270,1
271,4
272,0
273,6
274,2
275,2
276,0
277,4
278,3
279,4
280,2
281,1
282,1
283,0
284,3
285,3
286,2
287,1
288,5
289,3
290,4
291,2
292,2
293,1
294,3
295,0
296,4
297,0
298,6
299,1
300,1
301,6
302,4
303,2
304,4
305,6
306,0
307,1
308,5
309,3
310,6
311,1
312,0
313,2
314,4
315,5
316,0
317,2
318,2
319,4
320,5
321,5
322,2
323,3
324,5
325,0
326,5
327,2
328,4
329,4
330,2
331,6
332,0
333,5
334,2
335,3
336,6
337,2
338,6
339,4
340,1
341,6
342,6
343,6
344,1
345,2
346,6
347,2
348,2
349,3
350,0
351,1
352,2
353,3
354,4
355,2
356,4
357,1
358,2
359,5
360,0
361,2
362,2
363,6
364,0
365,6
366,1
367,2
368,4
369,0
370,4
371,4
372,6
373,3
374,3
375,0
376,2
377,6
378,1
379,6
380,1
381,6
382,5
383,1
384,2
385,0
386,6
387,1
388,6
389,3
390,3
391,2
392,6
393,4
394,6
395,3
396,1
397,2
398,2
399,3
400,3
401,1
402,1
403,0
404,6
405,0
406,5
407,0
408,2
409,5
410,0
411,4
412,2
413,0
414,6
415,3
416,0
417,6
418,1
419,2
420,1
421,4
422,6
423,6
424,6
425,4
426,1
427,0
428,4
429,3
430,1
431,2
432,3
433,5
434,6
435,2
436,4
437,5
438,2
439,1
440,5
441,2
442,3
443,6
444,5
445,5
446,1
447,2
448,2
449,5
450,5
451,2
452,6
453,4
454,3
455,6
456,4
457,4
458,2
459,0
460,4
461,4
462,3
463,1
464,6
465,2
466,5
467,1
468,2
469,5
470,6
471,3
472,0
473,6
474,2
475,4
476,2
477,6
478,5
479,2
480,4
481,6
482,3
483,2
484,6
485,1
486,6
487,1
488,4
489,4
490,1
491,4
492,2
493,4
494,2
495,5
496,6
497,4
498,6
499,3
500,5
501,4
502,4
503,0
504,5
505,4
506,3
507,5
508,5
509,4
510,3
511,5
512,5
513,1
514,6
515,3
516,6
517,0
518,3
519,6
520,4
521,3
522,4
523,2
524,3
525,5
526,2
527,0
528,6
529,6
530,2
531,0
532,6
533,4
534,5
535,0
536,6
537,2
538,6
539,5
540,2
541,4
542,3
543,4
544,4
545,2
546,2
547,5
548,3
549,2
550,2
551,2
552,1
553,3
554,2
555,6
556,0
557,3
558,0
559,6
560,5
561,3
562,3
563,5
564,3
565,5
566,4
567,4
568,4
569,0
570,1
571,0
572,2
573,3
574,4
575,1
576,4
577,3
578,6
579,4
580,0
581,1
582,1
583,1
584,4
585,4
586,3
587,3
588,1
589,5
590,4
591,1
592,6
593,6
594,6
595,2
596,6
597,3
598,2
599,1
600,4
601,4
602,2
603,4
604,0
605,2
606,4
607,3
608,2
609,1
610,1
611,6
612,3
613,3
614,6
615,5
616,4
617,5
618,0
619,6
620,3
621,1
622,1
623,2
624,4
625,6
626,5
627,5
628,3
629,4
630,4
631,3
632,0
633,6
634,0
635,4
636,6
637,1
638,1
639,2
640,6
641,5
642,4
643,3
644,2
645,1
646,5
647,1
648,1
649,6
650,5
651,5
652,2
653,3
654,3
655,1
656,1
657,6
658,2
659,6
660,3
661,6
662,0
663,2
664,5
665,6
666,0
667,0
668,5
669,5
670,3
671,3
672,2
673,1
674,6
675,3
676,2
677,0
678,3
679,5
680,3
681,4
682,0
683,2
684,5
685,1
686,4
687,4
688,3
689,1
690,5
691,5
692,3
693,2
694,6
695,1
696,2
697,6
698,3
699,2
700,3
701,1
702,3
703,5
704,2
705,6
706,4
707,2
708,3
709,3
710,2
711,1
712,6
713,0
714,4
715,4
716,0
717,3
718,6
719,4
720,6
721,1
722,4
723,4
724,2
725,6
726,1
727,5
728,2
729,5
730,0
731,3
732,5
733,4
734,3
735,2
736,1
737,4
738,2
739,0
740,5
741,0
742,2
743,3
744,1
745,4
746,6
747,6
748,2
749,1
750,2
751,2
752,6
753,6
754,1
755,4
756,4
757,3
758,5
759,1
760,5
761,0
762,6
763,6
764,0
765,1
766,1
767,5
768,0
769,3
770,0
771,4
772,6
773,2
774,4
775,2
776,4
777,6
778,6
779,1
780,3
781,1
782,1
783,1
784,6
785,6
786,5
787,2
788,5
789,6
790,4
791,5
792,5
793,3
794,6
795,2
796,3
797,0
798,3
799,0
800,6
801,4
802,2
803,2
804,0
805,6
806,6
807,3
808,0
809,1
810,6
811,3
812,0
813,1
814,0
815,3
816,5
817,4
818,4
819,5
820,3
821,0
822,0
823,5
824,3
825,2
826,1
827,5
828,2
829,5
830,3
831,0
832,2
833,1
834,0
835,0
836,4
837,6
838,6
839,1
840,0
841,2
842,2
843,6
844,3
845,5
846,0
847,1
848,3
849,1
850,4
851,1
852,3
853,5
854,0
855,5
856,0
857,1
858,2
859,3
860,2
861,5
862,0
863,2
864,4
865,0
866,2
867,6
868,0
869,6
870,2
871,6
872,4
873,2
874,2
875,5
876,0
877,2
878,2
879,2
880,6
881,4
882,6
883,0
884,0
885,0
886,1
887,2
888,1
889,6
890,0
891,2
892,6
893,4
894,1
895,4
896,4
897,5
898,0
899,3
900,1
901,5
902,0
903,6
904,2
905,1
906,3
907,2
908,1
909,4
910,3
911,6
912,1
913,3
914,1
915,5
916,3
917,0
918,1
919,3
920,6
921,4
922,6
923,6
924,5
925,5
926,6
927,3
928,6
929,6
930,0
931,1
932,5
933,4
934,1
935,5
936,3
937,5
938,0
939,6
940,4
941,1
942,2
943,5
944,1
945,6
946,0
947,0
948,4
949,3
950,1
951,4
952,4
953,6
954,1
955,1
956,1
957,1
958,0
959,2
960,3
961,5
962,5
963,0
964,2
965,5
966,2
967,3
968,1
969,0
970,4
971,4
