worker_id,worker_community
0,7
1,7
2,5
3,7
4,0
5,6
6,2
7,6
8,6
9,2
10,7
11,5
12,6
13,3
14,2
15,6
16,5
17,4
18,0
19,7
20,7
21,6
22,2
23,7
24,0
25,4
26,4
27,1
28,3
29,3
30,3
31,0
32,2
33,2
34,1
35,3
36,1
37,3
38,7
39,4
40,7
41,1
42,7
43,4
44,4
45,1
46,6
47,3
48,7
49,6
50,6
51,1
52,0
53,6
54,0
55,3
56,2
57,3
58,5
59,1
60,5
61,4
62,3
63,0
64,6
65,2
66,0
67,5
68,0
69,2
70,0
71,6
72,5
73,2
74,6
75,0
76,7
77,7
78,3
79,5
80,3
81,4
82,6
83,6
84,5
85,7
86,5
87,5
88,6
89,4
90,2
91,7
92,5
93,2
94,1
95,0
96,5
97,1
98,7
99,0
100,6
101,0
102,6
103,4
104,1
105,4
106,6
107,0
108,0
109,2
110,1
111,6
112,3
113,2
114,5
115,1
116,7
117,4
118,2
119,7
120,5
121,6
122,5
123,2
124,6
125,6
126,0
127,7
128,3
129,5
130,7
131,5
132,5
133,4
134,7
135,0
136,3
137,6
138,0
139,7
140,7
141,1
142,6
143,5
144,1
145,3
146,0
147,4
148,3
149,6
150,1
151,6
152,4
153,3
154,0
155,3
156,6
157,3
158,0
159,7
160,1
161,2
162,1
163,2
164,4
165,6
166,3
167,3
168,2
169,4
170,6
171,0
172,3
173,6
174,6
175,2
176,5
177,0
178,5
179,5
180,5
181,3
182,0
183,6
184,4
185,3
186,7
187,0
188,2
189,3
190,3
191,2
192,0
193,5
194,3
195,0
196,2
197,4
198,4
199,1
200,7
201,3
202,5
203,5
204,5
205,0
206,5
207,7
208,6
209,3
210,2
211,0
212,2
213,1
214,1
215,5
216,1
217,6
218,1
219,7
220,2
221,3
222,1
223,4
224,1
225,2
226,0
227,3
228,2
229,2
230,6
231,1
232,6
233,4
234,7
235,5
236,5
237,4
238,2
239,7
240,4
241,6
242,2
243,7
244,6
245,7
246,6
247,5
248,7
249,2
250,3
251,3
252,0
253,5
254,7
255,1
256,2
257,0
258,3
259,5
260,1
261,3
262,2
263,1
264,5
265,5
266,5
267,5
268,3
269,3
270,4
271,0
272,5
273,6
274,3
275,2
276,2
277,2
278,6
279,6
280,3
281,5
282,0
283,7
284,6
285,7
286,6
287,1
288,2
289,5
290,2
291,4
292,0
293,6
294,6
295,3
296,4
297,3
298,7
299,6
300,3
301,4
302,5
303,6
304,2
305,2
306,6
307,5
308,0
309,0
310,3
311,1
312,6
313,5
314,3
315,1
316,5
317,1
318,5
319,2
320,3
321,7
322,1
323,4
324,5
325,6
326,0
327,2
328,4
329,4
330,4
331,2
332,1
333,6
334,2
335,7
336,1
337,2
338,3
339,5
340,2
341,4
342,3
343,0
344,0
345,6
346,0
347,7
348,4
349,5
350,7
351,0
352,1
353,5
354,0
355,1
356,1
357,0
358,0
359,1
360,3
361,5
362,3
363,4
364,7
365,1
366,3
367,5
368,2
369,5
370,2
371,2
372,5
373,5
374,5
375,0
376,5
377,1
378,6
379,0
380,5
381,2
382,1
383,3
384,6
385,7
386,6
387,4
388,0
389,2
390,0
391,4
392,1
393,4
394,3
395,1
396,3
397,0
398,0
399,3
400,5
401,2
402,2
403,1
404,2
405,5
406,3
407,5
408,5
409,6
410,4
411,4
412,5
413,4
414,7
415,5
416,3
417,2
418,5
419,3
420,6
421,6
422,2
423,0
424,0
425,2
426,0
427,2
428,0
429,3
430,0
431,3
432,7
433,2
434,6
435,7
436,7
437,3
438,3
439,2
440,7
441,1
442,2
443,6
444,3
445,0
446,5
447,2
448,3
449,5
450,1
451,0
452,1
453,4
454,2
455,4
456,5
457,6
458,2
459,0
460,7
461,6
462,2
463,0
464,7
465,5
466,0
467,7
468,2
469,6
470,6
471,1
472,5
473,3
474,7
475,0
476,6
477,3
478,1
479,7
480,2
481,6
482,3
483,3
484,6
485,6
486,4
487,5
488,5
489,4
490,5
491,0
492,2
493,4
494,2
495,1
496,3
497,2
498,2
499,3
