task_id,truth
0,5
1,1
2,5
3,11
4,13
5,10
6,14
7,4
8,10
9,8
10,14
11,0
12,12
13,14
14,11
15,10
16,4
17,10
18,6
19,3
20,2
21,13
22,13
23,6
24,6
25,11
26,0
27,4
28,2
29,0
30,6
31,10
32,6
33,0
34,7
35,10
36,0
37,14
38,3
39,9
40,2
41,5
42,9
43,2
44,13
45,10
46,0
47,12
48,12
49,8
50,3
51,10
52,4
53,4
54,1
55,8
56,11
57,11
58,8
59,9
60,11
61,12
62,11
63,12
64,12
65,5
66,10
67,7
68,9
69,10
70,13
71,14
72,11
73,3
74,14
75,10
76,2
77,2
78,2
79,10
80,13
81,9
82,6
83,3
84,6
85,5
86,1
87,6
88,11
89,4
90,3
91,8
92,5
93,11
94,8
95,10
96,5
97,13
98,3
99,10
100,10
101,9
102,13
103,12
104,13
105,5
106,2
107,5
108,6
109,7
110,4
111,6
112,6
113,10
114,3
115,4
116,7
117,7
118,12
119,4
120,4
121,0
122,9
123,9
124,14
125,6
126,8
127,9
128,11
129,5
130,5
131,14
132,2
133,3
134,10
135,0
136,12
137,0
138,14
139,12
140,10
141,7
142,3
143,5
144,3
145,12
146,3
147,4
148,13
149,3
150,0
151,1
152,6
153,3
154,1
155,12
156,13
157,7
158,3
159,1
160,14
161,9
162,5
163,14
164,12
165,6
166,8
167,0
168,6
169,12
170,2
171,0
172,2
173,8
174,11
175,11
176,3
177,2
178,12
179,5
180,2
181,14
182,11
183,1
184,8
185,4
186,10
187,11
188,13
189,6
190,6
191,4
192,5
193,1
194,12
195,0
196,14
197,1
198,8
199,5
200,9
201,10
202,9
203,12
204,8
205,10
206,10
207,13
208,12
209,8
210,5
211,11
212,10
213,10
214,7
215,11
216,2
217,13
218,2
219,13
220,10
221,2
222,1
223,5
224,7
225,12
226,3
227,1
228,7
229,9
230,5
231,11
232,7
233,8
234,12
235,13
236,14
237,2
238,13
239,6
240,4
241,7
242,3
243,0
244,13
245,2
246,7
247,4
248,14
249,2
250,4
251,11
252,1
253,1
254,14
255,0
256,7
257,9
258,11
259,11
260,0
261,7
262,12
263,3
264,0
265,10
266,5
267,13
268,14
269,1
270,4
271,1
272,12
273,14
274,7
275,4
276,13
277,0
278,14
279,0
280,8
281,1
282,0
283,5
284,12
285,9
286,14
287,2
288,4
289,14
290,10
291,13
292,8
293,14
294,12
295,11
296,10
297,5
298,6
299,4
300,11
301,6
302,6
303,13
304,12
305,13
306,12
307,13
308,13
309,11
310,10
311,1
312,9
313,8
314,1
315,3
316,10
317,3
318,10
319,6
320,5
321,7
322,9
323,8
324,10
325,6
326,5
327,13
328,12
329,12
330,4
331,4
332,1
333,9
334,3
335,4
336,11
337,14
338,8
339,3
340,5
341,3
342,2
343,1
344,9
345,12
346,8
347,6
348,10
349,12
350,10
351,8
352,0
353,7
354,10
355,9
356,14
357,10
358,13
359,7
360,13
361,3
362,14
363,7
364,8
365,14
366,2
367,3
368,8
369,12
370,4
371,11
372,0
373,4
374,10
375,11
376,1
377,3
378,3
379,2
380,7
381,6
382,12
383,11
384,11
385,1
386,14
387,6
388,4
389,3
390,6
391,11
392,14
393,1
394,3
395,0
396,4
397,11
398,0
399,2
400,14
401,3
402,7
403,0
404,1
405,11
406,13
407,2
408,14
409,6
410,13
411,0
412,14
413,8
414,10
415,2
416,12
417,10
418,13
419,5
420,5
421,4
422,1
423,8
424,0
425,11
426,13
427,14
428,13
429,4
430,14
431,5
432,0
433,9
434,14
435,2
436,10
437,11
438,4
439,2
440,7
441,2
442,9
443,11
444,4
445,14
446,1
447,9
448,12
449,12
450,1
451,0
452,10
453,9
454,6
455,3
456,5
457,8
458,10
459,3
460,5
461,5
462,7
463,4
464,6
465,12
466,11
467,14
468,8
469,14
470,14
471,2
472,14
473,4
474,8
475,3
476,2
477,0
478,1
479,9
480,8
481,4
482,4
483,0
484,9
485,7
486,0
487,5
488,7
489,4
490,1
491,13
492,10
493,9
494,0
495,14
496,14
497,5
498,2
499,8
500,0
501,6
502,14
503,6
504,11
505,4
506,1
507,11
508,5
509,0
510,4
511,9
512,0
513,3
514,0
515,10
516,6
517,8
518,1
519,12
520,14
521,2
522,8
523,2
524,11
525,6
526,14
527,7
528,11
529,12
530,3
531,4
532,5
533,6
534,12
535,10
536,7
537,2
538,0
539,2
540,5
541,7
542,11
543,12
544,2
545,1
546,3
547,14
548,9
549,14
550,1
551,11
552,7
553,5
554,11
555,12
556,6
557,8
558,2
559,13
560,1
561,3
562,6
563,3
564,5
565,11
566,6
567,13
568,10
569,11
570,0
571,13
572,7
573,10
574,13
575,13
576,10
577,9
578,2
579,1
580,6
581,11
582,3
583,6
584,3
585,7
586,13
587,11
588,13
589,14
590,7
591,14
592,4
593,5
594,14
595,11
596,6
597,10
598,8
599,1
600,1
601,11
602,4
603,9
604,13
605,9
606,1
607,6
608,2
609,5
610,3
611,8
612,2
613,8
614,12
615,9
616,4
617,8
618,14
619,14
620,5
621,0
622,4
623,3
624,14
625,1
626,9
627,5
628,2
629,8
630,0
631,6
632,3
633,5
634,1
635,5
636,2
637,1
638,14
639,5
640,14
641,1
642,12
643,10
644,3
645,2
646,14
647,5
648,5
649,4
650,13
651,4
652,9
653,7
654,12
655,14
656,3
657,7
658,8
659,8
660,11
661,6
662,2
663,1
664,6
665,3
666,10
667,13
668,13
669,11
670,6
671,5
672,12
673,5
674,3
675,12
676,6
677,1
678,6
679,13
680,5
681,7
682,14
683,0
684,5
685,12
686,6
687,6
688,4
689,7
690,4
691,11
692,9
693,6
694,14
695,8
696,11
697,14
698,6
699,11
700,0
701,6
702,4
703,6
704,13
705,2
706,10
707,0
708,0
709,8
710,14
711,8
712,9
713,12
714,0
715,9
716,10
717,8
718,3
719,1
720,11
721,7
722,0
723,0
724,6
725,3
726,7
727,4
728,6
729,1
730,12
731,4
732,2
733,14
734,4
735,11
736,2
737,7
738,11
739,13
740,12
741,11
742,8
743,3
744,8
745,9
746,7
747,2
748,4
749,13
750,12
751,13
752,3
753,9
754,8
755,4
756,8
757,8
758,1
759,5
760,3
761,12
762,2
763,2
764,14
765,8
766,10
767,10
768,4
769,12
770,0
771,9
772,0
773,0
774,7
775,12
776,6
777,10
778,3
779,5
780,9
781,13
782,13
783,10
784,5
785,9
786,4
787,3
788,14
789,9
790,12
791,9
792,10
793,3
794,5
795,0
796,10
797,12
798,6
799,6
800,7
801,13
802,11
803,0
804,14
805,4
806,3
807,14
808,9
809,9
810,0
811,4
812,13
813,13
814,9
815,9
816,14
817,14
818,6
819,6
820,9
821,13
822,5
823,2
824,13
825,8
826,1
827,5
828,5
829,2
830,4
831,9
832,5
833,11
834,7
835,9
836,10
837,10
838,0
839,14
840,6
841,1
842,3
843,11
844,1
845,13
846,4
847,4
848,5
849,3
850,0
851,2
852,2
853,7
854,0
855,3
856,9
857,13
858,10
859,8
860,12
861,2
862,9
863,10
864,13
865,12
866,0
867,9
868,11
869,0
870,5
871,11
872,8
873,14
874,7
875,11
876,7
877,10
878,4
879,7
880,4
881,14
882,3
883,8
884,12
885,11
886,9
887,12
888,13
889,2
890,12
891,6
892,3
893,10
894,3
895,4
896,4
897,5
898,6
899,4
900,13
901,6
902,3
903,10
904,11
905,2
906,2
907,4
908,10
909,1
910,14
911,14
912,3
913,7
914,0
915,5
916,2
917,5
918,8
919,8
920,10
921,3
922,11
923,1
924,3
925,4
926,7
927,11
928,12
929,12
930,1
931,6
932,1
933,10
934,2
935,2
936,11
937,13
938,1
939,3
940,13
941,10
942,3
943,12
944,4
945,3
946,5
947,14
948,8
949,13
950,8
951,2
952,4
953,14
