task,worker,answer
0,80,8
0,86,9
0,78,2
0,90,8
0,48,4
1,20,4
1,66,8
1,51,8
1,74,9
1,91,8
2,43,2
2,30,2
2,57,8
2,16,2
2,76,7
3,83,9
3,22,6
3,67,6
3,32,5
3,63,6
4,50,1
4,53,1
4,89,6
4,29,7
4,37,7
5,20,2
5,7,8
5,58,2
5,42,2
5,19,1
6,13,2
6,44,8
6,29,6
6,67,8
6,49,7
7,75,2
7,32,2
7,26,2
7,54,2
7,86,3
8,63,2
8,35,2
8,29,2
8,13,3
8,99,2
9,90,5
9,46,1
9,7,7
9,8,1
10,51,1
10,48,8
10,2,8
10,74,5
10,49,8
11,86,9
11,2,9
11,94,7
11,6,4
11,64,3
12,38,4
12,9,2
12,94,6
12,40,6
12,3,7
13,10,4
13,47,5
13,14,9
13,82,0
13,44,0
14,99,7
14,64,5
14,28,7
14,78,5
14,83,4
15,28,6
15,53,4
15,56,7
15,46,7
15,20,7
16,5,8
16,53,2
16,39,2
16,77,2
16,33,8
17,59,7
17,74,7
17,96,6
17,94,7
17,73,7
18,33,3
18,45,6
18,15,3
18,99,5
18,80,2
19,22,7
19,39,0
19,26,7
19,90,3
19,61,3
20,16,1
20,9,3
20,70,3
20,62,1
20,5,1
21,7,0
21,42,0
21,23,0
21,35,0
21,48,0
22,17,7
22,64,8
22,15,3
22,51,8
22,50,2
23,28,8
23,63,8
23,69,7
23,4,1
23,74,8
24,76,7
24,59,6
24,2,7
24,25,0
25,93,3
25,87,6
25,31,4
25,34,8
25,28,4
26,40,1
26,25,5
26,93,8
26,0,2
26,64,0
27,8,5
27,94,5
27,60,5
27,77,9
27,40,5
28,24,2
28,78,2
28,4,2
28,48,7
29,95,5
29,86,0
29,27,3
29,20,1
29,4,2
30,0,7
30,73,7
30,41,7
30,39,5
30,78,7
31,18,4
31,39,4
31,90,9
31,57,9
31,67,2
32,67,6
32,30,6
32,72,6
32,79,6
32,64,6
33,75,1
33,15,1
33,35,1
33,20,0
33,66,3
34,14,8
34,68,9
34,37,9
34,7,1
34,55,8
35,63,6
35,81,3
35,90,8
35,64,8
35,12,8
36,54,0
36,39,1
36,63,6
36,2,6
36,16,3
37,58,3
37,31,7
37,38,7
37,82,2
37,64,7
38,16,9
38,91,9
38,76,9
38,53,2
38,72,5
39,21,1
39,25,5
39,1,0
39,29,9
39,73,5
40,44,6
40,72,2
40,24,6
40,62,2
40,88,9
41,6,0
41,1,0
41,3,7
41,86,7
41,15,6
42,93,0
42,26,3
42,55,0
42,50,0
42,17,3
43,49,0
43,46,2
43,57,6
43,77,3
43,22,2
44,76,5
44,94,7
44,67,7
44,81,0
44,34,9
45,91,8
45,9,0
45,48,8
45,7,8
45,33,8
46,39,8
46,2,1
46,57,6
46,16,6
46,58,9
47,65,2
47,63,1
47,89,5
47,90,5
47,35,3
48,64,3
48,45,3
48,40,3
48,83,4
48,6,3
49,10,1
49,77,0
49,90,0
49,8,0
49,32,7
50,57,8
50,23,8
50,9,8
50,12,8
50,62,8
51,6,8
51,58,2
51,38,2
51,77,2
51,26,1
52,39,7
52,80,7
52,43,7
52,76,3
52,47,7
53,61,4
53,8,2
53,75,9
53,73,8
53,23,0
54,70,3
54,51,1
54,35,1
54,37,1
55,3,8
55,22,9
55,54,9
55,25,9
55,14,1
56,92,6
56,97,4
56,88,5
56,36,7
57,56,7
57,64,8
57,46,7
57,68,7
58,45,4
58,14,5
58,59,9
58,99,4
58,75,4
59,3,8
59,91,5
59,68,4
59,21,2
60,11,9
60,29,9
60,7,7
60,31,7
61,93,3
61,87,3
61,21,3
61,71,9
