task_id,task_community
0,0
1,5
2,3
3,6
4,0
5,5
6,4
7,2
8,5
9,3
10,5
11,1
12,3
13,6
14,1
15,6
16,3
17,3
18,3
19,4
20,3
21,5
22,3
23,3
24,3
25,5
26,0
27,3
28,0
29,1
30,2
31,4
32,1
33,1
34,0
35,4
36,2
37,6
38,2
39,2
40,1
41,3
42,5
43,0
44,6
45,3
46,2
47,5
48,3
49,1
50,1
51,0
52,2
53,2
54,1
55,1
56,3
57,0
58,0
59,5
60,1
61,0
62,5
63,0
64,0
65,3
66,1
67,4
68,2
69,3
70,2
71,2
72,2
73,4
74,4
75,0
76,3
77,0
78,3
79,1
80,4
81,3
82,5
83,4
84,2
85,1
86,2
87,5
88,4
89,1
90,3
91,2
92,5
93,4
94,6
95,0
96,3
97,2
98,6
99,2
100,4
101,6
102,6
103,0
104,2
105,6
106,6
107,3
108,5
109,1
110,0
111,0
112,5
113,1
114,0
115,5
116,2
117,6
118,0
119,4
120,3
121,3
122,2
123,1
124,4
125,6
126,2
127,6
128,5
129,1
130,4
131,5
132,1
133,1
134,1
135,5
136,2
137,4
138,3
139,0
140,6
141,5
142,1
143,3
144,2
145,3
146,3
147,4
148,2
149,1
150,4
151,3
152,6
153,6
154,2
155,4
156,2
157,4
158,3
159,0
160,1
161,6
162,0
163,6
164,6
165,1
166,2
167,3
168,3
169,0
170,4
171,0
172,3
173,1
174,0
175,1
176,4
177,3
178,0
179,1
180,5
181,4
182,5
183,6
184,4
185,3
186,6
187,4
188,3
189,6
190,3
191,0
192,0
193,3
194,4
195,6
196,6
197,0
198,4
199,5
200,4
201,1
202,0
203,4
204,5
205,5
206,1
207,4
208,6
209,1
210,2
211,6
212,6
213,2
214,0
215,4
216,6
217,5
218,5
219,3
220,5
221,6
222,0
223,6
224,1
225,3
226,1
227,1
228,0
229,5
230,1
231,1
232,3
233,2
234,0
235,5
236,3
237,0
238,5
239,0
240,5
241,1
242,1
243,2
244,4
245,1
246,6
247,4
248,4
249,1
250,2
251,1
252,2
253,1
254,6
255,2
256,0
257,1
258,5
259,3
260,3
261,2
262,3
263,2
264,4
265,5
266,6
267,5
268,5
269,1
270,6
271,3
272,5
273,2
274,3
275,1
276,3
277,0
278,3
279,1
280,2
281,6
282,5
283,3
284,2
285,1
286,3
287,6
288,2
289,0
290,6
291,4
292,3
293,6
294,1
295,0
296,5
297,1
298,0
299,3
300,3
301,6
302,2
303,5
304,5
305,4
306,6
307,2
308,5
309,3
310,5
311,4
312,4
313,0
314,4
315,2
316,1
317,2
318,6
319,3
320,5
321,1
322,3
323,6
324,5
325,5
326,4
327,3
328,4
329,2
330,0
331,1
332,4
333,5
334,2
335,1
336,4
337,6
338,3
339,4
340,0
341,3
342,5
343,5
344,4
345,2
346,2
347,4
348,3
349,4
350,5
351,4
352,5
353,3
354,5
355,2
356,0
357,4
358,2
359,0
360,6
361,1
362,4
363,5
364,2
365,2
366,5
367,0
368,6
369,4
370,5
371,4
372,5
373,1
374,3
375,0
376,4
377,4
378,5
