worker_id,worker_community
0,5
1,0
2,2
3,1
4,4
5,1
6,3
7,6
8,5
9,4
10,7
11,5
12,7
13,6
14,4
15,6
16,4
17,7
18,1
19,1
20,3
21,4
22,2
23,6
24,1
25,7
26,2
27,4
28,5
29,3
30,2
31,3
32,4
33,5
34,2
35,0
36,1
37,4
38,7
39,1
40,5
41,3
42,0
43,2
44,0
45,2
46,4
47,6
48,2
49,7
50,3
51,6
52,0
53,5
54,7
55,3
56,4
57,0
58,6
59,0
60,1
61,7
62,4
63,5
64,7
65,3
66,7
67,0
68,2
69,7
70,7
71,2
72,5
73,3
74,5
75,2
76,5
77,2
78,3
79,4
80,2
81,4
82,1
83,2
84,6
85,1
86,3
87,0
88,2
89,6
90,3
91,4
92,6
93,0
94,7
95,0
96,3
97,0
98,4
99,7
