task_id,truth
0,3
1,4
2,9
3,5
4,0
5,8
6,1
7,0
8,5
9,2
10,0
11,1
12,4
13,8
14,9
15,1
16,1
17,1
18,9
19,5
20,2
21,6
22,4
23,1
24,6
25,6
26,1
27,6
28,3
29,6
30,2
31,0
32,8
33,8
34,5
35,3
36,9
37,9
38,1
39,2
40,3
41,8
42,6
43,6
44,6
45,1
46,1
47,2
48,7
49,3
50,0
51,1
52,5
53,2
54,9
55,8
56,7
57,0
58,0
59,7
60,6
61,6
62,5
63,8
64,6
65,4
66,9
67,7
68,9
69,6
70,3
71,2
72,9
73,1
74,9
75,8
76,1
77,0
78,8
79,9
80,1
81,4
82,7
83,4
84,7
85,0
86,5
87,8
88,5
89,9
90,9
91,4
92,2
93,8
94,6
95,2
96,2
97,0
98,7
99,2
100,8
101,7
102,3
103,1
104,4
105,5
106,3
107,4
108,5
109,5
110,7
111,8
112,6
113,9
114,0
115,2
116,7
117,4
118,2
119,7
120,8
121,2
122,2
123,7
124,8
125,1
126,3
127,8
128,3
129,0
130,7
131,9
132,9
133,5
134,2
135,5
136,4
137,0
138,3
139,4
140,5
141,1
142,7
143,0
144,2
145,8
146,9
147,5
148,6
149,7
150,1
151,7
152,4
153,5
154,3
155,3
156,6
157,1
158,9
159,8
160,7
161,0
162,2
163,4
164,9
165,3
166,1
167,4
168,1
169,7
170,5
171,1
172,3
173,0
174,3
175,1
176,5
177,3
178,4
179,9
180,7
181,5
182,0
183,5
184,2
185,5
186,0
187,9
188,5
189,9
190,4
191,5
192,1
193,0
194,9
195,6
196,4
197,1
198,1
199,2
200,1
201,8
202,6
203,7
204,3
205,8
206,6
207,3
208,6
209,3
210,4
211,7
212,6
213,4
214,3
215,4
216,8
217,3
218,3
219,7
220,2
221,0
222,8
223,6
224,9
225,3
226,1
227,4
228,5
229,9
230,1
231,8
232,4
233,3
234,5
235,7
236,1
237,8
238,3
239,6
240,3
241,3
242,7
243,9
244,1
245,0
246,2
247,4
248,1
249,2
250,0
251,5
252,7
253,6
254,3
255,8
256,7
257,2
258,8
259,4
260,2
261,5
262,8
263,4
264,4
265,5
266,0
267,4
268,0
269,1
270,6
271,2
272,8
273,0
274,3
275,4
276,8
277,4
278,1
279,2
280,5
281,2
282,1
283,0
284,5
285,2
286,7
287,8
288,5
289,1
290,0
291,1
292,3
293,1
294,2
295,3
296,4
297,0
298,2
299,0
300,7
301,3
302,9
303,0
304,8
305,8
306,0
307,0
308,5
309,4
310,9
311,3
312,9
313,2
314,4
315,0
316,0
317,7
318,7
319,4
320,6
321,3
322,5
323,0
324,1
325,0
326,2
327,1
328,5
329,7
330,5
331,0
332,9
333,5
334,3
335,3
336,9
337,8
338,3
339,3
340,4
341,7
342,2
343,2
344,8
345,2
346,3
347,4
348,3
349,2
350,2
351,5
352,7
353,6
354,7
355,5
356,0
357,1
358,9
359,2
360,4
361,5
362,4
363,1
364,7
365,9
366,4
367,6
368,5
369,9
370,4
371,3
372,7
373,8
374,5
375,8
376,0
377,8
378,6
379,5
380,0
381,4
382,7
383,5
384,4
385,5
386,6
387,4
388,4
389,7
390,5
391,7
392,6
393,3
394,7
395,1
396,9
397,8
398,3
399,9
400,0
401,7
402,6
403,4
404,8
405,1
406,9
407,3
408,7
409,6
410,4
411,2
412,6
413,7
414,0
415,4
416,1
417,0
418,4
419,2
420,6
421,8
422,0
423,9
424,4
425,9
426,8
427,5
428,3
429,8
430,8
431,1
432,9
433,8
434,0
435,0
436,1
437,9
438,6
439,5
440,4
441,8
442,3
443,1
444,5
445,1
446,1
447,3
448,4
449,4
450,0
451,0
452,7
453,6
454,6
455,1
456,0
457,9
458,5
459,7
460,6
461,0
462,3
463,9
464,3
465,9
466,9
467,6
468,4
469,0
470,1
471,7
472,8
473,3
474,4
475,3
476,3
477,1
478,9
479,2
480,5
481,5
482,3
483,9
484,7
485,0
486,8
487,8
488,5
489,4
490,8
491,1
492,1
493,7
494,3
495,2
496,2
497,4
498,5
499,5
500,0
501,2
502,2
503,9
504,8
505,1
506,1
507,9
508,5
509,7
510,0
511,1
512,7
513,7
514,6
515,0
516,3
517,3
518,5
519,5
520,5
521,5
522,9
523,2
524,5
525,5
526,9
527,0
528,2
529,6
530,1
531,0
532,0
533,2
534,7
535,0
536,3
537,5
538,9
539,9
540,6
541,8
542,7
543,0
544,5
545,5
546,0
547,4
548,6
549,6
550,4
551,8
552,5
553,6
554,2
555,3
556,7
557,6
558,6
559,3
560,4
561,1
562,5
563,7
564,2
565,1
566,3
567,0
568,0
569,9
570,3
571,4
572,3
573,6
574,6
575,3
576,6
577,2
578,9
579,2
580,5
581,5
582,9
583,1
584,5
585,8
586,7
587,7
588,7
589,9
590,8
591,4
592,3
593,8
594,9
595,8
596,0
597,4
598,9
599,6
600,7
601,6
602,3
603,0
604,8
605,7
606,0
607,4
608,3
609,8
610,5
611,7
612,8
613,4
614,7
615,4
616,2
617,6
618,2
619,8
620,1
621,9
622,2
623,8
624,9
625,3
626,2
627,4
628,4
629,6
630,0
631,0
632,8
633,3
634,3
635,8
636,6
637,6
638,3
639,0
640,7
641,3
642,7
643,6
644,2
645,0
646,3
647,6
648,8
649,2
650,9
651,0
652,4
653,5
654,3
655,0
656,5
657,2
658,4
659,4
660,1
661,5
662,9
663,3
664,8
665,6
666,9
667,4
668,8
669,2
670,1
671,0
672,4
673,6
674,3
675,8
676,5
677,3
678,4
679,4
680,9
681,1
682,5
683,1
684,8
685,7
686,3
687,3
688,9
689,7
690,2
691,1
692,0
693,6
694,0
695,0
696,3
697,1
698,6
699,8
700,4
701,2
702,7
703,7
704,3
705,2
706,2
707,0
708,6
709,0
710,8
711,9
712,6
713,2
714,5
715,1
716,5
717,7
718,7
719,9
720,8
721,7
722,1
723,0
724,0
725,3
726,1
727,0
728,8
729,0
730,6
731,1
732,9
733,1
734,9
735,2
736,9
737,1
738,6
739,3
740,1
741,5
742,6
743,5
744,0
745,4
746,4
747,7
748,9
749,1
750,7
751,9
752,2
753,6
754,5
755,7
756,9
757,1
758,9
759,3
760,2
761,1
762,9
763,7
764,6
765,4
766,0
767,9
768,2
769,1
770,8
771,3
772,0
773,1
774,3
775,5
776,0
777,5
778,1
779,2
780,3
781,4
782,8
783,6
784,6
785,3
786,6
787,3
788,5
789,1
790,0
791,9
792,6
793,6
794,9
795,3
796,6
797,3
798,3
799,5
800,9
801,3
802,1
803,8
804,4
805,0
806,1
807,4
808,9
809,3
810,7
811,7
812,6
813,3
814,6
815,8
816,9
817,2
818,9
819,7
820,8
821,7
822,5
823,9
824,7
825,6
826,8
827,7
828,0
829,5
830,3
831,0
832,9
833,3
834,8
835,4
836,5
837,2
838,9
839,9
840,1
841,4
842,1
843,7
844,6
845,6
846,2
847,4
848,2
849,4
850,6
851,8
852,0
853,9
854,4
855,0
856,0
857,6
858,1
859,6
860,7
861,5
862,8
863,4
864,3
865,1
866,8
867,2
868,4
869,9
870,1
871,4
872,0
873,1
874,7
875,7
876,8
877,5
878,7
879,1
880,0
881,6
882,6
883,2
884,4
885,2
886,3
887,4
888,7
889,7
890,0
891,1
892,6
893,0
894,0
895,4
896,4
897,1
898,3
899,9
900,4
901,5
902,4
903,1
904,4
905,5
906,3
907,0
908,3
909,9
910,5
911,3
912,2
913,8
914,2
915,8
916,8
917,2
918,0
919,7
920,5
921,4
922,7
923,6
924,4
925,7
926,5
927,7
928,3
929,8
930,9
931,1
932,5
933,4
934,3
935,6
936,4
937,6
938,6
939,3
940,1
941,1
942,6
943,7
944,0
945,7
946,4
947,4
948,2
949,5
950,3
951,6
952,6
953,1
954,8
955,9
956,8
957,3
958,5
959,8
960,5
961,1
962,9
963,2
964,1
965,1
966,5
967,7
968,5
969,9
970,3
971,7
