worker_id,worker_community
0,5
1,4
2,0
3,7
4,6
5,5
6,3
7,4
8,3
9,7
10,2
11,3
12,7
13,2
14,7
15,1
16,4
17,1
18,6
19,2
20,2
21,3
22,0
23,3
24,0
25,2
26,2
27,3
28,3
29,2
30,0
31,3
32,0
33,3
34,6
35,6
36,7
37,6
38,2
39,7
40,1
41,5
42,6
43,2
44,5
45,2
46,2
47,1
48,1
49,0
50,1
51,7
52,6
53,3
54,1
55,0
56,7
57,4
58,4
59,0
60,3
61,5
62,0
63,3
64,5
65,5
66,2
67,6
68,0
69,7
70,4
71,3
72,3
73,4
74,6
75,5
76,4
77,0
78,0
79,0
80,3
81,4
82,7
83,4
84,2
85,5
86,7
87,7
88,4
89,7
90,1
91,0
92,2
93,6
94,5
95,5
96,3
97,4
98,7
99,0
100,6
101,3
102,6
103,5
104,3
105,4
106,2
107,1
108,1
109,5
110,2
111,7
112,7
113,3
114,4
115,1
116,1
117,2
118,6
119,0
120,1
121,0
122,6
123,2
124,4
125,2
126,6
127,2
128,4
129,3
130,2
131,3
132,6
133,5
134,7
135,0
136,4
137,1
138,1
139,1
140,7
141,0
142,2
143,7
144,4
145,4
146,7
147,5
148,0
149,5
150,5
151,6
152,6
153,3
154,5
155,5
156,6
157,1
158,6
159,2
160,5
161,3
162,1
163,4
164,6
165,1
166,5
167,0
168,5
169,6
170,1
171,2
172,0
173,0
174,6
175,4
176,5
177,7
178,1
179,3
180,2
181,6
182,1
183,0
184,6
185,3
186,2
187,7
188,7
189,1
190,1
191,1
192,1
193,3
194,4
195,5
196,0
197,5
198,4
199,6
