task,worker,answer
0,248,3
0,286,6
0,15,4
0,142,8
0,129,5
1,136,6
1,95,7
1,273,0
1,405,4
1,105,5
2,317,8
2,157,5
2,65,3
2,56,1
2,423,1
3,80,9
3,393,9
3,276,4
3,149,9
3,354,2
4,138,9
4,259,1
4,354,9
4,217,9
4,13,9
5,18,3
5,64,3
5,264,3
5,57,3
5,198,3
6,203,8
6,119,8
6,426,8
6,274,9
6,333,3
7,249,0
7,180,3
7,226,9
7,349,5
7,25,3
8,290,0
8,415,5
8,420,0
8,218,8
8,275,3
9,245,6
9,381,6
9,221,6
9,490,8
9,364,6
10,47,7
10,51,2
10,498,2
10,165,2
10,480,2
11,295,6
11,243,6
11,208,6
11,129,2
11,74,4
12,249,7
12,294,6
12,89,5
12,116,6
12,266,5
13,278,0
13,355,0
13,1,3
13,137,0
13,377,0
14,499,1
14,399,7
14,435,9
14,415,5
14,146,6
15,374,7
15,184,4
15,231,7
15,229,0
15,369,2
16,429,0
16,426,0
16,79,0
16,317,8
16,305,0
17,96,6
17,227,6
17,130,7
17,432,1
17,213,0
18,130,1
18,331,1
18,361,1
18,306,8
18,394,1
19,135,3
19,66,1
19,88,9
19,342,3
19,267,3
20,49,2
20,14,5
20,456,2
20,286,2
20,10,8
21,345,5
21,475,4
21,268,4
21,221,1
21,422,8
22,132,7
22,242,7
22,486,7
22,216,7
23,442,0
23,431,0
23,341,2
23,345,0
23,22,0
24,453,7
24,136,8
24,61,8
24,468,5
24,396,5
25,85,4
25,6,2
25,162,9
25,299,6
25,41,6
26,109,5
26,484,7
26,47,1
26,53,8
26,306,6
27,467,2
27,312,9
27,276,3
27,137,1
27,118,9
28,403,0
28,290,7
28,13,8
28,306,7
28,57,4
29,19,5
29,49,7
29,395,0
29,8,3
29,94,7
30,0,6
30,228,7
30,322,2
30,345,8
30,286,3
31,276,6
31,488,1
31,269,0
31,480,3
31,395,0
32,176,8
32,23,0
32,11,3
32,112,3
32,118,2
33,132,1
33,355,1
33,125,3
33,117,7
33,305,3
34,122,9
34,4,8
34,9,8
34,272,4
34,80,9
35,449,8
35,194,8
35,103,4
35,100,8
35,84,8
36,412,4
36,136,4
36,114,4
36,212,4
36,109,3
37,29,1
37,360,3
37,442,1
37,175,1
37,90,7
38,390,5
38,110,1
38,102,6
38,327,4
38,30,9
39,399,7
39,438,7
39,403,7
39,115,2
39,350,7
40,325,4
40,18,4
40,470,4
40,186,4
40,29,4
41,337,7
41,236,7
41,150,7
41,378,7
41,410,3
42,334,1
42,354,1
42,280,2
42,328,6
42,157,8
43,197,9
43,340,2
43,351,3
43,421,7
43,491,3
44,65,8
44,271,8
44,391,2
44,315,8
44,215,8
45,123,6
45,389,0
45,71,9
45,226,6
45,281,6
46,215,9
46,35,9
46,272,8
46,279,5
46,72,9
47,365,4
47,23,9
47,139,0
47,283,5
47,380,4
48,112,5
48,487,5
48,153,5
48,66,5
48,488,5
49,228,8
49,110,0
49,54,5
49,276,6
49,29,7
50,248,8
50,22,2
50,415,2
50,235,1
50,465,0
51,192,1
51,174,9
51,208,8
51,229,7
51,222,1
52,276,6
52,339,6
52,160,6
52,170,6
52,301,7
53,262,6
53,486,6
53,357,7
53,299,4
53,169,5
54,469,5
54,309,7
54,337,2
54,371,2
54,381,5
55,438,8
55,469,1
55,298,4
55,352,6
55,105,4
56,449,9
56,322,6
56,408,7
56,332,9
56,377,9
57,44,1
57,149,5
57,470,6
57,26,6
57,486,8
58,137,5
58,452,5
58,353,5
58,12,5
59,124,4
59,32,8
59,216,2
59,285,9
59,264,2
60,328,6
60,4,6
60,15,1
60,396,2
60,71,8
61,425,4
61,403,9
61,175,5
61,282,4
61,22,9
62,79,8
62,342,8
62,335,9
62,174,5
62,72,8
63,429,0
63,351,6
63,245,0
63,193,2
63,263,7
64,343,7
64,373,7
64,176,1
64,24,0
64,162,7
65,485,6
65,57,6
65,364,6
65,416,6
65,227,6
66,498,7
66,229,7
66,58,7
66,90,1
66,347,4
67,389,5
67,20,7
67,353,6
67,37,0
67,154,6
68,279,8
68,393,8
68,342,3
68,396,1
69,152,4
69,343,0
69,50,0
69,387,4
69,191,4
70,229,6
70,424,1
70,249,5
70,308,7
70,75,7
71,35,7
71,492,0
71,216,7
71,490,2
71,318,7
72,429,9
72,421,9
72,53,9
72,386,9
72,62,3
73,112,1
73,289,1
73,50,1
73,0,1
73,163,7
74,251,2
74,123,2
74,454,2
74,42,3
74,326,1
75,325,1
75,440,4
75,394,6
75,131,7
75,296,4
76,393,2
76,330,6
76,184,2
76,48,2
76,422,2
77,452,0
77,197,0
77,406,0
77,436,9
77,328,7
78,9,5
78,442,5
78,55,5
78,271,1
78,193,4
79,394,3
79,429,4
79,478,9
79,413,9
79,211,9
80,473,6
80,282,0
80,377,0
80,88,0
80,85,0
81,17,8
81,68,9
81,140,6
81,100,6
81,447,6
82,359,4
82,100,4
82,229,5
82,37,9
82,309,8
83,435,7
83,483,2
83,236,7
83,87,7
83,54,7
84,171,4
84,93,5
84,172,9
84,44,8
84,339,0
85,349,2
85,285,1
85,266,1
85,172,2
85,327,4
86,374,3
86,315,2
86,4,3
86,158,8
86,148,0
87,445,7
87,390,7
87,262,7
87,365,7
87,485,2
88,269,4
88,58,0
88,308,4
88,313,0
88,238,0
89,85,1
89,337,7
89,70,1
89,311,5
89,473,7
90,116,0
90,1,0
90,160,0
90,42,1
90,76,9
91,93,1
91,145,1
91,238,9
91,475,8
91,121,7
92,414,3
92,189,5
92,179,0
92,173,7
92,300,1
93,321,7
93,197,8
93,39,0
93,113,8
93,427,0
94,190,2
94,328,2
94,161,2
94,159,2
94,456,2
95,390,5
95,37,9
95,239,2
95,134,7
95,484,7
96,413,9
96,489,5
96,298,5
96,313,4
96,318,5
97,69,1
97,248,1
97,406,0
97,357,1
97,4,7
98,233,7
98,144,7
98,220,4
98,389,8
98,58,7
99,265,4
99,30,3
99,350,6
99,106,0
99,31,6
100,276,7
100,432,7
100,409,5
100,162,8
100,145,5
101,127,9
101,108,0
101,211,0
101,228,3
101,133,7
102,181,4
102,157,4
102,55,1
102,496,5
102,397,3
103,342,4
103,89,6
103,430,4
103,400,9
103,474,4
104,88,7
104,183,9
104,482,4
104,102,4
104,141,4
105,251,6
105,199,6
