task_id,task_community
0,1
1,3
2,4
3,4
4,3
5,3
6,0
7,5
8,0
9,6
10,4
11,2
12,1
13,4
14,3
15,1
16,5
17,6
18,3
19,6
20,1
21,0
22,6
23,1
24,2
25,1
26,5
27,5
28,2
29,6
30,4
31,1
32,1
33,4
34,0
35,2
36,6
37,4
38,2
39,6
40,3
41,3
42,3
43,3
44,1
45,5
46,3
47,0
48,0
49,6
50,3
51,2
52,4
53,6
54,2
55,2
56,3
57,1
58,1
59,1
60,2
61,5
62,3
63,5
64,0
65,4
66,5
67,1
68,4
69,4
70,0
71,5
72,2
73,4
74,2
75,6
76,3
77,4
78,4
79,3
80,4
81,6
82,4
83,2
84,3
85,3
86,1
87,5
88,2
89,5
90,0
91,6
92,1
93,4
94,4
95,2
96,3
97,2
98,2
99,3
100,1
101,2
102,0
103,2
104,3
105,0
106,3
107,3
108,5
109,3
110,3
111,5
112,4
113,1
114,3
115,4
116,5
117,3
118,4
119,2
120,0
121,6
122,5
123,4
124,0
125,0
126,6
127,4
128,4
129,0
130,0
131,3
132,5
133,0
134,2
135,3
136,2
137,3
138,2
139,6
140,3
141,3
142,3
143,1
144,5
145,0
146,3
147,5
148,1
149,6
150,4
151,2
152,2
153,5
154,0
155,5
156,0
157,1
158,2
159,0
160,5
161,0
162,2
163,1
164,2
165,3
166,4
167,2
168,4
169,2
170,1
171,3
172,5
173,6
174,3
175,2
176,5
177,0
178,1
179,1
180,5
181,2
182,6
183,0
184,3
185,1
186,4
187,6
188,2
189,6
190,3
191,1
192,1
193,0
194,3
195,1
196,2
197,2
198,1
199,5
200,4
201,6
202,2
203,6
204,2
205,0
206,4
207,4
208,0
209,4
210,0
211,5
212,5
213,2
214,4
215,6
216,6
217,6
218,0
219,4
220,0
221,6
222,6
223,0
224,0
225,0
226,0
227,2
228,5
229,1
230,1
231,0
232,6
233,6
234,4
235,4
236,4
237,5
238,3
239,5
240,3
241,4
242,1
243,3
244,6
245,4
246,2
247,0
248,1
249,0
250,2
251,0
252,5
253,6
254,2
255,1
256,0
257,5
258,3
259,3
260,5
261,1
262,1
263,5
264,1
265,4
266,2
267,6
268,0
269,6
270,6
271,5
272,0
273,5
274,4
275,6
276,2
277,1
278,6
279,3
280,5
281,5
282,1
283,2
284,4
285,6
286,2
287,6
288,5
289,3
290,2
291,2
292,6
293,1
294,5
295,3
296,1
297,1
298,0
299,6
300,2
301,2
302,2
303,2
304,0
305,0
306,6
307,2
308,5
309,5
310,4
311,2
312,5
313,0
314,2
315,1
316,2
317,0
318,4
319,5
320,4
321,0
322,6
323,4
324,4
325,1
326,3
327,1
328,2
329,4
330,0
331,5
332,0
333,5
334,1
335,1
336,4
337,6
338,4
339,5
340,4
341,0
342,5
343,3
344,3
345,5
346,5
347,1
348,6
349,6
350,2
351,6
352,5
353,4
354,5
355,6
356,1
357,3
358,3
359,2
360,0
361,6
362,0
363,0
364,1
365,5
366,4
367,5
368,3
369,3
370,0
371,1
372,4
373,5
374,2
375,6
376,5
377,5
378,2
379,6
380,6
381,5
382,5
383,2
384,6
385,0
386,3
387,1
388,6
389,3
390,0
391,1
392,2
393,2
394,2
395,0
396,2
397,2
398,0
399,2
400,4
401,4
402,4
403,3
404,2
405,6
406,2
407,0
408,6
409,5
410,5
411,1
412,4
413,3
414,4
415,2
416,4
417,4
418,5
419,1
420,0
421,2
422,2
423,6
424,5
425,4
426,1
427,3
428,0
429,4
430,4
431,2
432,2
433,5
434,3
435,1
436,5
437,4
438,1
439,4
440,5
441,3
442,4
443,5
444,2
445,5
446,3
447,4
448,3
449,1
450,5
451,3
452,6
453,6
454,6
455,0
456,0
457,6
458,5
459,6
460,0
461,4
462,5
463,6
464,2
465,4
466,2
467,3
468,1
469,5
470,5
471,3
472,1
473,1
474,6
475,1
476,1
477,6
478,4
479,3
480,5
481,6
482,5
483,4
484,4
485,4
486,2
487,3
488,4
489,5
490,4
491,4
492,0
493,1
494,0
495,2
496,0
497,6
498,6
499,3
500,3
501,0
502,3
503,1
504,3
505,5
506,6
507,6
508,3
509,6
510,5
511,0
512,4
513,5
514,1
515,2
516,6
517,4
518,4
519,4
520,5
521,1
522,2
523,0
524,3
525,6
526,3
527,6
528,5
529,3
530,5
531,5
532,3
533,5
534,0
535,4
536,6
537,0
538,0
539,5
540,3
541,3
542,2
543,2
544,2
545,2
546,6
547,6
548,5
549,0
550,3
551,2
552,2
553,2
554,2
555,1
556,2
557,2
558,0
559,6
560,5
561,0
562,3
563,0
564,0
565,3
566,6
567,0
568,0
569,2
570,2
571,3
572,1
573,4
574,5
575,6
576,1
577,3
578,3
579,1
580,6
581,3
582,2
583,4
584,3
585,1
586,1
587,0
588,0
589,0
590,0
591,1
592,6
593,3
594,2
595,0
596,3
597,1
598,4
599,0
600,3
601,5
602,1
603,4
604,5
605,5
606,4
607,0
608,2
609,4
610,6
611,5
612,1
613,6
614,6
615,0
616,6
617,2
618,5
619,0
620,3
621,3
622,0
623,4
624,4
625,4
626,4
627,4
628,0
629,0
630,6
631,6
632,6
633,2
634,1
635,5
636,0
637,0
638,1
639,0
640,0
641,0
642,4
643,4
644,0
645,6
646,1
647,1
648,0
649,3
650,4
651,2
652,2
653,1
654,0
655,2
656,3
657,3
658,3
659,4
660,6
661,1
662,1
663,3
664,3
665,2
666,1
667,5
668,1
669,0
670,4
671,6
672,0
673,3
674,3
675,2
676,4
677,6
678,2
679,4
680,4
681,0
682,6
683,0
684,2
685,5
686,6
687,3
688,1
689,3
690,3
691,5
692,4
693,1
694,4
695,0
696,4
697,0
698,0
699,4
700,6
701,4
702,4
703,5
704,2
705,6
706,1
707,1
708,3
709,1
710,2
711,4
712,2
713,5
714,5
715,4
716,2
717,3
718,3
719,0
720,1
721,5
722,2
723,1
724,1
725,0
726,1
727,5
728,4
729,3
730,5
731,6
732,4
733,3
734,5
735,4
736,4
737,0
738,5
739,1
740,5
741,5
742,3
743,3
744,2
745,1
746,5
747,0
748,2
749,4
750,6
751,3
752,5
753,3
754,0
755,1
756,5
757,5
758,5
759,0
760,0
761,0
762,4
763,0
764,2
765,2
766,5
767,2
768,1
769,4
770,2
771,5
772,1
773,3
774,2
775,6
776,3
777,5
778,1
779,0
780,2
781,0
782,4
783,4
784,4
785,4
786,1
787,6
788,1
789,5
790,1
791,4
792,5
793,4
794,2
795,5
796,4
797,4
798,0
799,6
800,1
801,1
802,2
803,1
804,3
805,3
806,3
807,0
808,5
809,4
810,3
811,2
812,5
813,0
814,6
815,3
816,6
817,0
818,5
819,0
820,5
821,3
822,0
823,2
824,4
825,3
826,3
827,6
828,6
829,0
830,5
831,0
832,2
833,4
834,3
835,0
836,2
837,1
838,1
839,1
840,0
841,4
842,5
843,4
844,2
845,3
846,5
847,6
848,2
849,5
850,2
851,4
852,5
853,6
854,3
855,1
856,2
857,2
858,1
859,2
860,0
861,6
862,3
863,2
864,2
865,2
866,3
867,6
868,6
869,6
870,2
871,4
872,6
873,5
874,0
875,6
876,2
877,3
878,1
879,5
880,2
881,0
882,1
883,4
884,0
885,2
886,2
887,2
888,6
889,5
890,2
891,2
892,5
893,4
894,0
895,3
896,3
897,6
898,5
899,3
900,1
901,1
902,5
903,4
904,2
905,1
906,6
907,1
908,1
909,1
910,4
911,2
912,5
913,1
914,6
915,2
916,1
917,1
918,5
919,4
920,1
921,1
922,1
923,4
924,3
925,4
926,3
927,4
928,3
929,0
930,5
931,0
932,5
933,2
934,2
935,2
936,6
937,3
938,1
939,5
940,2
941,0
942,1
943,4
944,2
945,2
946,3
947,5
948,4
949,3
950,0
951,3
952,6
953,1
954,4
955,1
956,6
957,3
958,5
959,2
960,6
961,2
962,5
963,3
964,0
965,4
966,2
967,4
968,0
969,5
970,0
971,6
972,4
973,4
974,0
975,4
976,4
977,1
978,4
979,4
980,3
981,0
982,4
983,5
984,4
985,2
986,4
987,0
988,4
989,4
990,0
991,3
992,4
993,4
994,3
995,0
996,1
997,3
998,6
999,2
1000,6
1001,5
1002,1
1003,3
1004,4
1005,3
1006,2
1007,0
1008,3
1009,2
1010,1
1011,2
1012,0
1013,2
1014,5
1015,2
1016,4
1017,1
1018,3
1019,3
1020,0
1021,4
1022,4
1023,2
1024,3
1025,1
1026,4
1027,1
1028,0
1029,3
1030,2
1031,4
1032,3
1033,0
1034,1
1035,1
1036,2
1037,6
1038,2
1039,1
1040,5
1041,6
1042,4
1043,3
1044,2
1045,0
1046,5
1047,2
1048,5
1049,2
1050,1
1051,1
1052,5
1053,2
1054,4
1055,6
1056,2
1057,6
1058,3
1059,0
1060,4
1061,6
1062,3
1063,4
1064,4
1065,0
1066,5
1067,1
1068,5
1069,5
1070,2
1071,5
1072,5
1073,5
1074,4
1075,4
1076,0
1077,1
1078,2
1079,3
1080,4
1081,5
1082,2
1083,5
1084,2
1085,5
1086,5
1087,5
1088,0
1089,0
1090,1
1091,3
1092,1
1093,1
1094,1
1095,1
1096,2
1097,3
1098,1
1099,0
1100,1
1101,3
1102,3
1103,0
1104,6
1105,6
1106,6
1107,3
1108,6
1109,5
1110,4
1111,2
1112,5
1113,0
1114,1
1115,0
1116,0
1117,2
1118,2
1119,5
1120,4
1121,1
1122,5
1123,0
1124,1
1125,1
1126,2
1127,4
1128,5
1129,0
1130,6
1131,1
1132,0
1133,4
1134,6
1135,1
1136,0
1137,6
1138,2
1139,2
1140,3
1141,6
1142,1
1143,3
1144,5
1145,5
1146,4
1147,6
1148,6
1149,4
1150,5
1151,3
1152,0
1153,3
1154,0
1155,1
1156,6
1157,3
1158,6
1159,0
1160,4
1161,5
1162,0
1163,3
1164,4
1165,3
1166,6
1167,4
1168,5
1169,3
1170,3
1171,3
1172,4
1173,4
1174,1
1175,3
1176,0
1177,4
1178,6
1179,0
1180,4
1181,0
1182,5
1183,0
1184,4
1185,5
1186,6
1187,0
1188,6
1189,6
1190,1
1191,0
1192,2
1193,2
1194,6
1195,5
1196,5
1197,5
1198,2
1199,5
1200,1
1201,6
1202,6
1203,0
1204,3
1205,5
1206,6
1207,5
1208,3
1209,0
1210,1
1211,4
1212,5
1213,6
1214,3
1215,1
1216,5
1217,1
1218,3
1219,1
1220,1
1221,4
1222,3
1223,3
1224,4
1225,5
1226,6
1227,4
1228,6
1229,3
1230,3
1231,5
1232,0
1233,0
1234,3
1235,1
1236,4
1237,2
1238,2
1239,1
1240,6
1241,4
1242,5
1243,5
1244,1
1245,5
1246,6
1247,6
1248,4
1249,6
1250,3
1251,0
1252,3
1253,0
1254,3
1255,0
1256,6
