task_id,truth
0,1
1,8
2,3
3,4
4,5
5,9
6,3
7,1
8,0
9,8
10,1
11,4
12,0
13,7
14,4
15,0
16,5
17,3
18,8
19,4
20,3
21,6
22,6
23,8
24,2
25,6
26,1
27,2
28,3
29,0
30,8
31,2
32,6
33,1
34,7
35,1
36,1
37,2
38,9
39,6
40,4
41,8
42,6
43,9
44,3
45,3
46,2
47,7
48,8
49,9
50,3
51,3
52,3
53,7
54,0
55,3
56,8
57,6
58,7
59,2
60,0
61,7
62,1
63,2
64,9
65,8
66,5
67,6
68,3
69,0
70,6
71,0
72,3
73,2
74,4
75,0
76,0
77,8
78,6
79,8
80,0
81,1
82,0
83,9
84,6
85,9
86,5
87,6
88,3
89,9
90,5
91,6
92,5
93,1
94,8
95,3
96,4
97,7
98,4
99,4
100,9
101,4
102,4
103,6
104,4
105,3
106,0
107,9
108,7
109,5
110,0
111,2
112,2
113,8
114,2
115,1
116,2
117,1
118,9
119,0
120,8
121,8
122,2
123,5
124,0
125,3
126,3
127,4
128,8
129,5
130,7
131,0
132,4
133,6
134,3
135,9
136,9
137,4
138,9
139,4
140,6
141,3
142,8
143,4
144,9
145,3
146,6
147,6
148,7
149,8
150,0
151,2
152,0
153,6
154,2
155,6
156,1
157,8
158,6
159,4
160,8
161,0
162,0
163,1
164,7
165,4
166,7
167,3
168,6
169,4
170,8
171,6
172,5
173,4
174,1
175,8
176,1
177,4
178,8
179,6
180,6
181,9
182,7
183,0
184,2
185,1
186,6
187,5
188,9
189,0
190,7
191,0
192,2
193,9
194,5
195,3
196,5
197,0
198,3
199,7
200,9
201,7
202,3
203,4
204,1
205,4
206,3
207,8
208,5
209,6
210,7
211,2
212,6
213,2
214,1
215,8
216,3
217,7
218,8
219,0
220,3
221,2
222,2
223,4
224,0
225,9
226,9
227,4
228,6
229,5
230,9
231,2
232,2
233,3
234,5
235,2
236,0
237,3
238,8
239,9
240,1
241,1
242,0
243,9
244,5
245,9
246,2
247,5
248,0
249,3
250,9
251,6
252,1
253,8
254,1
255,4
256,8
257,8
258,0
259,0
260,3
261,8
262,8
263,2
264,5
265,5
266,5
267,5
268,6
269,0
270,2
271,3
272,1
273,8
274,1
275,5
276,6
277,5
278,1
279,8
280,2
281,0
282,0
283,5
284,9
285,6
286,0
287,8
288,7
289,4
290,1
291,2
292,1
293,2
294,5
295,9
296,6
297,6
298,5
299,9
300,8
301,4
302,7
303,8
304,2
305,4
306,4
307,1
308,9
309,1
310,1
311,2
312,1
313,7
314,9
315,3
316,1
317,8
318,6
319,9
320,4
321,9
322,8
323,7
324,5
325,0
326,2
327,8
328,4
329,6
330,8
331,7
332,9
333,3
334,6
335,9
336,1
337,7
338,3
339,3
340,4
341,1
342,5
343,1
344,4
345,8
346,1
347,1
348,4
349,3
350,9
351,9
352,1
353,5
354,6
355,9
356,2
357,4
358,2
359,3
360,8
361,2
362,6
363,1
364,5
365,5
366,9
367,4
368,8
369,0
370,6
371,7
372,8
373,2
374,0
375,0
376,8
377,5
378,3
379,6
380,8
381,5
382,6
383,9
384,9
385,7
386,8
387,3
388,3
389,0
390,3
391,7
392,0
393,1
394,4
395,8
396,5
397,0
398,5
399,1
400,4
401,9
402,3
403,8
404,8
405,4
406,8
407,0
408,7
409,8
410,2
411,5
412,1
413,3
414,5
415,9
416,8
417,5
418,3
419,5
420,9
421,5
422,0
423,4
424,9
425,1
426,6
427,9
428,3
429,9
430,3
431,8
432,7
433,1
434,0
435,8
436,5
437,6
438,7
439,1
440,9
441,1
442,7
443,8
444,0
445,0
446,2
447,3
448,4
449,3
450,4
451,0
452,1
453,7
454,5
455,0
456,9
457,2
458,9
459,2
460,6
461,7
462,1
463,0
464,7
465,4
466,0
467,3
468,9
469,3
470,1
471,9
472,3
473,7
474,9
475,4
476,9
477,1
478,5
479,2
480,1
481,4
482,6
483,7
484,2
485,0
486,6
487,2
488,1
489,8
490,2
491,6
492,5
493,9
494,0
495,6
496,8
497,7
498,8
499,0
500,6
501,1
502,1
503,9
504,6
505,6
506,8
507,4
508,5
509,6
510,4
511,2
512,3
513,8
514,8
515,1
516,1
517,0
518,7
519,5
520,1
521,6
522,8
523,6
524,8
525,9
526,1
527,8
528,0
529,4
530,5
531,2
532,3
533,1
534,7
535,3
536,8
537,6
538,6
539,2
540,7
541,9
542,6
543,5
544,5
545,9
546,9
547,7
548,4
549,5
550,5
551,8
552,4
553,5
554,6
555,8
556,4
557,0
558,3
559,8
560,2
561,4
562,9
563,4
564,3
565,1
566,4
567,0
568,5
569,8
570,6
571,9
572,0
573,3
574,3
575,8
576,5
577,4
578,0
579,1
580,8
581,7
582,4
583,5
584,4
585,3
586,1
587,6
588,0
589,4
590,1
591,1
592,0
593,9
594,4
595,1
596,6
597,4
598,1
599,0
600,3
601,9
602,4
603,9
604,7
605,7
606,3
607,5
608,2
609,0
610,3
611,6
612,2
613,8
614,7
615,9
616,7
617,4
618,1
619,5
620,9
621,1
622,6
623,5
624,0
625,1
626,7
627,1
628,7
629,5
630,5
631,9
632,6
633,4
634,2
635,3
636,0
637,4
638,9
639,3
640,5
641,4
642,7
643,0
644,0
645,9
646,7
647,6
648,3
649,4
650,3
651,5
652,5
653,4
654,5
655,8
656,2
657,0
658,0
659,1
660,3
661,8
662,3
663,0
664,4
665,0
666,2
667,7
668,0
669,8
670,3
671,8
672,0
673,8
674,1
675,8
676,0
677,6
678,3
679,3
680,1
681,2
682,9
683,6
684,5
685,0
686,1
687,8
688,1
689,1
690,4
691,0
692,5
693,2
694,7
695,5
696,0
697,2
698,3
699,3
700,4
701,1
702,6
703,1
704,9
705,6
706,3
707,8
708,8
709,5
710,3
711,5
712,1
713,7
714,3
715,4
716,9
717,6
718,8
719,9
720,5
721,0
722,2
723,2
724,1
725,8
726,0
727,1
728,7
729,0
730,5
731,4
732,7
733,3
734,5
735,7
736,4
737,4
738,9
739,7
740,5
741,9
742,1
743,5
744,5
745,8
746,1
747,5
748,3
749,9
750,7
751,6
752,0
753,3
754,9
755,0
756,6
757,1
758,3
759,5
760,1
761,6
762,1
763,9
764,7
765,5
766,1
767,3
768,7
769,7
770,6
771,9
772,0
773,6
774,7
775,1
776,0
777,5
778,9
779,4
780,3
781,4
782,1
783,4
784,2
785,7
786,4
787,9
788,5
789,2
790,8
791,7
792,4
793,9
794,9
795,6
796,3
797,5
798,1
799,1
800,8
801,3
802,2
803,3
804,1
805,8
806,1
807,8
808,5
809,7
810,7
811,1
812,9
813,3
814,6
815,4
816,6
817,7
818,4
819,5
820,7
821,8
822,9
823,6
824,2
825,0
826,7
827,9
828,5
829,4
830,7
831,6
832,2
833,7
834,6
835,0
836,9
837,8
838,1
839,7
840,6
841,1
842,4
843,5
844,3
845,2
846,4
847,3
848,7
849,9
850,3
851,3
852,9
853,1
854,2
855,4
856,5
857,0
858,1
859,3
860,4
861,4
862,9
863,6
864,2
865,8
866,5
867,0
868,6
869,0
870,2
871,1
872,3
873,1
874,3
875,7
876,2
877,5
878,2
879,5
880,5
881,7
882,2
883,8
884,9
885,3
886,8
887,4
888,7
889,5
890,9
891,3
892,7
893,8
894,1
895,4
896,0
897,8
898,7
899,7
900,7
901,6
902,1
903,0
904,5
905,0
906,9
907,3
908,0
909,0
910,5
911,2
912,7
913,1
914,6
915,4
916,1
917,5
918,1
919,2
920,5
921,8
922,7
923,3
924,3
925,2
926,6
927,6
928,9
929,7
930,6
931,5
932,3
933,6
934,0
935,8
936,9
937,3
938,1
939,7
940,9
941,9
942,4
943,4
944,4
945,6
946,7
947,9
948,6
949,1
950,2
951,4
952,5
953,1
954,3
955,5
956,4
957,5
958,3
959,2
960,7
961,6
962,7
963,1
964,9
965,6
966,5
967,5
968,6
969,6
970,5
971,7
972,7
973,7
974,8
975,0
976,8
977,9
978,0
979,8
980,7
981,0
982,7
983,9
984,7
985,6
986,6
987,0
988,7
989,2
990,0
991,1
992,6
993,2
994,7
995,3
996,3
997,7
998,3
999,2
1000,6
1001,4
1002,3
1003,5
1004,6
1005,8
1006,5
1007,3
1008,0
1009,6
1010,2
1011,4
1012,2
1013,9
1014,5
1015,8
1016,0
1017,9
1018,1
1019,0
1020,3
1021,3
1022,5
1023,7
1024,6
1025,7
1026,7
1027,8
1028,0
1029,3
1030,3
1031,3
1032,7
1033,6
1034,6
1035,6
1036,8
1037,3
1038,3
1039,9
1040,5
1041,6
1042,8
1043,7
1044,2
1045,0
1046,7
1047,9
1048,2
1049,4
1050,5
1051,8
1052,7
1053,7
1054,7
1055,5
1056,5
1057,9
1058,0
1059,8
1060,4
1061,4
1062,1
1063,9
1064,7
1065,6
1066,0
1067,7
1068,5
1069,7
1070,9
1071,6
1072,2
1073,3
1074,2
1075,4
1076,3
1077,8
1078,3
1079,4
1080,4
1081,3
1082,3
1083,8
1084,7
1085,3
1086,0
1087,5
1088,8
1089,1
1090,9
1091,6
1092,5
1093,2
1094,6
1095,9
1096,1
1097,5
1098,0
1099,9
1100,0
1101,6
1102,5
1103,8
1104,8
1105,5
1106,5
1107,7
1108,1
1109,0
1110,6
1111,2
1112,1
1113,4
1114,7
1115,3
1116,3
1117,6
1118,9
1119,1
1120,4
1121,6
1122,0
1123,7
1124,6
1125,6
1126,3
1127,8
1128,1
1129,8
1130,1
1131,0
1132,8
1133,2
1134,5
1135,2
1136,8
1137,5
1138,8
1139,2
1140,6
1141,8
1142,0
1143,9
1144,1
1145,7
1146,8
1147,9
1148,5
1149,9
1150,4
1151,1
1152,6
1153,3
1154,8
1155,8
1156,8
1157,3
1158,3
1159,6
1160,9
1161,1
1162,9
1163,0
1164,1
1165,3
1166,4
1167,3
1168,5
1169,7
1170,3
1171,0
1172,3
1173,2
1174,0
1175,3
1176,7
1177,7
1178,3
1179,7
1180,7
1181,1
1182,6
1183,9
1184,6
1185,6
1186,5
1187,5
1188,5
1189,6
1190,6
1191,1
1192,0
1193,3
1194,0
1195,1
1196,6
1197,0
1198,1
1199,2
1200,4
1201,1
1202,7
1203,7
1204,4
1205,0
1206,1
1207,8
1208,5
1209,6
1210,5
1211,9
1212,1
1213,8
1214,4
1215,6
1216,3
1217,5
1218,5
1219,6
1220,4
1221,3
1222,5
1223,8
1224,7
1225,8
1226,4
1227,1
1228,7
1229,1
1230,8
1231,8
1232,6
1233,9
1234,0
1235,6
1236,9
1237,1
1238,0
1239,0
1240,8
1241,6
1242,5
1243,4
1244,3
1245,1
1246,2
1247,8
1248,8
1249,4
1250,0
1251,0
1252,7
1253,3
1254,9
1255,0
1256,2
1257,1
1258,9
1259,2
1260,8
1261,7
1262,1
1263,7
1264,6
1265,3
1266,9
1267,0
1268,7
1269,5
1270,5
1271,8
1272,4
1273,2
1274,8
1275,4
1276,3
1277,5
1278,5
1279,8
1280,8
1281,2
1282,9
1283,1
1284,1
1285,2
1286,4
1287,0
1288,0
1289,1
1290,5
1291,3
1292,7
1293,5
1294,1
1295,0
1296,6
1297,0
1298,1
1299,1
1300,7
1301,2
1302,2
1303,9
1304,3
1305,7
1306,7
1307,0
1308,2
1309,9
1310,2
1311,9
1312,7
1313,5
1314,2
1315,1
1316,3
1317,2
1318,0
1319,0
1320,5
1321,0
1322,1
1323,6
1324,5
1325,3
1326,3
1327,6
1328,5
1329,3
1330,5
1331,8
1332,6
1333,1
1334,0
1335,2
1336,4
1337,9
1338,2
1339,4
1340,3
1341,7
1342,2
1343,5
1344,4
1345,8
1346,1
1347,6
1348,1
1349,6
1350,4
1351,2
1352,3
1353,3
1354,7
1355,6
1356,0
1357,2
1358,6
1359,7
1360,8
1361,7
1362,1
1363,2
1364,6
1365,6
1366,8
1367,2
1368,6
1369,8
1370,8
1371,4
1372,4
1373,1
1374,3
1375,2
1376,9
1377,4
1378,7
1379,7
1380,4
1381,5
1382,9
1383,9
1384,2
1385,5
1386,1
1387,7
1388,3
1389,5
1390,9
1391,9
1392,7
1393,3
1394,3
1395,8
1396,6
1397,3
1398,8
1399,4
1400,3
1401,6
1402,0
1403,0
1404,1
1405,1
1406,4
1407,3
1408,3
1409,4
1410,0
1411,6
1412,7
1413,9
1414,7
1415,6
1416,3
1417,0
1418,1
1419,5
1420,1
1421,2
1422,0
1423,4
1424,8
1425,7
1426,9
1427,7
1428,3
1429,0
1430,2
1431,4
1432,4
1433,2
1434,6
1435,4
1436,9
1437,3
1438,3
1439,0
1440,6
1441,2
1442,9
1443,1
1444,9
1445,3
1446,5
1447,6
1448,9
1449,0
1450,5
1451,5
1452,6
1453,8
1454,3
1455,3
1456,9
1457,7
1458,9
1459,8
1460,6
1461,1
1462,7
1463,5
1464,0
1465,0
1466,5
1467,8
1468,4
1469,9
1470,1
1471,7
1472,5
1473,9
1474,9
1475,3
1476,9
1477,5
1478,1
1479,2
1480,6
1481,1
1482,2
1483,9
1484,7
1485,3
1486,6
1487,5
1488,9
1489,1
1490,3
1491,9
1492,7
1493,7
1494,7
1495,0
1496,0
1497,1
1498,8
1499,2
1500,5
1501,1
1502,7
1503,3
1504,0
1505,1
1506,2
1507,2
1508,6
1509,7
1510,0
1511,9
1512,5
1513,5
1514,2
1515,0
1516,9
1517,8
1518,0
1519,5
1520,8
1521,8
1522,1
1523,5
1524,2
1525,5
1526,4
1527,8
1528,0
1529,4
1530,2
1531,5
1532,3
1533,9
1534,4
1535,6
1536,2
1537,6
1538,8
1539,6
1540,6
1541,5
1542,5
1543,9
1544,0
1545,9
1546,0
1547,9
1548,5
1549,3
1550,6
1551,8
1552,0
1553,5
1554,8
1555,8
1556,3
1557,1
1558,3
1559,1
1560,0
1561,9
1562,4
1563,7
1564,1
1565,5
1566,0
1567,1
1568,6
1569,6
1570,6
1571,8
1572,2
1573,1
1574,7
1575,1
1576,6
1577,2
1578,9
1579,6
1580,7
1581,0
1582,2
1583,6
1584,3
1585,9
1586,0
1587,8
1588,2
1589,9
1590,9
1591,9
1592,7
1593,2
1594,3
1595,1
1596,3
1597,6
1598,2
1599,3
1600,5
1601,2
1602,9
1603,5
1604,4
1605,3
1606,9
1607,4
1608,4
1609,0
1610,9
1611,9
1612,5
1613,8
1614,2
1615,0
1616,3
1617,1
1618,3
1619,4
1620,1
1621,3
1622,9
1623,4
1624,2
1625,5
1626,8
1627,8
1628,5
1629,5
1630,8
1631,1
1632,9
1633,9
1634,9
1635,3
1636,8
1637,2
1638,1
1639,8
1640,0
1641,1
1642,7
1643,4
1644,5
1645,1
1646,2
1647,8
1648,9
1649,0
1650,0
1651,2
1652,0
1653,0
1654,3
1655,6
1656,9
1657,3
1658,6
1659,4
1660,8
1661,3
1662,5
1663,4
1664,7
1665,0
1666,9
1667,5
1668,0
1669,4
1670,3
1671,9
1672,5
1673,8
1674,5
1675,5
1676,7
1677,4
1678,6
1679,3
1680,8
1681,6
1682,5
1683,7
1684,4
1685,0
1686,8
1687,9
1688,9
1689,2
1690,6
1691,0
1692,1
1693,2
1694,3
1695,8
1696,7
1697,4
1698,5
1699,6
1700,5
1701,5
1702,8
1703,7
1704,5
1705,6
1706,4
1707,7
1708,8
1709,3
1710,2
1711,5
1712,7
1713,6
1714,7
1715,7
1716,2
1717,9
1718,9
1719,7
1720,1
1721,3
1722,8
1723,5
1724,5
1725,0
1726,9
1727,5
1728,8
1729,1
1730,8
1731,6
1732,4
1733,6
1734,2
1735,3
1736,8
1737,3
1738,9
1739,0
1740,9
1741,5
1742,6
1743,0
1744,0
1745,5
1746,1
1747,3
1748,5
1749,2
1750,4
1751,0
1752,4
1753,1
1754,3
1755,9
1756,1
1757,4
1758,6
1759,4
1760,2
1761,6
1762,8
1763,3
1764,7
1765,8
1766,9
1767,1
1768,4
1769,2
1770,0
1771,6
1772,8
1773,6
1774,2
1775,2
1776,8
1777,4
1778,1
1779,2
1780,0
1781,7
1782,1
1783,9
1784,5
1785,6
1786,4
1787,6
1788,6
1789,8
1790,8
1791,7
1792,2
1793,5
1794,6
1795,8
1796,9
1797,9
1798,4
1799,5
1800,7
1801,3
1802,3
1803,0
1804,5
1805,7
1806,0
1807,5
1808,3
1809,9
1810,4
1811,6
1812,8
1813,6
1814,6
1815,7
1816,6
1817,8
1818,6
1819,2
1820,7
1821,7
1822,8
1823,1
1824,9
1825,3
1826,8
1827,2
1828,9
1829,4
1830,2
1831,3
1832,6
1833,5
1834,3
1835,8
1836,1
1837,3
1838,5
1839,2
1840,7
1841,3
1842,1
1843,0
1844,5
1845,4
1846,7
1847,2
1848,6
1849,6
1850,7
1851,4
1852,7
1853,1
1854,2
1855,9
1856,5
1857,2
1858,6
1859,7
1860,8
1861,9
1862,4
1863,9
1864,5
1865,6
1866,5
1867,4
1868,6
1869,3
1870,1
1871,5
1872,4
1873,7
1874,3
1875,6
1876,6
1877,5
1878,3
1879,0
1880,5
1881,1
1882,4
1883,3
1884,8
1885,1
1886,6
1887,7
1888,1
1889,7
1890,9
1891,6
1892,4
1893,6
1894,8
1895,4
1896,2
1897,1
1898,7
1899,9
1900,6
1901,5
1902,3
1903,4
1904,3
1905,3
1906,9
1907,1
1908,9
1909,9
1910,3
1911,9
1912,4
1913,3
1914,6
1915,5
1916,3
1917,4
1918,8
1919,3
1920,2
1921,7
1922,8
1923,4
1924,2
1925,5
1926,4
1927,5
1928,0
1929,3
1930,4
1931,1
1932,3
1933,1
1934,8
1935,8
1936,6
1937,5
1938,2
1939,7
1940,8
1941,4
1942,2
1943,2
1944,3
1945,4
1946,0
1947,9
1948,4
1949,8
1950,5
1951,9
1952,7
1953,2
1954,0
1955,7
1956,3
1957,5
1958,0
1959,4
1960,2
1961,0
1962,6
1963,5
1964,3
1965,9
1966,5
1967,8
1968,4
1969,2
1970,9
1971,7
1972,9
1973,3
1974,7
1975,7
1976,3
1977,0
1978,0
1979,6
1980,3
1981,0
1982,1
1983,9
1984,2
1985,3
1986,3
1987,2
1988,7
1989,4
1990,8
1991,1
1992,0
1993,4
1994,1
1995,4
1996,2
1997,9
1998,7
1999,2
2000,4
2001,7
2002,6
2003,2
2004,3
2005,5
2006,7
2007,0
2008,7
2009,8
2010,3
2011,0
2012,1
2013,4
2014,8
2015,9
2016,0
2017,6
2018,5
2019,9
2020,7
2021,9
2022,5
2023,5
2024,0
2025,5
2026,5
2027,7
2028,5
2029,6
2030,9
2031,1
2032,4
2033,4
2034,6
2035,2
2036,7
2037,5
2038,4
2039,7
2040,3
2041,8
2042,2
2043,1
2044,9
2045,6
2046,7
2047,3
2048,1
2049,1
2050,5
2051,6
2052,8
2053,3
2054,3
2055,7
2056,1
2057,3
2058,8
2059,2
2060,5
2061,9
2062,8
2063,5
2064,4
2065,4
2066,7
2067,1
2068,4
2069,2
2070,5
2071,0
2072,4
2073,4
2074,1
2075,9
2076,7
2077,2
2078,9
2079,7
2080,8
2081,6
2082,5
2083,4
2084,8
2085,9
2086,1
2087,4
2088,0
2089,8
2090,1
2091,0
2092,9
2093,1
2094,2
2095,2
2096,3
2097,5
2098,1
2099,2
2100,9
2101,6
2102,3
2103,4
2104,9
2105,0
2106,0
2107,1
2108,1
2109,4
2110,1
2111,6
2112,9
2113,2
2114,2
2115,8
2116,0
2117,9
2118,5
2119,9
2120,2
2121,6
2122,5
2123,6
2124,5
2125,5
2126,1
2127,2
2128,8
2129,8
2130,5
2131,2
2132,6
2133,2
2134,9
2135,1
2136,2
2137,3
2138,4
2139,8
2140,5
2141,5
2142,1
2143,9
2144,6
2145,5
