task_id,task_community
0,2
1,2
2,3
3,1
4,2
5,3
6,5
7,2
8,2
9,2
10,0
11,4
12,6
13,0
14,3
15,0
16,5
17,5
18,2
19,0
20,6
21,2
22,5
23,6
24,5
25,3
26,3
27,1
28,4
29,1
30,4
31,6
32,3
33,2
34,1
35,3
36,4
37,5
38,1
39,3
40,4
41,2
42,2
43,2
44,2
45,3
46,5
47,4
48,5
49,6
50,2
51,6
52,5
53,3
54,5
55,1
56,5
57,6
58,3
59,0
60,2
61,0
62,2
63,3
64,2
65,2
66,4
67,1
68,4
69,3
70,0
71,6
72,5
73,6
74,1
75,6
76,0
77,2
78,6
79,1
80,1
81,0
82,0
83,4
84,0
85,3
86,2
87,5
88,3
89,3
90,5
91,0
92,2
93,2
94,4
95,3
96,1
97,3
98,2
99,1
100,6
101,6
102,4
103,5
104,1
105,3
106,6
107,0
108,6
109,2
110,0
111,6
112,2
113,1
114,6
115,5
116,1
117,0
118,0
119,0
120,0
121,0
122,4
123,6
124,0
125,0
126,5
127,4
128,4
129,6
130,0
131,2
132,3
133,6
134,1
135,1
136,3
137,6
138,2
139,2
140,5
141,0
142,1
143,2
144,5
145,0
146,2
147,6
148,0
149,0
150,3
151,6
152,0
153,4
154,5
155,2
156,6
157,4
158,4
159,2
160,4
161,3
162,0
163,3
164,1
165,6
166,1
167,2
168,4
169,6
170,3
171,4
172,3
173,5
174,4
175,5
176,6
177,2
178,4
179,5
180,0
181,1
182,5
183,6
184,2
185,0
186,0
187,2
188,3
189,0
190,0
191,1
192,6
193,2
194,0
195,2
196,0
197,4
198,5
199,6
200,3
201,6
202,5
203,5
204,6
205,2
206,4
207,0
208,5
209,5
210,5
211,2
212,1
213,2
214,3
215,6
216,2
217,6
218,2
219,0
220,1
221,0
222,4
223,3
224,0
225,6
226,6
227,6
228,1
229,4
230,1
231,3
232,3
233,6
234,0
235,4
236,6
237,4
238,0
239,3
240,2
241,2
242,3
243,1
244,4
245,6
246,3
247,6
248,5
249,6
250,1
251,4
252,2
253,4
254,2
255,1
256,1
257,3
258,3
259,3
260,2
261,6
262,2
263,0
264,4
265,4
266,5
267,4
268,4
269,5
270,1
271,1
272,4
273,5
274,4
275,6
276,6
277,1
278,0
279,0
280,0
281,1
282,0
283,4
284,2
285,2
286,6
287,0
288,6
289,0
290,5
291,1
292,2
293,1
294,0
295,4
296,4
297,0
298,3
299,5
300,5
301,1
302,0
303,1
304,6
305,0
306,4
307,2
308,5
309,4
310,5
311,1
312,4
313,1
314,5
315,0
316,0
317,6
318,1
319,3
320,5
321,1
322,4
323,6
324,5
325,5
326,6
327,5
328,5
329,6
330,0
331,3
332,4
333,3
334,5
335,0
336,2
337,3
338,4
339,5
340,4
341,6
342,0
343,4
344,0
345,5
346,3
347,6
348,6
349,0
350,0
351,4
352,0
353,3
354,3
355,0
356,6
357,3
358,2
359,2
360,4
361,4
362,3
363,4
364,3
365,4
366,6
367,1
368,5
369,5
370,3
371,2
372,5
373,1
374,1
375,4
376,5
377,2
378,3
379,0
380,5
381,2
382,1
383,4
384,0
385,4
386,5
387,4
388,2
389,1
390,2
391,1
392,2
393,2
394,1
395,2
396,4
397,1
398,1
399,1
400,3
401,2
402,6
403,6
404,2
405,2
406,4
407,1
408,6
409,0
410,0
411,2
412,0
413,0
414,6
415,2
416,0
417,5
418,3
419,1
420,5
421,5
422,1
423,3
424,0
425,0
426,1
427,3
428,5
429,0
430,4
431,5
432,0
433,4
434,4
435,1
436,6
437,0
438,3
439,3
440,4
441,2
442,3
443,0
444,4
445,4
446,1
447,1
448,3
449,5
450,4
451,0
452,6
453,3
454,1
455,3
456,5
457,5
458,4
459,5
460,5
461,6
462,3
463,1
464,0
465,4
466,3
467,2
468,1
469,5
470,1
471,0
472,4
473,4
474,2
475,3
476,0
477,1
478,1
479,2
480,1
481,3
482,0
483,2
484,5
485,2
486,2
487,2
488,5
489,3
490,5
491,1
492,4
493,0
494,6
495,3
496,3
497,0
498,6
499,5
500,3
501,6
502,5
503,4
504,0
505,4
506,4
507,2
508,1
509,6
510,6
511,3
512,0
513,2
514,2
515,6
516,1
517,1
518,6
519,5
520,0
521,2
522,5
523,6
524,4
525,2
526,0
527,2
528,0
529,4
530,2
531,5
532,5
533,4
534,1
535,3
536,3
537,5
538,6
539,1
540,4
541,3
542,0
543,0
544,4
545,3
