task,worker,answer
0,286,0
0,161,10
0,135,11
0,358,11
0,270,11
1,51,8
1,315,0
1,210,0
1,298,0
1,358,0
2,240,6
2,333,6
2,149,11
2,132,5
2,445,6
3,77,1
3,418,1
3,491,5
3,42,1
3,7,1
4,396,9
4,102,6
4,420,10
4,251,0
4,75,7
5,56,0
5,375,5
5,317,11
5,299,9
5,444,5
6,206,9
6,343,1
6,363,3
6,481,3
6,134,3
7,381,5
7,399,5
7,261,5
7,365,7
7,420,5
8,366,0
8,45,5
8,47,10
8,473,4
8,286,9
9,418,11
9,128,2
9,385,6
9,73,6
9,191,3
10,341,9
10,256,3
10,219,9
10,117,9
10,71,9
11,364,3
11,377,7
11,153,10
11,298,8
11,380,2
12,476,5
12,343,5
12,5,5
12,114,5
12,390,5
13,131,0
13,369,4
13,45,3
13,228,9
13,381,8
14,63,3
14,172,5
14,351,0
14,493,4
14,242,10
15,482,6
15,389,10
15,86,7
15,465,5
15,160,7
16,108,0
16,390,6
16,280,1
16,321,6
16,273,0
17,2,6
17,314,8
17,16,6
17,248,7
17,144,6
18,290,6
18,207,7
18,0,9
18,177,7
18,377,7
19,189,2
19,144,2
19,243,5
19,89,1
19,33,2
20,177,9
20,75,9
20,149,10
20,139,6
20,24,9
21,314,9
21,467,10
21,231,10
21,408,2
21,450,10
22,302,3
22,355,3
22,393,11
22,291,3
22,123,3
23,403,4
23,313,4
23,314,4
23,132,4
23,198,4
24,378,4
24,175,4
24,128,4
24,98,4
24,26,4
25,21,10
25,142,10
25,163,5
25,72,10
25,283,10
26,157,6
26,288,4
26,351,4
26,360,9
26,20,4
27,330,3
27,429,8
27,148,11
27,185,4
27,53,11
28,207,1
28,272,8
28,398,10
28,367,1
28,313,1
29,407,0
29,445,2
29,440,8
29,336,2
29,425,9
30,322,1
30,96,7
30,191,0
30,435,1
30,284,1
31,442,6
31,200,5
31,475,11
31,258,11
31,450,6
32,286,5
32,30,2
32,85,4
32,365,5
32,51,4
33,297,8
33,115,8
33,90,7
33,314,6
33,86,8
34,251,1
34,359,2
34,14,1
34,447,7
34,325,1
35,458,4
35,408,8
35,105,4
35,412,2
35,135,4
36,410,6
36,210,9
36,285,9
36,195,8
36,243,9
37,96,11
37,315,8
37,327,9
37,70,2
37,110,7
38,346,5
38,47,7
38,224,7
38,48,2
39,110,3
39,252,2
39,251,10
39,465,8
39,447,10
40,168,5
40,125,1
40,103,4
40,356,6
41,303,11
41,278,8
41,30,5
41,11,10
41,121,0
42,262,1
42,14,0
42,285,8
42,341,1
42,60,3
43,32,2
43,181,6
43,86,5
43,152,9
43,371,10
44,359,2
44,251,10
44,423,1
44,432,4
44,438,10
45,268,0
45,10,2
45,191,2
45,44,10
45,196,6
46,91,1
46,44,0
46,485,8
46,487,10
46,489,0
47,122,1
47,90,4
47,471,9
47,465,10
47,271,0
48,360,10
48,389,9
48,196,5
48,95,10
48,126,9
49,26,11
49,204,2
49,428,7
49,139,2
49,110,11
50,439,1
50,192,1
50,341,1
50,224,11
50,32,2
51,122,2
51,393,10
51,288,9
51,274,3
51,80,8
52,433,9
52,217,9
52,335,2
52,273,3
52,289,9
53,92,9
53,289,5
53,413,4
53,172,2
53,48,4
54,4,0
54,471,8
54,434,8
54,159,2
54,37,1
55,81,10
55,464,0
55,314,10
55,58,10
55,53,10
56,256,11
56,470,5
56,276,4
56,431,2
56,152,10
57,197,6
57,373,2
57,297,11
57,222,2
57,267,2
58,486,11
58,353,6
58,488,4
58,216,0
58,323,5
59,57,10
59,317,5
59,239,0
59,301,11
59,458,5
60,326,6
60,61,9
60,172,9
60,27,0
60,490,9
61,213,4
61,185,10
61,253,0
61,136,1
61,128,8
62,412,11
62,187,6
62,59,8
62,97,6
62,363,11
63,111,10
63,204,10
63,432,5
63,479,5
63,452,5
64,35,3
64,220,3
64,458,11
64,45,2
64,78,6
65,404,6
65,122,4
65,279,2
65,354,4
65,290,3
66,180,8
66,272,8
66,427,8
66,0,9
66,496,3
67,276,8
67,87,11
67,492,8
67,389,8
67,102,6
68,185,0
68,17,0
68,243,0
68,466,10
68,403,0
69,416,6
69,347,6
69,19,6
69,64,6
69,390,6
70,240,11
70,306,2
70,0,1
70,372,11
70,66,11
71,353,4
71,157,6
71,205,8
71,370,7
71,435,8
72,307,9
72,300,0
72,58,9
72,104,9
72,312,9
73,166,7
73,31,6
73,42,6
73,341,6
73,434,6
74,229,7
74,182,7
74,405,4
74,324,0
74,233,7
75,91,5
75,410,1
75,392,10
75,488,5
75,258,5
76,150,8
76,62,11
76,348,8
76,487,6
76,316,8
77,417,5
77,383,5
77,290,5
77,266,5
77,95,11
78,396,8
78,423,7
78,180,2
78,222,7
78,236,7
79,365,11
79,56,11
79,18,1
79,184,11
79,81,11
80,186,1
80,473,1
80,297,9
80,433,9
80,494,10
81,129,8
81,235,8
81,281,8
81,282,1
81,270,4
82,160,0
82,76,5
82,51,2
82,49,2
82,228,3
83,349,1
83,258,3
83,475,11
83,316,3
83,170,8
84,200,5
84,426,1
84,398,3
84,55,7
84,484,8
85,144,2
85,446,2
85,285,11
85,222,11
85,355,8
86,139,2
86,404,11
86,61,4
86,210,4
86,437,9
87,473,8
87,69,2
87,183,8
87,226,8
87,383,8
88,107,0
88,96,3
88,115,10
88,148,6
88,134,3
89,252,4
89,263,1
89,12,8
89,304,7
89,214,3
90,19,3
90,201,0
90,76,3
90,245,3
90,292,7
91,15,8
91,240,4
91,36,4
91,257,4
91,141,7
92,291,3
92,262,3
92,205,3
92,314,10
92,258,1
93,104,8
93,482,8
93,355,8
93,264,1
93,351,8
94,95,9
94,268,10
94,431,9
94,497,1
94,18,9
95,242,4
95,327,0
95,388,7
95,210,4
95,469,11
96,203,6
96,162,9
96,144,4
96,61,9
96,270,9
97,255,3
97,193,0
97,414,8
97,349,4
97,336,11
98,392,11
98,138,6
98,212,6
98,354,10
98,273,6
99,303,10
99,374,4
99,421,11
99,24,9
99,287,8
100,345,8
100,406,1
100,13,11
100,273,11
100,130,4
101,7,5
101,269,5
101,422,5
101,478,2
101,132,5
102,402,3
102,464,4
102,173,5
102,164,4
102,42,4
103,287,5
103,136,8
103,124,2
103,135,4
103,356,1
104,411,9
104,133,1
104,206,11
104,191,10
104,236,5
105,399,2
105,101,1
105,348,4
105,496,10
105,30,9
106,443,10
106,409,1
106,282,4
106,458,1
106,474,1
107,425,10
107,104,10
107,98,2
107,238,3
107,39,7
108,85,7
108,171,9
108,489,0
108,228,1
108,320,4
109,439,10
109,427,1
109,118,1
109,326,9
109,88,2
110,327,10
110,478,3
110,148,7
110,189,5
110,256,5
111,466,7
111,149,7
111,464,1
111,199,2
111,484,7
112,337,5
112,325,3
112,167,3
112,321,10
112,63,9
113,389,11
113,440,2
113,268,9
113,449,4
113,458,7
114,167,0
114,284,0
114,493,9
114,423,0
114,155,1
115,347,5
115,220,5
115,483,7
115,221,5
115,247,8
116,186,7
116,498,0
116,437,10
116,311,3
116,134,3
117,292,2
117,270,0
117,429,3
117,37,3
117,237,5
118,0,2
118,140,4
118,332,10
118,424,4
118,155,9
119,334,5
119,489,5
119,103,5
119,234,5
119,66,3
120,418,0
120,251,0
120,155,8
120,371,0
120,67,7
121,325,10
121,160,3
121,80,11
121,78,1
121,18,11
122,376,5
122,348,11
122,426,0
122,499,11
122,306,8
123,373,10
123,476,4
123,360,0
123,274,3
123,180,4
124,315,7
124,360,4
124,84,1
124,479,9
124,227,7
125,179,3
125,48,3
125,18,3
125,128,5
125,391,11
126,218,0
126,30,9
126,94,8
126,400,9
126,75,9
127,12,3
127,155,11
127,400,3
127,253,3
127,10,2
128,311,8
128,336,8
128,492,8
128,78,8
128,326,8
129,304,9
129,314,7
129,21,3
129,143,3
129,371,3
130,120,4
130,354,4
130,215,3
130,1,4
130,366,4
131,259,2
131,245,11
131,358,2
131,115,2
131,99,2
132,11,6
132,81,11
132,123,11
132,389,11
132,477,1
133,490,11
133,332,3
133,470,3
133,67,3
133,415,3
134,344,3
134,101,2
134,489,2
134,387,7
134,114,2
135,399,4
135,90,2
135,211,3
135,210,3
135,66,4
136,311,8
136,396,8
136,435,8
136,111,3
136,20,8
137,353,5
137,129,7
137,411,10
137,156,10
137,171,10
138,272,2
138,481,2
138,190,10
138,367,3
138,240,0
139,150,2
139,383,4
139,71,6
139,112,1
139,29,8
140,322,10
140,419,10
140,74,10
140,137,5
140,25,0
141,21,11
141,384,4
141,260,4
141,50,2
141,209,4
142,126,0
142,86,5
142,194,5
142,421,5
142,149,5
143,312,3
143,395,3
143,8,2
143,461,6
143,404,3
144,183,10
144,303,4
144,246,9
144,71,2
144,290,2
145,51,8
145,19,9
145,1,7
145,390,11
145,382,11
146,115,6
146,296,3
146,340,3
146,145,4
146,157,3
147,273,4
147,250,0
147,376,2
147,190,11
147,429,11
148,41,2
148,463,5
148,222,5
148,110,6
148,123,7
149,485,6
149,240,4
149,475,4
149,490,8
149,431,4
150,257,7
150,483,2
150,497,2
150,190,3
150,135,11
151,169,0
151,81,3
151,341,0
151,489,0
151,207,4
152,487,9
152,28,9
152,24,10
152,406,9
152,363,8
153,85,5
153,172,2
153,151,5
153,12,5
153,244,7
154,487,8
154,407,2
