worker_id,worker_community
0,7
1,2
2,1
3,7
4,2
5,5
6,3
7,3
8,2
9,0
10,2
11,7
12,5
13,7
14,2
15,1
16,4
17,6
18,4
19,1
20,2
21,6
22,2
23,4
24,3
25,7
26,4
27,2
28,2
29,1
30,4
31,7
32,7
33,4
34,4
35,4
36,4
37,7
38,4
39,5
40,2
41,5
42,4
43,7
44,2
45,2
46,5
47,3
48,2
49,7
50,3
51,6
52,6
53,3
54,3
55,3
56,6
57,3
58,7
59,0
60,6
61,3
62,3
63,5
64,7
65,3
66,1
67,3
68,0
69,5
70,1
71,4
72,4
73,0
74,0
75,3
76,1
77,3
78,5
79,7
80,2
81,0
82,5
83,4
84,5
85,1
86,3
87,7
88,5
89,5
90,7
91,6
92,1
93,1
94,1
95,3
96,7
97,0
98,2
99,0
100,2
101,1
102,1
103,6
104,2
105,1
106,2
107,7
108,7
109,4
110,7
111,4
112,5
113,0
114,0
115,1
116,7
117,3
118,5
119,4
120,7
121,6
122,4
123,1
124,1
125,3
126,3
127,4
128,6
129,2
130,0
131,5
132,0
133,0
134,5
135,5
136,6
137,6
138,4
139,4
140,1
141,1
142,6
143,7
144,6
145,0
146,2
147,5
148,7
149,4
150,7
151,1
152,5
153,7
154,2
155,5
156,3
157,3
158,0
159,7
160,2
161,6
162,5
163,5
164,3
165,0
166,0
167,6
168,5
169,4
170,3
171,7
172,6
173,4
174,3
175,3
176,3
177,7
178,2
179,4
180,7
181,6
182,5
183,5
184,7
185,4
186,6
187,0
188,4
189,3
190,6
191,4
192,7
193,3
194,6
195,6
196,6
197,0
198,7
199,6
200,0
201,7
202,6
203,0
204,1
205,0
206,0
207,7
208,1
209,2
210,5
211,1
212,2
213,1
214,3
215,5
216,1
217,1
218,0
219,7
220,0
221,4
222,6
223,5
224,1
225,7
226,0
227,5
228,0
229,6
230,0
231,4
232,7
233,4
234,6
235,2
236,1
237,2
238,7
239,1
240,3
241,3
242,6
243,0
244,4
245,3
246,0
247,3
248,1
249,3
250,5
251,7
252,2
253,5
254,4
255,4
256,0
257,0
258,6
259,3
260,7
261,4
262,0
263,5
264,3
265,7
266,5
267,5
268,0
269,4
270,6
271,4
272,2
273,6
274,7
275,2
276,3
277,4
278,4
279,2
280,5
281,6
282,5
283,3
284,5
285,7
286,6
287,3
288,4
289,5
290,4
291,7
292,6
293,3
294,5
295,2
296,3
297,0
298,6
299,2
300,5
301,6
302,3
303,3
304,3
305,4
306,1
307,4
308,2
309,1
310,5
311,0
312,4
313,4
314,3
315,3
316,6
317,2
318,5
319,2
320,4
321,3
322,6
323,7
324,3
325,6
326,3
327,0
328,5
329,4
330,1
331,4
332,1
333,2
334,6
335,2
336,1
337,1
338,4
339,3
340,7
341,3
342,0
343,3
344,0
345,5
346,3
347,1
348,5
349,2
350,3
351,4
352,4
353,4
354,5
355,5
356,2
357,4
358,0
359,4
360,1
361,6
362,5
363,6
364,5
365,1
366,5
367,4
368,6
369,0
370,7
371,3
372,1
373,1
374,0
375,3
376,2
377,3
378,6
379,5
380,2
381,2
382,1
383,5
384,5
385,5
386,0
387,0
388,3
389,0
390,1
391,2
392,6
393,3
394,2
395,1
396,5
397,1
398,5
399,0
400,3
401,5
402,5
403,2
404,6
405,4
406,5
407,2
408,7
409,0
410,2
411,2
412,0
413,7
414,4
415,7
416,1
417,2
418,6
419,6
420,2
421,3
422,1
423,0
424,1
425,0
426,5
427,5
428,7
429,0
430,3
431,2
432,3
433,3
434,5
435,1
436,2
437,5
438,1
439,1
440,3
441,0
442,2
443,3
444,1
445,7
446,1
447,1
448,1
449,7
450,3
451,2
452,2
453,3
454,2
455,1
456,1
457,0
458,1
459,0
460,5
461,7
462,3
463,5
464,1
465,1
466,0
467,5
468,6
469,1
470,3
471,0
472,5
473,5
474,6
475,5
476,5
477,4
478,2
479,7
480,1
481,6
482,6
483,3
484,2
485,6
486,7
487,4
488,2
489,7
490,0
491,4
492,6
493,3
494,2
495,0
496,6
497,1
498,5
499,3
