task_id,truth
0,2
1,2
2,5
3,5
4,1
5,7
6,2
7,0
8,1
9,0
10,2
11,6
12,6
13,6
14,7
15,2
16,1
17,6
18,4
19,2
20,5
21,2
22,4
23,3
24,5
25,2
26,5
27,6
28,1
29,4
30,2
31,6
32,2
33,1
34,3
35,5
36,6
37,2
38,0
39,3
40,6
41,0
42,6
43,2
44,4
45,5
46,7
47,1
48,7
49,0
50,2
51,5
52,5
53,6
54,4
55,5
56,0
57,5
58,2
59,4
60,7
61,1
62,5
63,4
64,5
65,6
66,5
67,5
68,5
69,7
70,7
71,1
72,5
73,3
74,5
75,3
76,5
77,5
78,0
79,4
80,4
81,0
82,3
83,2
84,4
85,4
86,2
87,1
88,6
89,3
90,6
91,1
92,2
93,4
94,2
95,7
96,2
97,2
98,3
99,3
100,7
101,2
102,6
103,6
104,5
105,4
106,4
107,5
108,2
109,7
110,7
111,3
112,4
113,4
114,6
115,2
116,2
117,4
118,3
119,5
120,7
121,5
122,1
123,1
124,6
125,2
126,1
127,0
128,0
129,7
130,5
131,4
132,5
133,0
134,0
135,6
136,1
137,3
138,4
139,5
140,7
141,6
142,7
143,6
144,4
145,3
146,4
147,1
148,6
149,4
150,5
151,6
152,1
153,4
154,0
155,7
156,4
157,0
158,7
159,0
160,4
161,2
162,3
163,0
164,7
165,3
166,0
167,5
168,3
169,2
170,5
171,7
172,1
173,2
174,1
175,4
176,2
177,1
178,1
179,1
180,4
181,4
182,3
183,5
184,6
185,3
186,1
187,6
188,5
189,5
190,6
191,0
192,4
193,2
194,7
195,5
196,3
197,0
198,5
199,1
200,6
201,4
202,6
203,5
204,6
205,1
206,2
207,5
208,5
209,5
210,4
211,7
212,6
213,1
214,3
215,7
216,6
217,2
218,3
219,6
220,0
221,0
222,2
223,5
224,0
225,5
226,0
227,3
228,2
229,3
230,7
231,2
232,2
233,7
234,0
235,1
236,7
237,4
238,7
239,7
240,0
241,5
242,5
243,2
244,0
245,0
246,4
247,0
248,5
249,3
250,6
251,2
252,5
253,4
254,0
255,5
256,7
257,7
258,5
259,4
260,4
261,6
262,4
263,2
264,4
265,1
266,7
267,7
268,6
269,3
270,4
271,7
272,6
273,2
274,0
275,6
276,5
277,1
278,4
279,7
280,3
281,6
282,5
283,2
284,2
285,0
286,1
287,7
288,2
289,2
290,5
291,2
292,7
293,5
294,7
295,7
296,6
297,4
298,5
299,5
300,5
301,5
302,0
303,1
304,2
305,4
306,1
307,4
308,4
309,6
310,2
311,4
312,5
313,2
314,3
315,4
316,5
317,3
318,6
319,6
320,4
321,0
322,1
323,7
324,2
325,2
326,5
327,2
328,2
329,4
330,2
331,6
332,4
333,5
334,4
335,2
336,3
337,5
338,1
339,5
340,3
341,1
342,4
343,4
344,0
345,7
346,5
347,4
348,0
349,4
350,4
351,1
352,6
353,3
354,6
355,3
356,5
357,4
358,2
359,2
360,3
361,2
362,0
363,1
364,2
365,4
366,3
367,7
368,0
369,6
370,7
371,4
372,4
373,1
374,4
375,6
376,1
377,4
378,5
379,7
380,0
381,0
382,6
383,4
384,4
385,5
386,6
387,6
388,6
389,5
390,1
391,2
392,6
393,3
394,3
395,0
396,7
397,1
398,2
399,5
400,0
401,7
402,0
403,7
404,0
405,7
406,2
407,3
408,5
409,4
410,4
411,4
412,0
413,4
414,3
415,7
416,4
417,3
418,0
419,7
420,6
421,5
422,3
423,0
424,3
425,7
426,0
427,0
428,7
429,5
430,5
431,5
432,6
433,7
434,1
435,0
436,2
437,1
438,2
439,7
440,0
441,3
442,6
443,1
444,2
445,6
446,5
447,0
448,4
449,0
450,0
451,0
452,6
453,2
454,0
455,7
456,5
457,3
458,1
459,0
460,5
461,5
462,0
463,5
464,6
465,3
466,3
467,1
468,3
469,1
470,5
471,6
472,1
473,2
474,6
475,0
476,5
477,0
478,3
479,6
480,2
481,2
482,5
483,0
484,6
485,3
486,2
487,3
488,3
489,2
490,5
491,0
492,7
493,7
494,1
495,1
496,6
497,2
498,0
499,1
500,5
501,2
502,4
503,0
504,6
505,4
506,7
507,3
508,3
509,7
510,7
511,7
512,1
513,2
514,0
515,1
516,5
517,7
518,3
519,7
520,5
521,5
522,0
523,3
524,1
525,3
526,2
527,7
528,5
529,6
530,6
531,6
532,6
533,5
534,0
535,6
536,6
537,3
538,1
539,3
540,6
541,1
542,7
543,6
544,3
545,0
