task_id,truth
0,6
1,8
2,0
3,4
4,3
5,0
6,8
7,0
8,0
9,4
10,9
11,4
12,4
13,1
14,4
15,7
16,7
17,8
18,9
19,6
20,2
21,5
22,5
23,4
24,5
25,6
26,2
27,9
28,6
29,6
30,8
31,7
32,5
33,2
34,4
35,7
36,7
37,5
38,9
39,9
40,9
41,2
42,4
43,3
44,2
45,4
46,1
47,6
48,7
49,5
50,8
51,2
52,8
53,0
54,3
55,6
56,1
57,5
58,3
59,5
60,5
61,9
62,1
63,6
64,9
65,3
66,6
67,3
68,2
69,4
70,4
71,4
72,4
73,5
74,9
75,4
76,4
77,1
78,3
79,7
80,7
81,2
82,0
83,0
84,2
85,8
86,1
87,4
88,7
89,9
90,8
91,3
92,9
93,4
94,1
95,2
96,1
97,0
98,1
99,9
100,4
101,7
102,2
103,4
104,1
105,5
106,2
107,2
108,5
109,7
110,3
111,8
112,3
113,6
114,7
115,3
116,6
117,1
118,3
119,4
120,7
121,5
122,6
123,1
124,6
125,6
126,3
127,1
128,1
129,1
130,8
131,1
132,0
133,8
134,4
135,6
136,3
137,3
138,9
139,4
140,4
141,3
142,2
143,9
144,4
145,1
146,1
147,3
148,7
149,7
150,2
151,4
152,4
153,6
154,1
155,4
156,1
157,0
158,9
159,3
160,9
161,9
162,6
163,6
164,8
165,5
166,9
167,7
168,4
169,1
170,3
171,9
172,6
173,7
174,3
175,3
176,6
177,4
178,7
179,6
180,7
181,7
182,1
183,1
184,5
185,9
186,3
187,6
188,3
189,1
190,1
191,1
192,1
193,0
194,2
195,2
196,5
197,8
198,2
199,1
200,3
201,9
202,9
203,2
204,7
205,1
206,0
207,7
208,8
209,2
210,4
211,4
212,9
213,8
214,7
215,1
216,6
217,4
218,9
219,3
220,9
221,6
222,0
223,3
224,6
225,1
226,8
227,0
228,3
229,6
230,6
231,8
232,3
233,5
234,7
235,8
236,8
237,0
238,4
239,1
240,2
241,5
242,6
243,5
244,4
245,4
246,9
247,8
248,4
249,1
250,2
251,7
252,0
253,0
254,0
255,7
256,6
257,9
258,1
259,4
260,9
261,6
262,8
263,7
264,2
265,8
266,5
267,5
268,0
269,7
270,3
271,4
272,6
273,5
274,3
275,2
276,3
277,9
278,5
279,2
280,3
281,2
282,7
283,0
284,9
285,6
286,3
287,6
288,1
289,3
290,3
291,8
292,0
293,1
294,2
295,6
296,8
297,0
298,0
299,6
300,0
301,9
302,3
303,6
304,0
305,8
306,8
307,4
308,2
309,5
310,9
311,7
312,3
313,6
314,7
315,1
316,2
317,3
318,9
319,7
320,2
321,6
322,2
323,9
324,6
325,2
326,4
327,2
328,2
329,0
330,9
331,8
332,3
333,1
334,3
335,9
336,8
337,3
338,6
339,6
340,6
341,1
342,4
343,5
344,3
345,5
346,7
347,8
348,0
349,3
350,2
351,2
352,1
353,5
354,2
355,3
356,1
357,3
358,4
359,8
360,8
361,3
362,1
363,1
364,0
365,9
366,1
367,1
368,7
369,4
370,5
371,6
372,8
373,3
374,2
375,8
376,4
377,6
378,8
379,6
380,7
381,4
382,1
383,0
384,4
385,0
386,7
387,5
388,7
389,0
390,2
391,4
392,4
393,0
394,6
395,6
396,9
397,4
398,7
399,6
400,7
401,0
402,5
403,7
404,7
405,6
406,9
407,4
408,7
409,7
410,1
411,3
412,7
413,2
414,9
415,9
416,2
417,3
418,3
419,6
420,7
421,8
422,8
423,8
424,3
425,9
426,4
427,5
428,8
429,7
430,0
431,5
432,4
433,9
434,7
435,0
436,9
437,0
438,2
439,6
440,5
441,4
442,3
443,5
444,8
445,8
446,8
447,2
448,1
449,0
450,5
451,8
452,3
453,4
454,4
455,4
456,8
457,9
458,6
459,2
460,9
461,2
462,0
463,1
464,2
465,1
466,8
467,5
468,0
469,6
470,7
471,2
472,8
473,3
474,7
475,6
476,1
477,9
478,0
479,5
480,5
481,6
482,3
483,4
484,8
485,7
486,5
487,2
488,5
489,5
490,9
491,7
492,8
493,6
494,2
495,5
496,1
497,4
498,8
499,8
500,6
501,0
502,0
503,6
504,7
505,2
506,2
507,5
508,0
509,5
510,0
511,5
512,6
513,7
514,1
515,8
516,2
517,6
518,7
519,6
520,1
521,4
522,6
523,1
524,1
525,8
526,0
527,1
528,3
529,7
530,4
531,9
532,2
533,7
534,7
535,2
536,3
537,0
538,9
539,5
540,6
541,1
542,6
543,5
