worker_id,worker_community
0,4
1,0
2,7
3,3
4,4
5,4
6,0
7,3
8,6
9,5
10,0
11,0
12,3
13,3
14,0
15,6
16,1
17,6
18,4
19,6
20,2
21,1
22,3
23,3
24,4
25,1
26,4
27,2
28,0
29,1
30,3
31,4
32,7
33,6
34,2
35,5
36,7
37,6
38,5
39,7
40,1
41,7
42,3
43,3
44,0
45,2
46,1
47,5
48,3
49,6
50,6
51,0
52,6
53,6
54,4
55,1
56,0
57,1
58,6
59,3
60,3
61,2
62,3
63,2
64,1
65,6
66,1
67,5
68,3
69,6
70,1
71,5
72,2
73,2
74,6
75,1
76,3
77,3
78,1
79,2
80,3
81,2
82,2
83,6
84,7
85,4
86,7
87,1
88,7
89,4
90,4
91,0
92,0
93,2
94,1
95,7
96,2
97,6
98,1
99,3
