task,worker,answer
0,24,2
0,91,0
0,14,6
0,11,6
0,27,6
1,59,3
1,97,9
1,24,3
1,93,4
1,41,3
2,41,2
2,47,9
2,82,9
2,69,1
2,36,9
3,68,5
3,93,9
3,82,0
3,5,5
3,34,5
4,27,8
4,67,9
4,83,1
4,3,9
4,39,0
5,21,2
5,98,3
5,58,8
5,32,1
5,94,2
6,75,3
6,89,3
6,29,8
6,9,2
6,8,2
7,88,5
7,66,7
7,0,7
7,21,0
7,78,7
8,99,3
8,72,8
8,55,4
8,33,6
8,1,9
9,71,1
9,28,3
9,32,4
9,12,1
9,43,9
10,53,8
10,28,9
10,30,9
10,82,3
10,29,3
11,52,0
11,98,4
11,41,7
11,92,7
11,24,7
12,83,3
12,53,8
12,86,8
12,33,8
12,92,7
13,55,3
13,35,5
13,30,7
13,31,8
13,47,8
14,80,4
14,65,2
14,77,7
14,54,1
14,16,6
15,46,5
15,41,5
15,49,5
15,59,4
15,45,5
16,57,8
16,31,6
16,23,8
16,86,5
16,46,5
17,17,9
17,71,3
17,40,7
17,39,5
17,69,1
18,89,1
18,80,9
18,56,9
18,59,1
18,83,1
19,62,4
19,57,8
19,66,8
19,61,0
19,2,8
20,94,3
20,73,4
20,43,1
20,93,2
20,52,3
21,85,2
21,74,0
21,23,1
21,98,1
21,71,3
22,84,4
22,21,8
22,69,4
22,18,5
22,7,4
23,79,5
23,13,5
23,12,7
23,75,7
23,94,5
24,85,1
24,8,7
24,76,1
24,37,8
24,42,1
25,87,7
25,81,3
25,44,1
25,83,3
25,82,3
26,26,9
26,69,8
26,54,4
26,2,9
26,97,4
27,17,5
27,31,3
27,81,9
27,16,4
27,69,2
28,97,7
28,72,6
28,22,6
28,34,2
28,55,8
29,79,6
29,21,2
29,10,0
29,27,5
29,9,9
30,62,4
30,85,9
30,83,4
30,9,4
30,63,2
31,39,0
31,63,2
31,13,5
31,78,0
31,99,0
32,61,6
32,77,7
32,41,6
32,3,5
32,53,8
33,11,0
33,32,5
33,86,9
33,81,4
33,30,1
34,77,8
34,51,9
34,27,2
34,68,0
34,23,2
35,25,3
35,71,3
35,52,3
35,27,1
35,3,8
36,27,0
36,64,7
36,70,8
36,39,8
36,42,5
37,0,3
37,91,7
37,52,5
37,3,5
37,4,5
38,25,0
38,34,1
38,92,0
38,31,0
38,5,7
39,17,1
39,84,3
39,56,3
39,44,6
39,49,3
40,73,3
40,68,3
40,56,3
40,76,2
40,53,7
41,80,6
41,73,6
41,60,6
41,66,6
41,27,1
42,17,2
42,91,1
42,48,1
42,47,7
42,73,1
43,60,5
43,13,3
43,49,5
43,72,5
44,22,4
44,68,4
44,71,4
44,51,6
44,63,5
45,95,1
45,58,8
45,66,8
45,18,5
45,78,1
46,93,2
46,99,9
46,10,0
46,7,5
47,31,5
47,79,9
47,70,5
47,22,5
47,43,5
