task_id,task_community
0,5
1,0
2,2
3,2
4,2
5,3
6,1
7,2
8,5
9,2
10,6
11,5
12,1
13,3
14,6
15,5
16,1
17,2
18,5
19,2
20,6
21,1
22,2
23,6
24,2
25,4
26,2
27,1
28,5
29,5
30,4
31,5
32,0
33,1
34,4
35,5
36,6
37,4
38,2
39,6
40,2
41,1
42,0
43,1
44,1
45,5
46,1
47,6
48,6
49,2
50,1
51,6
52,0
53,0
54,5
55,3
56,3
57,3
58,6
59,2
60,3
61,6
62,4
63,2
64,5
65,5
66,2
67,3
68,4
69,0
70,1
71,0
72,3
73,0
74,6
75,2
76,1
77,2
78,2
79,1
80,1
81,4
82,1
83,6
84,2
85,0
86,6
87,4
88,0
89,0
90,2
91,2
92,4
93,3
94,5
95,5
96,4
97,3
98,4
99,6
100,6
101,2
102,0
103,1
104,5
105,4
106,2
107,4
108,1
109,1
110,2
111,2
112,4
113,3
114,4
115,2
116,1
117,2
118,3
119,5
120,3
121,0
122,4
123,5
124,3
125,1
126,4
127,4
128,0
129,0
130,4
131,0
132,0
133,1
134,5
135,3
136,5
137,5
138,4
139,3
140,0
141,4
142,2
143,4
144,0
145,6
146,3
147,3
148,5
149,4
150,6
151,1
152,6
153,2
154,3
155,2
156,4
157,1
158,6
159,0
160,2
161,6
162,4
163,5
164,0
165,0
166,2
167,1
168,3
169,3
170,3
171,1
172,5
173,3
174,3
175,5
176,6
177,0
178,4
179,6
180,3
181,6
182,1
183,2
184,0
185,6
186,6
187,0
188,0
189,3
190,5
191,5
192,6
193,5
194,6
195,4
196,6
197,5
198,4
199,0
200,4
201,2
202,1
203,0
204,0
205,6
206,6
207,1
208,6
209,0
210,3
211,4
212,1
213,0
214,6
215,1
216,0
217,1
218,2
219,1
220,5
221,6
222,0
223,6
224,0
225,2
226,4
227,1
228,4
229,4
230,3
231,6
232,5
233,6
234,0
235,3
236,6
237,3
238,5
239,3
240,4
241,6
242,4
243,5
244,6
245,3
246,6
247,1
248,5
249,0
250,6
251,5
252,3
253,2
254,1
255,2
256,5
257,0
258,6
259,3
260,6
261,4
262,2
263,5
264,3
265,3
266,4
267,3
268,2
269,6
270,3
271,2
272,5
273,6
274,4
275,5
276,1
277,4
278,3
279,0
280,5
281,1
282,2
283,0
284,3
285,5
286,4
287,5
288,5
289,6
290,4
291,6
292,2
293,1
294,1
295,6
296,3
297,4
298,1
299,4
300,5
301,1
302,6
303,4
304,4
305,5
306,6
307,5
308,4
309,6
310,2
311,5
312,0
313,6
314,2
315,2
316,2
317,3
318,2
319,6
320,0
321,5
322,2
323,6
324,6
325,6
326,1
327,2
328,6
329,3
330,4
331,6
332,2
333,2
334,6
335,4
336,4
337,4
338,2
339,1
340,5
341,6
342,4
343,3
344,0
345,4
346,6
347,0
348,3
349,6
350,1
351,2
352,0
353,6
354,0
355,2
356,6
357,1
358,1
359,6
360,6
361,2
362,5
363,6
364,0
365,1
366,6
367,1
368,1
369,0
370,2
371,3
372,4
373,3
374,5
375,1
376,5
377,0
378,1
379,5
380,5
381,5
382,6
383,6
384,4
385,4
386,4
387,0
388,4
389,0
390,1
391,6
392,3
393,6
394,1
395,5
396,5
397,5
398,6
399,6
400,6
401,3
402,1
403,6
404,4
405,0
406,2
407,6
408,0
409,1
410,4
411,0
412,5
413,0
414,4
415,1
416,6
417,3
418,1
419,6
420,3
421,4
422,2
423,4
424,5
425,1
426,5
427,4
428,4
429,1
430,5
431,2
432,1
433,6
434,3
435,4
436,4
437,2
438,3
439,5
440,2
441,0
442,0
443,5
444,5
445,3
446,3
447,4
448,6
449,3
450,2
451,2
452,1
453,5
454,3
455,2
456,1
457,2
458,2
459,2
460,0
461,4
462,1
463,3
464,3
465,3
466,5
467,3
468,1
469,6
470,4
471,5
472,6
473,1
474,6
475,6
476,0
477,4
478,1
479,1
480,6
481,1
482,1
483,3
484,3
485,6
486,2
487,1
488,5
489,3
490,2
491,3
492,4
493,3
494,0
495,6
496,0
497,2
498,3
499,4
500,4
501,6
502,5
503,2
