task_id,truth
0,8
1,1
2,1
3,9
4,4
5,6
6,4
7,2
8,0
9,8
10,6
11,9
12,8
13,5
14,6
15,7
16,1
17,5
18,6
19,7
20,2
21,2
22,4
23,5
24,4
25,7
26,7
27,5
28,6
29,5
30,7
31,3
32,9
33,3
34,3
35,0
36,7
37,5
38,9
39,2
40,8
41,5
42,5
43,7
44,0
45,0
46,1
47,2
48,4
49,4
50,8
51,4
52,3
53,3
54,9
55,6
56,7
57,3
58,2
59,4
60,6
61,7
62,3
63,2
64,8
65,1
66,7
67,3
68,6
69,2
70,5
71,0
72,0
73,1
74,9
75,6
76,7
77,2
78,1
79,8
80,2
81,7
82,9
83,1
84,3
85,6
86,2
87,6
88,2
89,1
90,6
91,7
92,9
93,1
94,8
95,3
96,0
97,1
98,1
99,5
100,7
101,7
102,7
103,4
104,8
105,9
106,6
107,4
108,8
109,8
110,0
111,0
112,1
113,8
114,5
115,3
116,0
117,9
118,6
119,9
120,2
121,8
122,6
123,1
124,3
125,6
126,1
127,7
128,3
129,5
130,8
131,8
132,1
133,8
134,6
135,3
136,1
137,2
138,1
139,3
140,9
141,2
142,1
143,5
144,1
145,0
146,5
147,9
148,7
149,4
150,0
151,1
152,6
153,2
154,9
155,4
156,2
157,6
158,0
159,6
160,4
161,1
162,4
163,3
164,3
165,4
166,1
167,6
168,8
169,5
170,1
171,0
172,6
173,0
174,7
175,1
176,7
177,5
178,6
179,4
180,0
181,4
182,0
183,6
184,0
185,1
186,1
187,1
188,2
189,9
190,2
191,8
192,0
193,9
194,3
195,1
196,8
197,8
198,6
199,6
200,4
201,6
202,7
203,1
204,7
205,9
206,6
207,8
208,8
209,3
210,8
211,2
212,2
213,3
214,9
215,6
216,9
217,1
218,7
219,7
220,8
221,0
222,0
223,4
224,1
225,2
226,1
227,8
228,2
229,1
230,8
231,2
232,7
233,8
234,4
235,9
236,9
237,9
238,9
239,7
240,7
241,6
242,9
243,6
244,2
245,0
246,8
247,4
248,2
249,9
250,4
251,8
252,0
253,9
254,6
255,8
256,8
257,7
258,4
259,3
260,8
261,3
262,8
263,2
264,8
265,4
266,6
267,4
268,3
269,5
270,9
271,7
272,3
273,1
274,1
275,4
276,1
277,3
278,3
279,6
280,3
281,2
282,9
283,7
284,9
285,9
286,5
287,5
288,2
289,8
290,6
291,9
292,9
293,1
294,9
295,3
296,9
297,5
298,2
299,2
300,6
301,8
302,5
303,5
304,5
305,4
306,8
307,6
308,1
309,8
310,9
311,7
312,6
313,0
314,5
315,7
316,7
317,9
318,0
319,1
320,8
321,9
322,3
323,3
324,8
325,8
326,4
327,3
328,4
329,0
330,0
331,2
332,2
333,8
334,4
335,9
336,7
337,6
338,1
339,3
340,8
341,4
342,8
343,4
344,5
345,7
346,4
347,2
348,2
349,6
350,1
351,4
352,9
353,6
354,4
355,0
356,3
357,9
358,5
359,8
360,0
361,3
362,9
363,8
364,0
365,5
366,7
367,1
368,1
369,3
370,4
371,5
372,2
373,2
374,8
375,7
376,0
377,5
378,8
379,2
380,9
381,7
382,6
383,7
384,7
385,4
386,5
387,4
388,2
389,2
390,8
391,0
392,1
393,4
394,4
395,9
396,9
397,0
398,2
399,9
400,7
401,6
402,2
403,4
404,6
405,9
406,2
407,9
408,3
409,7
410,9
411,1
412,5
413,1
414,5
415,9
416,1
417,7
418,8
419,3
420,7
421,6
422,7
423,2
424,8
425,0
426,6
427,3
428,0
429,3
430,7
431,7
432,3
433,8
434,2
435,5
436,8
437,1
438,4
439,4
440,0
441,8
442,2
443,0
444,9
445,4
446,4
447,3
448,4
449,2
450,5
451,5
452,1
453,6
454,2
455,7
456,1
457,6
458,2
459,5
460,2
461,3
462,4
463,8
464,5
465,8
466,3
467,5
468,3
469,8
470,3
471,9
472,8
473,9
474,6
475,7
476,1
477,6
478,3
479,8
480,3
481,1
482,9
483,1
484,1
485,7
486,8
487,3
488,8
489,7
490,5
491,0
492,6
493,7
494,0
495,4
496,6
497,4
498,5
499,9
500,1
501,3
502,4
503,5
504,3
505,7
506,8
507,0
508,8
509,1
510,0
511,1
512,6
513,1
514,0
515,8
516,0
517,9
518,3
519,8
520,8
521,5
522,1
523,1
524,1
525,4
526,6
527,3
528,7
529,1
530,0
531,5
532,5
533,6
534,7
535,0
536,0
537,5
538,5
539,5
540,7
541,0
542,0
543,7
544,2
545,3
546,8
547,8
548,3
549,5
550,9
551,9
552,5
553,2
554,3
555,2
556,5
557,5
558,0
559,9
560,7
561,6
562,8
563,7
564,2
565,6
566,9
567,5
568,2
569,5
570,7
571,2
572,4
573,3
574,4
575,7
576,1
577,0
578,6
579,8
580,2
581,6
582,9
583,8
584,5
585,2
586,8
587,2
588,5
589,9
590,7
591,2
592,8
593,5
594,6
595,6
596,0
597,0
598,0
599,4
600,2
601,5
602,6
603,2
604,3
605,7
606,2
607,8
608,3
609,9
610,5
611,0
612,8
613,1
614,2
615,5
616,4
617,7
618,0
619,7
620,0
621,7
622,4
623,2
624,9
625,9
626,6
627,5
628,7
629,6
630,5
631,1
