task_id,task_community
0,5
1,3
2,5
3,0
4,0
5,2
6,6
7,6
8,0
9,4
10,5
11,0
12,4
13,0
14,5
15,6
16,4
17,4
18,5
19,4
20,4
21,1
22,2
23,2
24,3
25,5
26,3
27,3
28,5
29,1
30,1
31,1
32,5
33,3
34,4
35,2
36,1
37,2
38,0
39,4
40,4
41,1
42,1
43,3
44,4
45,3
46,3
47,6
48,4
49,5
50,1
51,3
52,1
53,5
54,4
55,2
56,0
57,2
58,1
59,3
60,0
61,3
62,2
63,0
64,5
65,1
66,3
67,4
68,0
69,5
70,3
71,3
72,2
73,0
74,0
75,6
76,6
77,3
78,1
79,1
80,2
81,3
82,4
83,2
84,4
85,4
86,3
87,4
88,2
89,2
90,2
91,1
92,3
93,1
94,4
95,1
96,5
97,1
98,1
99,4
100,1
101,3
102,1
103,3
104,1
105,3
106,1
107,2
108,0
109,5
110,1
111,2
112,4
113,3
114,6
115,4
116,1
117,4
118,3
119,0
120,0
121,3
122,2
123,3
124,1
125,4
126,1
127,6
128,3
129,6
130,2
131,4
132,6
133,4
134,0
135,2
136,0
137,2
138,2
139,1
140,3
141,6
142,2
143,4
144,5
145,0
146,6
147,1
148,5
149,4
150,6
151,4
152,1
153,6
154,2
155,1
156,2
157,4
158,1
159,1
160,2
161,0
162,3
163,5
164,0
165,2
166,0
167,1
168,5
169,1
170,6
171,1
172,6
173,4
174,0
175,0
176,2
177,6
178,6
179,1
180,5
181,2
182,0
183,3
184,4
185,6
186,6
187,6
188,3
189,4
190,1
191,6
192,3
193,4
194,0
195,4
196,0
197,3
198,1
199,1
200,0
201,6
202,4
203,5
204,1
205,1
206,5
207,0
208,2
209,2
210,0
211,2
212,4
213,3
214,6
215,6
216,5
217,2
218,3
219,1
220,1
221,3
222,3
223,5
224,5
225,0
226,2
227,3
228,5
229,1
230,6
231,6
232,2
233,6
234,4
235,0
236,5
237,5
238,5
239,4
240,1
241,6
242,4
243,3
244,4
245,4
246,4
247,2
248,5
249,1
250,3
251,5
252,1
253,3
254,1
255,0
256,0
257,2
258,6
259,2
260,4
261,1
262,3
263,1
264,4
265,1
266,5
267,4
268,4
269,2
270,2
271,4
272,3
273,1
274,0
275,5
276,1
277,0
278,4
279,4
280,2
281,2
282,6
283,1
284,6
285,1
286,3
287,4
288,4
289,2
290,2
291,5
292,2
293,4
294,2
295,1
296,1
297,6
298,3
299,0
300,5
301,2
302,5
303,6
304,3
305,3
306,0
307,0
308,6
309,6
310,0
311,1
312,3
313,3
314,3
315,5
316,0
317,5
318,2
319,6
320,3
321,5
322,1
323,5
324,3
325,6
326,2
327,6
328,1
329,1
330,0
331,3
332,5
333,5
334,6
335,1
336,2
337,2
338,0
339,0
340,1
341,1
342,1
343,4
344,0
345,0
346,5
347,1
348,2
349,0
350,4
351,4
352,1
353,2
354,3
355,5
356,6
357,6
358,2
359,2
360,5
361,5
362,5
363,0
364,3
365,4
366,6
367,5
368,2
369,5
370,4
371,6
372,5
373,3
