worker_id,worker_community
0,6
1,7
2,6
3,6
4,6
5,6
6,1
7,5
8,3
9,6
10,0
11,3
12,5
13,5
14,0
15,0
16,1
17,2
18,4
19,3
20,6
21,0
22,7
23,5
24,6
25,1
26,6
27,1
28,0
29,2
30,4
31,1
32,6
33,6
34,6
35,7
36,1
37,5
38,1
39,4
40,6
41,7
42,3
43,7
44,5
45,2
46,4
47,1
48,2
49,5
50,3
51,4
52,7
53,0
54,4
55,1
56,7
57,6
58,4
59,6
60,5
61,5
62,2
63,2
64,5
65,1
66,5
67,7
68,4
69,7
70,3
71,4
72,1
73,0
74,1
75,6
76,1
77,6
78,5
79,4
80,4
81,0
82,6
83,5
84,2
85,7
86,4
87,6
88,1
89,0
90,4
91,2
92,1
93,2
94,3
95,5
96,2
97,7
98,2
99,5
