task_id,truth
0,0
1,7
2,9
3,4
4,9
5,7
6,8
7,9
8,0
9,3
10,7
11,1
12,0
13,0
14,9
15,9
16,7
17,8
18,1
19,4
20,5
21,7
22,4
23,0
24,9
25,6
26,2
27,9
28,2
29,8
30,7
31,0
32,9
33,1
34,4
35,1
36,1
37,4
38,4
39,4
40,7
41,0
42,8
43,5
44,4
45,4
46,1
47,1
48,6
49,8
50,0
51,7
52,8
53,0
54,2
55,2
56,1
57,1
58,2
59,8
60,1
61,0
62,3
63,5
64,2
65,5
66,9
67,1
68,9
69,1
70,9
71,6
72,0
73,1
74,6
75,9
76,0
77,8
78,8
79,5
80,7
81,5
82,9
83,9
84,1
85,8
86,6
87,1
88,6
89,3
90,8
91,1
92,2
93,5
94,9
95,7
96,6
97,2
98,2
99,0
100,3
101,7
102,3
103,1
104,1
105,9
106,2
107,5
108,6
109,9
110,8
111,5
112,0
113,7
114,8
115,4
116,5
117,4
118,6
119,1
120,7
121,6
122,7
123,2
124,9
125,2
126,5
127,6
128,2
129,9
130,6
131,8
132,0
133,1
134,3
135,5
136,1
137,9
138,1
139,4
140,6
141,7
142,4
143,4
144,0
145,9
146,3
147,4
148,3
149,9
150,7
151,0
152,8
153,0
154,1
155,1
156,7
157,6
158,8
159,1
160,3
161,5
162,0
163,0
164,1
165,6
166,2
167,3
168,4
169,0
170,1
171,0
172,0
173,9
174,6
175,2
176,6
177,0
178,9
179,7
180,4
181,7
182,2
183,8
184,0
185,0
186,8
187,5
188,7
189,7
190,3
191,2
192,7
193,4
194,7
195,1
196,2
197,4
198,5
199,8
200,9
201,1
202,5
203,7
204,2
205,8
206,7
207,0
208,5
209,1
210,7
211,2
212,0
213,7
214,4
215,2
216,7
217,4
218,9
219,7
220,6
221,2
222,6
223,8
224,5
225,0
226,9
227,9
228,1
229,6
230,6
231,5
232,9
233,8
234,9
235,5
236,1
237,2
238,7
239,7
240,1
241,2
242,8
243,2
244,2
245,5
246,6
247,2
248,5
249,3
250,4
251,4
252,7
253,7
254,0
255,4
256,2
257,6
258,3
259,3
260,4
261,4
262,4
263,8
264,6
265,2
266,7
267,8
268,3
269,7
270,0
271,6
272,8
273,3
274,6
275,7
276,9
277,4
278,2
279,8
280,2
281,3
282,5
283,5
284,7
285,7
286,1
287,6
288,4
289,9
290,3
291,8
292,6
293,2
294,5
295,4
296,7
297,7
298,6
299,0
300,1
301,8
302,4
303,1
304,8
305,8
306,2
307,1
308,1
309,7
310,5
311,1
312,6
313,3
314,1
315,6
316,8
317,9
318,2
319,9
320,5
321,8
322,6
323,8
324,4
325,8
326,0
327,8
328,9
329,0
330,8
331,9
332,9
333,8
334,8
335,6
336,0
337,2
338,4
339,4
340,4
341,5
342,1
343,6
344,8
345,9
346,3
347,8
348,8
349,7
350,6
351,7
352,8
353,6
354,2
355,2
356,3
357,1
358,3
359,1
360,1
361,5
362,2
363,7
364,6
365,0
366,7
367,1
368,4
369,7
370,8
371,4
372,8
373,6
374,6
375,6
376,8
377,8
378,1
379,8
380,7
381,7
382,2
383,7
384,9
385,8
386,1
387,5
388,7
389,3
390,5
391,2
392,4
393,3
394,7
395,5
396,5
397,2
398,2
399,2
400,9
401,7
402,7
403,4
404,2
405,6
406,7
407,3
408,4
409,8
410,3
411,5
412,9
413,8
414,1
415,0
416,5
417,4
418,0
419,8
420,0
421,6
422,9
423,9
424,9
425,9
426,1
427,5
428,9
429,6
430,3
431,9
432,9
433,1
434,2
435,5
436,9
437,5
438,3
439,3
440,5
441,6
442,1
443,2
444,1
445,5
446,4
447,8
448,5
449,4
450,7
451,4
452,5
453,9
454,2
455,3
456,3
457,2
458,4
459,4
460,5
461,6
462,4
463,4
464,2
465,2
466,9
467,5
468,8
469,7
470,1
471,5
472,8
473,0
474,2
475,6
476,2
477,0
478,2
479,5
480,0
481,2
482,8
483,6
484,8
485,8
486,8
487,3
488,4
489,3
490,5
491,6
492,6
493,1
494,6
495,2
496,7
497,1
498,2
499,9
500,8
501,8
502,9
503,3
504,3
505,6
506,8
507,6
508,2
509,2
510,3
511,0
512,9
513,8
514,0
515,3
516,5
517,9
518,7
519,5
520,5
521,0
522,0
523,9
524,1
525,6
526,9
527,1
528,6
529,6
530,0
531,0
532,7
533,2
534,2
535,4
536,4
537,6
538,6
539,7
540,3
541,4
542,0
543,2
544,3
545,9
546,2
547,8
548,7
549,0
550,9
551,2
552,3
553,6
554,3
555,0
556,1
557,8
558,1
559,4
560,2
561,3
562,0
563,0
564,4
565,3
566,6
567,3
568,8
569,7
570,6
571,1
572,6
573,7
574,6
575,4
576,0
577,2
578,7
579,2
580,7
581,2
582,0
583,3
584,9
585,0
586,4
587,1
588,2
589,2
590,2
591,9
592,7
593,6
594,2
595,6
596,9
597,3
598,6
599,7
600,7
601,5
602,0
603,4
604,9
605,7
606,9
607,6
608,1
609,9
610,3
611,4
612,7
613,6
614,9
615,6
616,8
617,0
618,5
619,7
620,7
621,2
622,9
623,1
624,7
625,6
626,2
627,1
628,1
629,2
630,5
631,5
632,4
633,8
634,5
635,9
636,6
637,3
638,5
639,3
640,3
641,7
642,3
643,3
644,0
645,5
646,0
647,5
648,6
649,2
650,2
651,4
652,2
653,3
654,6
655,8
656,1
657,1
658,8
659,8
660,0
661,4
662,3
663,0
664,3
665,6
666,9
667,8
668,6
669,0
670,2
671,2
672,9
673,5
674,6
675,8
676,5
677,1
678,4
679,0
680,9
681,0
