task,worker,answer
0,35,9
0,9,9
0,8,5
0,82,9
0,90,6
0,59,8
0,65,5
0,83,9
1,39,7
1,15,0
1,66,8
1,82,0
1,95,0
1,50,0
1,51,0
2,63,2
2,32,8
2,91,1
2,97,2
2,23,2
2,2,2
2,90,4
3,2,1
3,59,4
3,87,3
3,44,5
3,40,6
3,82,8
3,95,6
3,80,6
4,18,3
4,31,1
4,41,1
4,20,1
4,50,3
4,43,1
4,29,0
4,38,7
5,23,9
5,15,7
5,72,2
5,85,6
5,4,7
5,19,7
5,12,0
5,21,7
6,54,3
6,23,6
6,45,4
6,53,4
6,67,4
6,59,4
6,9,4
6,28,6
7,11,7
7,30,3
7,44,7
7,55,7
7,0,7
7,32,7
7,15,7
7,58,0
8,16,9
8,34,4
8,14,0
8,1,3
8,72,5
8,11,9
8,52,7
8,3,9
9,63,8
9,25,3
9,58,3
9,50,8
9,17,8
9,12,3
9,70,4
9,85,3
10,19,5
10,69,3
10,73,8
10,13,8
10,43,2
10,81,8
10,44,8
10,86,8
11,61,8
11,47,8
11,24,8
11,73,8
11,21,8
11,56,8
11,46,8
11,50,7
12,81,8
12,98,8
12,30,6
12,89,8
12,2,8
12,56,8
12,68,8
13,19,8
13,47,8
13,64,8
13,66,8
13,30,8
13,56,8
13,48,8
14,39,6
14,33,6
14,61,8
14,78,8
14,95,6
14,55,6
14,62,7
14,67,6
15,81,2
15,52,5
15,22,2
15,4,4
15,8,2
15,53,6
15,17,1
15,82,8
16,96,5
16,7,6
16,45,1
16,9,0
16,92,0
16,86,8
16,60,1
16,2,0
17,97,1
17,24,8
17,30,8
17,94,1
17,67,1
17,48,4
17,12,1
18,63,1
18,18,3
18,14,1
18,68,2
18,50,7
18,17,0
18,78,1
18,15,1
19,37,6
19,50,3
19,77,4
19,30,0
19,94,7
19,79,3
19,64,7
19,98,7
20,41,7
20,51,5
20,8,7
20,10,1
20,68,7
20,18,8
20,49,7
20,66,7
21,65,7
21,49,7
21,67,2
21,23,7
21,3,7
21,70,2
21,7,7
21,36,7
22,59,5
22,71,5
22,90,8
22,7,5
22,49,4
22,23,2
22,83,0
22,38,0
23,2,1
23,61,1
23,76,9
23,60,2
23,36,8
23,11,7
23,69,0
23,99,9
24,69,1
24,99,8
24,16,1
24,4,2
24,9,6
24,26,3
24,79,1
24,76,1
25,36,6
25,21,3
25,23,1
25,48,7
25,47,0
25,53,0
25,19,1
25,84,1
26,79,9
26,43,7
26,89,9
26,6,6
26,52,0
26,10,7
26,65,9
27,99,6
27,51,8
27,41,3
27,49,6
27,55,6
27,34,6
27,22,1
27,50,6
28,9,2
28,15,2
28,29,0
28,85,1
28,24,1
28,46,2
28,93,2
28,60,2
29,81,2
29,54,1
29,62,7
29,1,2
29,60,2
29,83,3
29,68,2
29,4,2
30,26,4
30,76,9
30,14,0
30,84,0
30,9,4
30,68,0
30,32,0
31,77,7
31,63,7
31,30,7
31,27,7
31,37,7
31,38,7
31,16,1
32,4,1
32,8,2
32,48,6
32,45,1
32,37,6
32,29,4
32,11,6
32,14,6
33,16,0
33,44,4
33,4,4
33,27,4
33,93,3
33,19,4
33,15,9
33,17,8
34,30,6
34,63,1
34,99,7
34,94,4
34,70,9
34,25,1
34,62,7
34,12,2
35,25,5
35,22,0
35,60,1
35,23,4
35,94,4
35,7,4
35,67,4
35,95,4
36,55,5
36,37,4
36,99,4
36,30,7
36,51,4
36,3,8
36,23,4
36,38,9
37,82,7
37,99,8
37,13,8
37,67,8
37,76,8
37,26,8
37,32,9
37,8,3
38,67,0
38,79,8
38,0,0
38,53,0
38,21,0
38,6,2
38,90,0
38,74,9
39,95,6
39,85,9
39,0,9
39,16,4
39,11,2
39,3,9
39,55,9
39,10,2
40,45,0
40,98,0
40,42,6
40,88,7
40,94,0
40,13,0
40,84,7
40,14,4
41,69,5
41,41,8
41,57,5
41,53,3
41,17,6
41,55,5
41,80,5
41,76,8
42,2,2
42,86,5
42,80,1
42,98,2
42,0,2
42,37,2
42,49,6
42,43,2
43,47,9
43,26,7
43,99,0
43,96,6
43,48,1
43,36,8
43,20,7
44,77,6
44,69,4
44,18,3
44,2,6
44,41,3
44,43,1
44,28,5
44,8,3
45,65,8
45,84,8
45,29,8
45,22,7
45,83,8
45,91,5
45,20,7
45,50,1
46,47,3
46,75,3
46,21,1
46,71,0
46,32,3
46,80,0
46,52,3
46,38,7
47,1,1
47,42,5
47,53,2
47,80,2
47,70,5
47,5,4
47,14,4
47,7,4
48,44,2
48,62,3
48,87,3
48,20,9
48,75,3
48,60,9
48,13,7
48,78,2
49,53,6
49,33,1
49,18,0
49,62,1
49,22,1
49,13,1
49,74,1
50,52,7
50,34,0
50,68,0
50,1,0
50,64,1
50,22,1
50,55,5
50,42,1
51,71,6
51,36,2
51,49,6
51,76,6
51,55,6
51,78,6
51,64,6
51,35,1
52,46,0
52,64,6
52,58,8
52,2,6
52,13,6
52,20,1
52,16,1
52,77,6
53,20,6
53,61,7
53,73,9
53,5,6
53,2,9
53,84,3
53,3,5
54,78,9
54,73,9
54,99,9
54,7,9
54,62,7
54,96,8
54,60,8
54,19,9
55,59,0
55,19,7
55,69,7
55,76,5
55,94,0
55,26,1
55,50,2
55,8,0
56,77,2
56,88,4
56,27,2
56,31,7
56,28,2
56,50,2
56,51,2
57,49,7
57,67,8
57,56,8
57,4,8
57,46,8
57,54,2
57,30,5
57,44,8
58,45,4
58,53,2
58,93,2
58,2,7
58,42,2
58,46,4
58,27,2
58,67,2
59,68,4
59,44,5
59,10,0
59,16,8
59,38,1
59,11,0
59,74,2
59,48,0
60,39,5
60,93,5
60,41,3
60,44,3
60,16,5
60,29,1
60,21,8
61,33,9
61,84,2
61,27,9
61,87,4
61,11,1
61,28,0
61,13,9
61,99,3
62,25,1
62,92,8
62,89,0
62,76,0
62,99,3
62,16,0
62,40,5
62,56,0
63,49,5
63,87,5
63,41,5
63,23,6
63,75,7
63,40,5
63,60,0
