task_id,task_community
0,6
1,3
2,5
3,6
4,5
5,5
6,3
7,5
8,1
9,3
10,4
11,0
12,3
13,4
14,3
15,4
16,2
17,2
18,5
19,3
20,3
21,6
22,3
23,3
24,5
25,3
26,6
27,4
28,0
29,2
30,3
31,4
32,2
33,3
34,2
35,6
36,4
37,6
38,5
39,4
40,6
41,2
42,2
43,1
44,0
45,1
46,5
47,4
48,3
49,2
50,2
51,4
52,2
53,3
54,6
55,3
56,6
57,0
58,6
59,1
60,6
61,5
62,5
63,2
64,3
65,4
66,3
67,6
68,4
69,6
70,0
71,4
72,5
73,4
74,4
75,2
76,0
77,3
78,2
79,5
80,4
81,3
82,6
83,1
84,1
85,0
86,3
87,4
88,0
89,5
90,4
91,1
92,2
93,2
94,0
95,4
96,6
97,2
98,3
99,5
100,2
101,1
102,6
103,2
104,4
105,2
106,2
107,3
108,1
109,5
110,3
111,1
112,6
113,4
114,3
115,6
116,1
117,2
118,0
119,5
120,6
121,4
122,6
123,2
124,1
125,2
126,1
127,3
128,4
129,5
130,4
131,3
132,0
133,4
134,1
135,6
136,1
137,0
138,0
139,0
140,5
141,5
142,0
143,2
144,0
145,4
146,4
147,6
148,4
149,2
150,5
151,1
152,2
153,2
154,4
155,6
156,2
157,4
158,6
159,2
160,5
161,1
162,3
163,3
164,1
165,6
166,4
167,5
168,4
169,4
170,1
171,3
172,1
173,2
174,4
175,2
176,5
177,1
178,2
179,0
180,1
181,3
182,2
183,6
184,5
185,4
186,0
187,2
188,0
189,6
190,1
191,1
192,5
193,3
194,3
195,1
196,2
197,0
198,3
199,2
200,5
201,1
202,3
203,0
204,4
205,3
206,3
207,3
208,2
209,4
210,6
211,3
212,4
213,5
214,3
215,6
216,4
217,6
218,4
219,5
220,1
221,0
222,1
223,4
224,0
225,0
226,1
227,6
228,3
229,6
230,0
231,4
232,6
233,5
234,5
235,6
236,1
237,1
238,2
239,0
240,5
241,1
242,0
243,3
244,0
245,2
246,6
247,5
248,0
249,5
250,2
251,4
252,2
253,5
254,1
255,3
