worker_id,worker_community
0,4
1,7
2,2
3,6
4,2
5,4
6,0
7,3
8,3
9,7
10,4
11,4
12,0
13,5
14,4
15,3
16,7
17,1
18,1
19,0
20,6
21,3
22,3
23,6
24,7
25,3
26,7
27,5
28,3
29,6
30,4
31,3
32,4
33,4
34,5
35,3
36,3
37,7
38,0
39,1
40,4
41,7
42,3
43,3
44,5
45,0
46,2
47,5
48,7
49,4
50,5
51,0
52,6
53,3
54,4
55,4
56,7
57,7
58,2
59,4
60,1
61,7
62,3
63,3
64,4
65,6
66,6
67,5
68,6
69,3
70,7
71,3
72,0
73,6
74,1
75,7
76,1
77,3
78,0
79,1
80,7
81,0
82,1
83,5
84,0
85,7
86,5
87,1
88,2
89,5
90,7
91,6
92,4
93,1
94,3
95,3
96,7
97,0
98,0
99,0
100,7
101,4
102,0
103,1
104,2
105,5
106,5
107,6
108,6
109,0
110,4
111,3
112,2
113,0
114,5
115,0
116,3
117,3
118,2
119,3
120,3
121,3
122,0
123,5
124,2
125,7
126,7
127,7
128,0
129,3
130,3
131,3
132,6
133,2
134,1
135,7
136,5
137,4
138,7
139,7
140,3
141,1
142,4
143,3
144,6
145,5
146,2
147,7
148,4
149,7
150,2
151,4
152,3
153,4
154,0
155,6
156,4
157,6
158,0
159,0
160,2
161,0
162,1
163,1
164,4
165,2
166,6
167,1
168,5
169,7
170,7
171,5
172,0
173,7
174,0
175,4
176,0
177,1
178,1
179,4
180,5
181,7
182,2
183,5
184,2
185,4
186,6
187,1
188,4
189,4
190,4
191,5
192,1
193,6
194,2
195,7
196,2
197,5
198,0
199,4
200,7
201,2
202,1
203,3
204,5
205,2
206,5
207,5
208,2
209,4
210,2
211,6
212,6
213,0
214,3
215,7
216,6
217,7
218,6
219,5
220,6
221,3
222,5
223,5
224,7
225,6
226,7
227,1
228,3
229,1
230,5
231,1
232,5
233,0
234,2
235,3
236,2
237,7
238,2
239,4
240,0
241,0
242,6
243,7
244,3
245,6
246,7
247,4
248,4
249,7
250,5
251,3
252,4
253,5
254,0
255,5
256,0
257,4
258,7
259,7
260,1
261,5
262,2
263,6
264,1
265,7
266,4
267,6
268,4
269,3
270,5
271,6
272,1
273,2
274,1
275,4
276,3
277,6
278,1
279,7
280,6
281,7
282,1
283,2
284,7
285,3
286,5
287,3
288,5
289,5
290,3
291,4
292,1
293,5
294,7
295,1
296,0
297,0
298,0
299,2
300,2
301,3
302,7
303,1
304,0
305,5
306,1
307,2
308,4
309,1
310,2
311,4
312,1
313,2
314,6
315,7
316,1
317,5
318,0
319,3
320,1
321,3
322,7
323,3
324,3
325,3
326,0
327,4
328,0
329,7
330,3
331,3
332,4
333,2
334,0
335,2
336,7
337,1
338,1
339,7
340,7
341,3
342,7
343,6
344,5
345,4
346,6
347,1
348,7
349,1
350,3
351,1
352,6
353,7
354,0
355,1
356,6
357,7
358,3
359,4
360,5
361,5
362,4
363,5
364,5
365,1
366,7
367,5
368,5
369,2
370,3
371,4
372,2
373,7
374,3
375,0
376,3
377,5
378,3
379,1
380,2
381,6
382,0
383,6
384,1
385,0
386,6
387,1
388,6
389,2
390,1
391,2
392,4
393,0
394,6
395,2
396,4
397,6
398,4
399,2
400,6
401,4
402,4
403,2
404,6
405,2
406,6
407,6
408,7
409,1
410,6
411,0
412,7
413,1
414,6
415,1
416,3
417,4
418,3
419,5
420,2
421,3
422,2
423,7
424,7
425,1
426,3
427,0
428,4
429,3
430,4
431,1
432,2
433,0
434,7
435,7
436,3
437,6
438,0
439,5
440,7
441,3
442,5
443,6
444,3
445,7
446,3
447,0
448,1
449,2
450,3
451,7
452,0
453,6
454,6
455,4
456,0
457,5
458,0
459,4
460,1
461,5
462,7
463,3
464,7
465,7
466,4
467,2
468,0
469,3
470,5
471,2
472,4
473,2
474,3
475,7
476,1
477,4
478,7
479,5
480,2
481,6
482,7
483,4
484,1
485,6
486,6
487,0
488,6
489,3
490,3
491,7
492,1
493,5
494,3
495,7
496,7
497,0
498,5
499,6
