task,worker,answer
0,305,14
0,71,2
0,48,14
0,179,14
0,412,14
0,371,7
0,28,12
0,93,0
0,79,14
0,213,10
0,430,14
0,438,7
0,12,0
0,69,14
0,109,10
1,392,13
1,315,7
1,455,10
1,29,10
1,432,10
1,219,10
1,435,10
1,182,0
1,162,11
1,365,2
1,422,4
1,284,3
1,416,4
1,310,10
1,359,10
2,426,7
2,491,13
2,73,4
2,133,1
2,146,13
2,192,4
2,364,6
2,217,13
2,459,13
2,415,6
2,432,13
2,113,4
2,355,11
2,185,7
3,457,11
3,204,11
3,438,3
3,443,4
3,315,3
3,307,2
3,32,13
3,26,1
3,279,3
3,87,2
3,131,13
3,486,11
3,333,11
3,445,14
3,278,11
4,64,14
4,479,12
4,10,14
4,167,14
4,102,4
4,453,14
4,310,14
4,298,10
4,192,14
4,300,13
4,354,14
4,359,10
4,387,14
4,213,11
4,110,14
5,275,1
5,200,9
5,118,3
5,151,5
5,50,3
5,446,13
5,286,3
5,15,9
5,20,3
5,232,3
5,269,10
5,248,7
5,182,3
5,58,8
5,480,6
6,103,2
6,283,9
6,57,2
6,360,9
6,76,2
6,22,8
6,452,2
6,442,8
6,195,0
6,213,13
6,409,13
6,83,2
6,108,2
6,290,2
6,201,6
7,169,4
7,93,4
7,193,4
7,198,4
7,37,14
7,472,4
7,63,4
7,217,10
7,126,2
7,131,13
7,420,4
7,145,4
7,389,2
7,321,9
7,206,4
8,240,12
8,346,6
8,350,6
8,425,3
8,54,6
8,412,1
8,51,11
8,30,6
8,264,3
8,161,8
8,66,6
8,467,6
8,32,8
8,293,6
8,328,6
9,177,10
9,178,10
9,129,10
9,8,8
9,255,4
9,472,10
9,286,10
9,79,10
9,140,10
9,49,10
9,135,10
9,335,10
9,210,0
9,203,0
10,230,8
10,257,4
10,137,14
10,275,8
10,147,8
10,28,8
10,114,1
10,449,8
10,140,10
10,50,6
10,271,12
10,253,14
10,261,4
10,282,3
11,208,14
11,355,7
11,3,14
11,86,13
11,467,3
11,227,14
11,8,10
11,201,14
11,36,14
11,367,8
11,429,8
11,332,13
11,94,5
11,95,7
11,112,3
12,282,13
12,422,13
12,121,8
12,241,9
12,158,13
12,162,4
12,133,6
12,264,13
12,284,14
12,438,13
12,471,7
12,30,0
12,21,10
12,402,13
13,69,1
13,178,14
13,88,7
13,75,8
13,221,1
13,487,3
13,251,1
13,229,1
13,489,6
13,344,8
13,301,11
13,437,1
13,363,10
13,364,9
13,84,9
14,43,5
14,13,6
14,208,5
14,73,3
14,248,6
14,113,5
14,462,5
14,485,0
14,238,11
14,171,5
14,143,5
14,8,11
14,6,0
14,327,5
14,163,6
15,88,13
15,431,6
15,443,3
15,285,8
15,217,3
15,329,8
15,90,6
15,232,4
15,486,6
15,458,11
15,251,3
15,372,8
15,468,9
15,270,7
15,499,8
16,141,10
16,79,10
16,478,11
16,273,10
16,213,0
16,288,1
16,265,8
16,127,10
16,87,3
16,318,10
16,236,11
16,70,0
16,200,7
16,102,4
16,279,10
17,478,8
17,8,7
17,476,11
17,407,11
17,146,13
17,276,4
17,59,11
17,89,0
17,53,11
17,151,11
17,431,10
17,193,5
17,369,11
17,314,11
17,414,11
18,442,0
18,345,4
18,495,2
18,196,9
18,491,1
18,206,4
18,463,4
18,361,4
18,183,10
18,499,5
18,487,14
18,316,4
18,465,5
18,230,4
18,273,4
19,248,0
19,38,0
19,56,13
19,40,5
19,370,0
19,429,0
19,415,0
19,255,11
19,455,0
19,87,4
19,406,0
19,158,4
19,341,0
19,229,4
19,366,0
20,118,8
20,236,1
20,103,12
20,351,13
20,330,12
20,151,4
20,417,6
20,274,12
20,134,5
20,443,8
20,386,14
20,76,1
20,289,5
20,149,3
20,498,0
21,459,10
21,123,13
21,57,13
21,313,13
21,241,10
21,479,4
21,496,13
21,34,13
21,425,6
21,395,13
21,33,13
21,192,13
21,426,13
21,320,12
21,417,12
22,309,7
22,106,5
22,345,0
22,391,5
22,4,7
22,151,8
22,320,3
22,203,5
22,98,5
22,124,5
22,413,4
22,362,7
22,278,5
22,273,1
22,400,7
23,214,7
23,32,13
23,76,7
23,257,7
23,242,7
23,96,1
23,99,7
23,481,10
23,174,7
23,295,5
23,130,12
23,372,2
23,236,7
23,494,1
24,469,4
24,445,4
24,37,4
24,272,4
24,289,14
24,36,4
24,76,0
24,40,14
24,186,12
24,75,4
24,318,4
24,207,4
24,327,11
24,89,4
24,22,4
25,497,3
25,60,4
25,393,2
25,270,3
