num_task,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
500,0.7701,0.0006677900000000006,0.7699999999999999,0.0006732000000000008,0.7748999999999999,0.0007309900000000008,0.7763,0.0008201100000000004
1000,0.76895,0.0005610475000000006,0.7723500000000001,0.0006367275000000001,0.7739499999999999,0.0007660475000000003,0.779,0.0007982
1500,0.7686666666666666,0.00022017777777777765,0.7690333333333335,0.000243932222222222,0.7804666666666666,0.00035156000000000044,0.7846333333333333,0.0003512211111111111
2000,0.7671,0.00017156500000000018,0.7687,0.00025023499999999986,0.7797,0.00026523499999999995,0.78255,0.00029837249999999994
2500,0.7688999999999999,0.0004194220000000008,0.77882,0.0006457036,0.7828999999999999,0.0005086860000000002,0.78572,0.0004845935999999996
3000,0.7749666666666666,0.00032508777777777757,0.7847166666666666,0.00023730305555555567,0.7851833333333335,0.000242805277777778,0.7882833333333334,0.00024398083333333347
3500,0.7901142857142858,0.00042555428571428554,0.7966714285714286,0.00044380632653061227,0.7951857142857143,0.0004381900000000003,0.7981857142857144,0.0004285328571428568
4000,0.7842,0.00030426000000000026,0.7891625,0.0002927892187499999,0.7877624999999999,0.0003163404687499996,0.7906000000000001,0.0003110150000000001
4500,0.7919444444444445,0.00038359938271604916,0.7969333333333333,0.0004115832098765433,0.7948444444444445,0.0004160572839506171,0.7977555555555556,0.00043423654320987623
5000,0.78997,0.00031653709999999996,0.7939700000000001,0.00031389309999999996,0.79236,0.00028946239999999974,0.79566,0.0002938803999999998
