task_id,task_community
0,0
1,1
2,3
3,3
4,4
5,0
6,1
7,1
8,2
9,5
10,5
11,5
12,3
13,2
14,6
15,5
16,1
17,1
18,3
19,3
20,3
21,6
22,3
23,2
24,0
25,0
26,1
27,3
28,3
29,4
30,6
31,6
32,3
33,5
34,1
35,4
36,2
37,3
38,3
39,6
40,1
41,3
42,1
43,6
44,6
45,2
46,3
47,3
48,2
49,4
50,6
51,1
52,4
53,1
54,6
55,0
56,3
57,5
58,4
59,0
60,1
61,6
62,0
63,4
64,2
65,6
66,4
67,5
68,6
69,0
70,3
71,3
72,3
73,0
74,1
75,0
76,1
77,5
78,3
79,5
80,1
81,1
82,2
83,1
84,4
85,1
86,2
87,0
88,4
89,4
90,1
91,2
92,4
93,6
94,3
95,0
96,0
97,0
98,4
99,6
100,6
101,5
102,1
103,3
104,3
105,5
106,1
107,1
108,5
109,5
110,5
111,1
112,3
113,0
114,4
115,0
116,0
117,2
118,3
119,0
120,3
121,6
122,1
123,5
124,0
125,5
126,3
127,0
128,5
129,2
130,4
131,6
132,4
133,6
134,2
135,3
136,0
137,0
138,2
139,2
140,4
141,1
142,3
143,5
144,0
145,1
146,1
147,1
148,5
149,5
150,1
151,4
152,6
153,1
154,1
155,3
156,4
157,5
158,4
159,1
160,2
161,3
162,0
163,2
164,6
165,2
166,4
167,0
168,1
169,4
170,1
171,3
172,2
173,0
174,0
175,2
176,5
177,5
178,6
179,5
180,4
181,0
182,5
183,4
184,2
185,5
186,1
187,4
188,1
189,6
190,5
191,6
192,0
193,0
194,0
195,1
196,2
197,0
198,6
199,6
200,3
201,4
202,1
203,2
204,5
205,1
206,0
207,1
208,3
209,6
210,3
211,0
212,4
213,6
214,4
215,0
216,1
217,0
218,2
219,5
220,6
221,1
222,3
223,6
224,0
225,0
226,0
227,5
228,0
229,4
230,0
231,3
232,6
233,3
234,6
235,1
236,6
237,1
238,3
239,4
240,4
241,1
242,1
243,6
244,5
245,4
246,1
247,3
248,5
249,1
250,3
251,5
252,5
253,0
254,5
255,3
256,1
257,5
258,5
259,0
260,0
261,2
262,5
263,1
264,3
265,1
266,0
267,5
268,3
269,1
270,4
271,3
272,0
273,2
274,3
275,5
276,3
277,3
278,0
279,5
280,2
281,1
282,5
283,4
284,0
285,6
286,5
287,6
288,1
289,6
290,0
291,4
292,1
293,1
294,4
295,5
296,4
297,1
298,2
299,1
300,6
301,3
302,0
303,2
304,3
305,3
306,6
307,1
308,6
309,5
310,3
311,0
312,4
313,2
314,5
315,3
316,4
317,4
318,2
319,0
320,3
321,2
322,1
323,3
324,5
325,4
326,6
327,3
328,3
329,6
330,6
331,2
332,6
333,5
334,3
335,2
336,3
337,0
338,4
339,6
340,5
341,1
342,1
343,2
344,1
345,6
346,3
347,2
348,6
349,4
350,2
351,3
352,2
353,6
354,1
355,2
356,2
357,0
358,5
359,6
360,6
361,6
362,0
363,1
364,2
365,4
366,3
367,3
368,6
369,1
370,0
371,6
372,2
373,2
374,0
375,5
376,4
377,3
378,5
379,5
380,1
381,1
382,4
383,0
384,1
385,5
386,3
387,1
388,6
389,5
390,3
391,3
392,1
393,3
394,3
395,6
396,3
397,1
398,3
399,6
400,1
401,0
402,4
403,5
404,2
405,1
406,2
407,6
408,4
409,5
410,4
411,5
412,1
413,5
414,1
415,3
416,6
417,3
418,3
419,3
420,5
421,3
422,3
423,1
424,3
425,1
426,5
427,2
428,5
429,1
430,0
431,3
432,1
433,6
434,6
435,3
436,4
437,3
438,0
439,6
440,5
441,0
442,0
443,2
444,6
445,4
446,2
447,0
448,2
449,5
450,4
451,0
452,5
453,0
454,5
455,3
456,3
457,0
458,5
459,2
460,0
461,2
462,5
463,5
464,0
465,6
466,2
467,1
468,2
469,0
470,1
471,3
472,4
473,1
474,4
475,3
476,4
477,5
478,0
479,0
480,2
481,5
482,6
483,2
484,5
485,6
486,3
487,6
488,3
489,1
490,6
491,2
492,1
493,4
494,3
495,4
496,6
497,3
498,5
499,6
500,5
501,2
502,6
503,1
504,0
505,5
506,0
507,5
508,0
509,4
510,4
511,4
512,6
513,5
514,3
515,0
516,6
517,1
518,2
519,6
520,1
521,1
522,1
523,1
524,4
525,5
526,1
527,5
528,0
529,1
530,0
531,6
532,0
533,2
534,1
535,2
536,0
537,3
538,0
539,5
540,3
541,5
542,4
543,0
544,4
545,3
546,5
547,4
548,3
549,1
550,4
551,4
552,0
553,3
554,3
555,1
556,4
557,5
558,2
559,2
560,2
561,5
562,2
563,6
564,5
565,0
566,2
567,2
568,1
569,4
570,6
571,3
572,2
573,3
574,4
575,1
576,4
577,3
578,0
579,6
580,0
581,1
582,0
583,1
584,4
585,1
586,5
587,4
588,6
589,3
590,4
591,1
592,2
593,1
594,0
595,4
596,5
597,5
598,6
599,6
600,4
601,5
602,0
603,2
604,4
605,4
606,2
607,1
608,0
609,5
610,2
611,4
612,5
613,3
614,6
615,1
616,6
617,0
618,2
619,4
620,6
621,4
622,1
623,6
624,6
625,5
626,0
627,1
628,1
629,5
630,4
631,6
632,5
633,0
634,6
635,6
636,2
637,1
638,5
639,6
640,3
641,0
642,3
643,6
644,4
645,5
646,0
647,2
648,1
649,2
650,6
651,5
652,0
653,6
654,1
655,1
656,3
657,3
658,1
659,0
660,1
661,5
662,4
663,3
664,0
665,1
666,4
667,0
668,4
669,4
670,4
671,4
672,5
673,3
674,2
675,4
676,2
677,2
678,6
679,6
680,5
681,0
682,6
683,1
684,0
685,0
686,5
687,5
688,0
689,1
690,4
691,4
692,0
693,5
694,1
695,2
696,3
697,3
698,6
699,0
700,1
701,0
702,5
703,4
704,3
705,6
706,4
707,6
708,4
709,3
710,6
711,5
712,2
713,4
714,1
715,3
716,5
717,1
718,3
719,4
720,1
721,5
722,0
723,1
724,6
725,5
726,4
727,3
728,0
729,5
730,2
731,2
732,3
733,1
734,3
735,6
736,5
737,3
738,3
739,3
740,5
741,3
742,4
743,0
744,0
745,0
746,4
747,4
748,3
749,1
750,1
751,5
752,5
753,2
754,2
755,1
756,1
757,6
758,3
759,4
760,1
761,1
762,0
763,1
764,6
765,1
766,1
767,6
768,4
769,2
770,5
771,6
772,0
773,6
774,4
775,2
776,5
777,0
778,1
779,4
780,0
781,0
782,5
783,1
784,1
785,3
786,5
787,0
788,4
789,2
790,6
791,5
792,5
793,1
794,5
795,3
796,0
797,5
798,1
799,1
800,5
801,3
802,4
803,5
804,1
805,6
806,5
807,0
808,5
809,1
810,0
811,1
812,6
813,5
814,6
815,5
816,3
817,4
818,5
819,4
820,3
821,0
822,5
823,2
824,5
825,3
826,3
827,1
828,6
829,0
830,5
831,0
832,2
833,5
834,6
835,5
836,4
837,6
838,1
839,4
840,6
841,5
842,0
843,4
844,2
845,4
846,0
847,1
848,2
849,3
850,0
851,0
852,5
853,4
854,0
855,1
856,4
857,4
858,6
859,2
860,2
861,3
862,0
863,3
864,3
865,3
866,6
867,5
868,6
869,1
870,2
871,1
872,4
873,4
874,2
875,1
876,0
877,4
878,2
879,3
880,5
881,5
882,6
883,2
884,3
885,2
886,5
887,6
888,6
889,2
890,6
891,2
892,1
893,4
894,3
895,0
896,4
897,4
898,1
899,2
900,2
901,2
902,3
903,1
904,1
905,1
906,2
907,5
908,5
909,4
910,5
911,6
912,6
913,5
914,0
915,3
916,2
917,2
918,3
919,0
920,5
921,0
922,1
923,6
924,4
925,0
926,6
927,6
928,0
929,0
930,3
931,2
932,1
933,5
934,6
935,5
936,1
937,2
938,0
939,4
940,5
941,4
942,4
943,4
944,3
945,6
946,3
947,0
948,6
949,5
950,0
951,2
952,5
953,2
954,5
955,0
956,1
957,5
958,5
959,2
960,4
961,6
962,0
963,4
964,5
965,4
966,5
967,6
968,5
969,5
970,5
971,4
972,1
973,3
974,6
975,6
976,1
977,6
978,2
979,6
980,2
981,0
982,4
983,2
984,0
985,1
986,6
987,4
988,2
989,5
990,2
991,5
992,1
993,2
994,5
995,1
996,0
997,4
998,1
999,0
1000,1
1001,2
1002,5
1003,6
1004,0
1005,2
1006,0
1007,6
1008,5
1009,5
1010,2
1011,0
1012,4
1013,3
1014,3
1015,1
1016,3
1017,1
1018,3
1019,4
1020,5
1021,5
1022,1
1023,3
1024,2
1025,4
1026,1
1027,5
1028,6
1029,0
1030,6
1031,0
1032,3
1033,1
1034,3
1035,2
1036,2
1037,5
1038,3
1039,1
1040,3
1041,2
1042,4
1043,2
1044,6
1045,5
1046,3
1047,3
1048,4
1049,1
1050,5
1051,5
1052,6
1053,3
1054,2
1055,4
1056,6
1057,0
1058,6
1059,3
