worker_id,worker_community
0,7
1,0
2,6
3,4
4,1
5,1
6,4
7,2
8,6
9,2
10,3
11,4
12,5
13,7
14,4
15,0
16,4
17,6
18,3
19,6
20,3
21,3
22,5
23,0
24,4
25,7
26,4
27,4
28,7
29,7
30,7
31,7
32,0
33,3
34,7
35,5
36,0
37,3
38,7
39,4
40,3
41,4
42,1
43,3
44,7
45,3
46,1
47,2
48,5
49,6
50,6
51,7
52,2
53,7
54,6
55,2
56,4
57,6
58,0
59,6
60,4
61,3
62,4
63,3
64,7
65,4
66,2
67,0
68,1
69,5
70,1
71,7
72,5
73,7
74,6
75,5
76,4
77,3
78,5
79,0
80,1
81,0
82,2
83,1
84,2
85,3
86,2
87,1
88,3
89,6
90,1
91,3
92,5
93,2
94,3
95,7
96,7
97,2
98,7
99,0
