task_id,truth
0,7
1,0
2,3
3,8
4,1
5,3
6,1
7,1
8,1
9,1
10,4
11,3
12,6
13,1
14,9
15,9
16,3
17,1
18,9
19,3
20,4
21,0
22,7
23,6
24,8
25,7
26,1
27,1
28,3
29,9
30,8
31,7
32,0
33,5
34,4
35,8
36,5
37,1
38,7
39,2
40,1
41,0
42,1
43,4
44,7
45,3
46,9
47,7
48,5
49,2
50,1
51,0
52,3
53,1
54,9
55,4
56,4
57,6
58,2
59,0
60,2
61,6
62,1
63,0
64,1
65,2
66,5
67,4
68,6
69,1
70,4
71,5
72,3
73,1
74,1
75,9
76,2
77,7
78,6
79,9
80,8
81,2
82,7
83,0
84,0
85,5
86,4
87,0
88,6
89,7
90,9
91,5
92,7
93,3
94,7
95,7
96,7
97,5
98,3
99,1
100,4
101,2
102,5
103,3
104,6
105,9
106,0
107,0
108,8
109,8
110,5
111,7
112,7
113,9
114,8
115,2
116,6
117,5
118,1
119,7
120,3
121,1
122,1
123,7
124,3
125,8
126,0
127,0
128,8
129,5
130,1
131,8
132,6
133,5
134,8
135,9
136,4
137,4
138,4
139,3
140,4
141,6
142,3
143,6
144,2
145,0
146,6
147,6
148,3
149,0
150,5
151,9
152,1
153,4
154,2
155,6
156,0
157,4
158,1
159,2
160,8
161,3
162,0
163,5
164,3
165,6
166,0
167,0
168,7
169,6
170,9
171,3
172,2
173,7
174,2
175,5
176,9
177,8
178,7
179,3
180,0
181,5
182,0
183,3
184,9
185,6
186,1
187,3
188,4
189,7
190,8
191,8
192,2
193,1
194,9
195,1
196,7
197,5
198,6
199,3
200,1
201,2
202,7
203,7
204,2
205,6
206,9
207,0
208,1
209,9
210,8
211,3
212,7
213,3
214,8
215,4
216,7
217,0
218,2
219,8
220,3
221,7
222,8
223,1
224,4
225,0
226,2
227,3
228,9
229,4
230,6
231,8
232,0
233,6
234,8
235,8
236,1
237,8
238,7
239,4
240,2
241,0
242,4
243,5
244,5
245,3
246,7
247,5
248,2
249,3
250,2
251,6
252,0
253,0
254,1
255,3
256,5
257,3
258,9
259,0
260,8
261,4
262,3
263,6
264,4
265,4
266,6
267,3
268,2
269,2
270,3
271,6
272,3
273,7
274,1
275,2
276,9
277,2
278,2
279,4
280,2
281,0
282,9
283,0
284,7
285,9
286,8
287,6
288,2
289,7
290,4
291,8
292,3
293,2
294,2
295,7
296,4
297,4
298,2
299,9
300,4
301,6
302,5
303,0
304,7
305,8
306,8
307,6
308,2
309,5
310,3
311,0
312,2
313,4
314,5
315,7
316,6
317,0
318,2
319,9
320,6
321,7
322,7
323,6
324,5
325,7
326,9
327,3
328,0
329,7
330,2
331,5
332,3
333,0
334,3
335,3
336,3
337,8
338,9
339,3
340,6
341,7
342,5
343,8
344,4
345,3
346,7
347,1
348,2
349,2
350,9
351,9
352,8
353,0
354,9
355,0
356,4
357,2
358,9
359,4
360,9
361,7
362,5
363,7
364,4
365,6
366,2
367,3
368,2
369,1
370,6
371,0
372,0
373,9
374,3
375,7
376,7
377,1
378,1
379,2
380,3
381,6
382,5
383,1
384,0
385,1
386,1
387,6
388,1
389,9
390,6
391,9
392,4
393,6
394,9
395,2
396,3
397,9
398,3
399,9
400,8
401,5
402,1
403,1
404,1
405,3
406,5
407,2
408,5
409,7
410,6
411,9
412,3
413,5
414,0
415,0
416,0
417,2
418,3
419,0
420,9
421,9
422,2
423,0
424,6
425,7
426,9
427,4
428,1
429,8
430,5
431,1
432,1
433,4
434,3
435,5
436,1
437,3
438,5
439,6
440,8
441,4
442,1
443,0
444,5
445,8
446,8
447,7
448,7
449,2
450,4
451,6
452,7
453,7
454,1
455,9
456,9
457,8
458,4
459,9
460,9
461,4
462,0
463,7
464,1
465,1
466,8
467,4
468,3
469,2
470,6
471,2
472,3
473,1
474,3
475,2
476,5
477,8
478,1
479,5
480,8
481,8
482,0
483,3
484,0
485,6
486,7
487,5
488,9
489,0
490,3
491,1
492,4
493,0
494,1
495,4
496,0
497,9
498,3
499,1
500,5
501,3
502,1
503,6
504,9
505,7
506,7
507,8
508,1
509,2
510,1
511,6
512,5
513,7
514,6
515,6
516,0
517,5
518,0
519,0
520,2
521,2
522,4
523,8
524,9
525,3
526,3
527,8
528,5
529,4
530,3
531,9
532,5
533,2
534,6
535,0
536,5
537,4
538,1
539,9
540,9
541,2
542,3
543,1
544,8
545,5
546,3
547,7
548,3
549,3
550,9
551,0
552,4
553,7
554,5
555,4
556,1
557,7
558,5
559,0
560,7
561,2
562,5
563,6
564,8
565,3
566,3
567,5
568,0
569,4
570,7
571,5
572,5
573,0
574,1
575,5
576,1
577,1
578,5
579,0
580,7
581,1
582,2
583,9
584,2
585,5
586,7
587,1
588,5
589,6
590,8
591,9
592,6
593,5
594,8
595,5
596,9
597,7
598,6
599,7
600,0
601,5
602,9
603,4
604,1
605,7
606,5
607,6
608,4
609,4
610,0
611,4
612,9
613,9
614,9
615,5
616,8
617,3
618,5
619,6
620,0
621,0
622,4
623,6
624,7
625,6
626,2
627,7
628,4
629,8
630,7
631,2
632,7
633,7
634,1
635,8
636,1
637,0
638,4
639,1
640,3
641,3
642,1
643,4
644,5
645,6
646,4
647,0
648,9
649,9
650,9
651,0
652,6
653,3
654,0
655,9
656,9
657,8
658,9
659,7
660,7
661,7
662,5
663,6
664,3
665,5
666,1
667,7
668,8
669,3
670,6
671,2
672,7
673,2
674,1
675,3
676,2
677,0
678,2
679,5
680,5
681,0
682,6
683,1
684,1
685,8
686,5
687,3
688,5
689,7
690,0
691,2
692,3
693,1
694,9
695,5
696,8
697,2
698,7
699,3
700,3
701,5
702,4
703,2
704,4
705,9
706,7
707,2
708,2
709,9
710,3
711,1
712,3
713,2
714,4
715,4
716,4
717,9
718,5
719,3
720,3
721,6
722,3
723,4
724,4
725,7
726,2
727,1
728,2
729,8
730,2
731,4
732,6
733,1
734,6
735,8
736,0
737,4
738,8
739,9
740,8
741,7
742,8
743,6
744,6
745,0
746,0
747,2
748,1
749,5
750,4
751,8
752,4
753,2
754,7
755,7
756,0
757,8
758,9
759,2
760,7
761,0
762,3
763,2
764,8
765,1
766,6
767,5
768,2
769,0
770,5
771,4
772,9
773,6
774,8
775,6
776,6
777,3
778,9
779,3
780,0
781,1
782,7
783,1
784,4
785,5
786,6
787,1
788,7
789,1
790,7
791,5
792,8
793,6
794,5
795,8
796,6
797,2
798,0
799,8
800,9
801,6
802,1
803,4
804,8
805,1
806,0
807,5
808,5
809,7
810,4
811,3
812,6
813,5
814,2
815,5
816,8
817,5
818,5
819,1
820,2
821,8
822,0
823,3
824,6
825,9
826,0
827,2
828,0
829,8
830,1
831,8
832,0
833,1
834,8
835,3
836,7
837,9
838,7
839,0
840,3
841,0
842,5
843,9
844,3
845,2
846,2
847,1
848,8
849,1
850,8
851,1
852,1
853,6
854,9
855,5
856,0
857,5
858,1
859,4
860,7
861,5
862,3
863,2
864,8
865,0
866,4
867,1
868,9
869,3
870,8
871,6
872,0
873,3
874,5
875,6
876,6
877,2
878,5
879,9
880,8
881,0
882,0
883,8
884,5
885,7
886,2
887,6
888,2
889,6
890,6
891,2
892,3
893,1
894,2
895,4
896,9
897,2
898,2
899,0
900,8
901,1
902,4
903,3
904,9
905,1
906,8
907,2
908,4
909,8
910,7
911,5
912,3
913,3
914,2
915,6
916,7
917,0
918,3
919,5
920,7
921,4
922,3
923,8
924,5
925,9
926,3
927,5
928,4
929,8
930,7
931,9
932,7
933,0
934,8
935,6
936,3
937,6
938,8
939,3
940,3
941,4
942,0
943,7
944,1
945,5
946,8
947,6
948,0
949,4
950,2
951,5
952,6
953,8
954,4
955,2
956,1
957,8
958,6
959,8
960,6
961,7
962,7
963,8
964,8
965,2
966,2
967,5
968,7
969,7
970,8
971,9
972,8
973,4
974,9
975,5
976,0
977,6
978,4
979,7
980,3
981,2
982,9
983,0
984,3
985,7
986,9
987,6
988,0
989,5
990,2
991,2
992,7
993,9
994,3
995,9
996,5
997,8
998,4
999,5
1000,2
1001,4
1002,7
1003,4
1004,9
1005,5
1006,0
1007,7
1008,9
1009,2
1010,2
1011,3
1012,4
1013,0
1014,1
1015,8
1016,1
1017,6
1018,0
1019,7
1020,2
1021,5
1022,5
1023,1
1024,7
1025,3
1026,4
1027,7
1028,9
1029,7
1030,2
1031,6
1032,5
1033,4
1034,9
1035,3
1036,1
1037,1
1038,5
1039,1
1040,4
1041,9
1042,8
1043,8
1044,2
1045,7
1046,0
1047,9
1048,8
1049,2
1050,4
1051,8
1052,6
1053,3
1054,8
1055,0
1056,6
1057,9
1058,1
1059,3
1060,4
1061,8
1062,9
1063,2
1064,2
1065,8
1066,3
1067,9
1068,8
1069,7
1070,5
1071,0
1072,4
1073,9
1074,2
1075,8
1076,9
1077,1
1078,3
1079,0
1080,2
1081,7
1082,6
1083,4
1084,3
1085,7
1086,2
1087,7
1088,7
1089,9
1090,8
1091,5
1092,9
1093,0
1094,5
1095,1
1096,8
1097,1
1098,5
1099,2
1100,0
1101,2
1102,7
1103,0
1104,2
1105,0
1106,1
1107,4
1108,3
1109,8
1110,4
1111,0
1112,0
1113,6
1114,2
1115,2
1116,6
1117,3
1118,9
1119,5
1120,1
1121,8
1122,6
1123,7
1124,5
1125,7
1126,6
1127,1
1128,2
1129,1
1130,7
1131,8
1132,5
1133,9
1134,4
1135,5
1136,8
1137,5
1138,7
1139,6
1140,7
1141,6
1142,9
1143,3
1144,0
1145,2
1146,8
1147,3
1148,5
1149,2
1150,5
1151,1
1152,2
1153,3
1154,0
1155,7
1156,5
1157,5
1158,2
1159,7
1160,8
1161,0
1162,0
1163,9
1164,4
1165,8
1166,0
1167,1
1168,7
1169,6
1170,6
1171,4
1172,8
1173,6
1174,1
1175,2
1176,5
1177,4
1178,3
1179,9
1180,5
1181,2
1182,2
1183,0
1184,7
1185,1
1186,1
1187,7
1188,1
1189,3
1190,4
1191,9
1192,0
1193,2
1194,2
1195,1
1196,5
1197,6
1198,9
1199,7
1200,9
1201,4
1202,9
1203,1
1204,3
1205,2
1206,9
1207,0
1208,7
1209,9
1210,4
1211,4
1212,1
1213,4
1214,4
1215,6
1216,8
1217,5
1218,8
1219,8
1220,0
1221,7
1222,6
1223,7
1224,8
1225,7
1226,5
1227,0
1228,4
1229,6
1230,6
1231,7
1232,8
1233,2
1234,2
1235,8
1236,7
1237,8
1238,7
1239,6
1240,1
1241,3
1242,9
1243,0
1244,3
1245,6
1246,0
1247,1
1248,4
1249,7
1250,5
1251,5
1252,3
1253,2
1254,4
1255,4
1256,3
1257,6
1258,1
1259,6
1260,2
1261,5
1262,1
1263,7
1264,4
1265,6
1266,8
1267,8
1268,3
1269,9
1270,5
1271,6
1272,4
1273,6
1274,0
1275,1
1276,2
1277,9
1278,8
1279,9
1280,0
1281,1
1282,5
1283,7
1284,2
1285,9
1286,5
1287,3
1288,3
1289,2
1290,5
1291,5
1292,2
1293,9
1294,2
1295,1
1296,9
1297,5
1298,2
1299,3
1300,7
1301,3
1302,6
1303,2
1304,2
1305,6
1306,4
1307,0
1308,6
1309,0
1310,6
1311,5
1312,0
1313,1
1314,9
1315,6
1316,9
1317,8
1318,6
1319,7
1320,9
1321,0
1322,2
1323,9
1324,2
1325,0
1326,6
1327,8
1328,5
1329,3
1330,4
1331,3
1332,8
1333,5
1334,8
1335,4
1336,8
1337,1
1338,1
1339,0
1340,7
1341,7
1342,3
1343,2
1344,6
1345,6
1346,2
1347,5
1348,9
1349,4
1350,2
1351,4
1352,5
1353,6
1354,4
1355,5
1356,6
1357,2
1358,4
1359,6
1360,3
1361,1
1362,2
1363,0
1364,3
1365,2
1366,4
1367,0
1368,5
1369,4
1370,7
1371,6
1372,3
1373,0
1374,6
1375,8
1376,1
1377,3
1378,7
1379,6
1380,7
1381,4
1382,6
1383,1
1384,6
1385,6
1386,2
1387,9
1388,0
1389,8
1390,1
1391,7
1392,8
1393,9
1394,1
1395,1
1396,0
1397,6
1398,3
1399,8
1400,8
1401,6
1402,4
1403,9
1404,7
1405,2
1406,3
1407,5
1408,5
1409,1
1410,8
1411,7
1412,9
1413,3
1414,7
1415,4
1416,7
1417,2
1418,7
1419,3
1420,0
1421,2
1422,7
1423,2
1424,0
1425,8
1426,6
1427,0
1428,7
1429,9
1430,1
1431,7
1432,9
1433,4
1434,3
1435,6
1436,7
1437,8
1438,9
1439,0
1440,2
1441,4
1442,6
1443,1
1444,5
1445,2
1446,3
1447,4
1448,6
1449,4
1450,8
1451,1
1452,4
1453,5
1454,1
1455,8
1456,1
1457,8
1458,8
1459,9
1460,4
1461,1
1462,2
1463,9
1464,8
1465,9
1466,5
1467,8
1468,1
1469,2
1470,6
1471,5
1472,2
1473,6
1474,2
1475,5
1476,6
1477,4
1478,6
1479,9
1480,2
1481,9
1482,3
1483,5
1484,9
1485,9
1486,7
1487,6
1488,4
1489,2
1490,5
1491,3
1492,8
1493,3
1494,9
1495,2
1496,7
1497,0
1498,9
1499,4
1500,5
1501,3
1502,3
1503,6
1504,5
1505,5
1506,4
1507,1
1508,0
1509,8
1510,4
1511,8
1512,4
1513,8
1514,4
1515,2
1516,7
1517,7
1518,1
1519,6
1520,5
1521,6
1522,3
1523,2
1524,9
1525,1
1526,1
1527,6
1528,2
1529,5
1530,1
1531,7
1532,2
1533,8
1534,0
1535,8
1536,0
1537,2
1538,8
1539,5
1540,2
1541,7
1542,8
1543,5
1544,7
1545,1
1546,6
1547,3
1548,7
1549,4
1550,8
1551,9
1552,7
1553,8
1554,3
1555,9
1556,5
1557,5
1558,2
1559,6
1560,3
1561,2
1562,5
1563,0
1564,3
1565,7
1566,0
1567,7
1568,5
1569,9
1570,5
1571,6
1572,4
1573,9
1574,6
1575,8
1576,7
1577,2
1578,0
1579,4
1580,5
1581,6
1582,6
1583,2
1584,9
1585,9
1586,1
1587,7
1588,6
1589,9
1590,6
1591,5
1592,4
1593,8
1594,9
1595,3
1596,6
1597,5
1598,4
1599,9
1600,9
1601,5
1602,0
1603,6
1604,0
1605,9
1606,2
1607,6
1608,9
1609,8
1610,0
1611,0
1612,2
1613,7
1614,3
1615,0
1616,4
1617,4
1618,1
1619,7
1620,7
1621,4
1622,6
1623,5
1624,2
1625,2
1626,2
1627,0
1628,0
1629,1
1630,7
1631,4
1632,1
1633,8
1634,0
1635,0
1636,2
1637,9
1638,4
1639,7
1640,9
1641,2
1642,6
1643,3
1644,1
1645,3
1646,9
1647,7
1648,4
1649,1
1650,0
1651,4
1652,4
1653,7
1654,7
1655,4
1656,3
1657,9
1658,4
1659,8
1660,2
1661,7
1662,8
1663,5
1664,7
1665,1
1666,1
1667,8
1668,8
1669,8
1670,0
1671,9
1672,7
1673,3
1674,9
1675,9
1676,0
1677,4
1678,4
1679,5
1680,0
1681,4
1682,5
1683,1
1684,0
1685,3
1686,7
1687,9
1688,9
1689,5
1690,6
1691,2
1692,1
1693,4
1694,1
1695,7
1696,6
1697,4
1698,7
1699,8
1700,2
1701,2
1702,7
1703,7
1704,5
1705,9
1706,2
1707,2
1708,3
1709,8
1710,6
1711,0
1712,4
1713,7
1714,6
1715,8
1716,9
1717,0
1718,8
1719,8
1720,2
1721,9
1722,7
1723,5
1724,5
1725,3
1726,6
1727,0
1728,3
1729,3
1730,1
1731,1
1732,6
1733,5
1734,9
1735,7
1736,3
1737,0
1738,7
1739,1
1740,5
1741,4
1742,3
1743,8
1744,0
1745,1
1746,3
1747,6
1748,5
1749,7
1750,3
1751,3
1752,7
1753,8
1754,3
1755,8
1756,3
1757,9
1758,5
1759,7
1760,7
1761,1
1762,7
1763,8
1764,7
1765,0
1766,5
1767,1
1768,7
1769,5
1770,4
1771,3
1772,6
1773,0
1774,3
1775,8
1776,3
1777,2
1778,3
1779,5
1780,3
1781,9
1782,7
1783,6
1784,6
1785,1
1786,9
1787,0
1788,1
1789,2
1790,7
1791,3
1792,9
1793,9
1794,4
1795,8
1796,8
1797,7
1798,6
1799,8
1800,9
1801,0
1802,9
1803,0
1804,3
1805,6
1806,9
1807,9
1808,8
1809,9
1810,8
1811,0
1812,3
1813,8
1814,0
1815,7
1816,6
1817,6
1818,1
1819,5
1820,6
1821,6
1822,5
1823,0
1824,4
1825,5
1826,8
1827,0
1828,4
1829,8
1830,4
1831,6
1832,9
1833,3
1834,6
1835,6
1836,5
1837,1
1838,8
1839,3
1840,0
1841,2
1842,9
1843,3
1844,3
1845,6
1846,0
1847,4
1848,5
1849,4
1850,8
1851,0
1852,9
1853,7
1854,4
1855,7
1856,5
1857,2
1858,1
1859,3
1860,9
1861,4
1862,2
1863,1
1864,6
1865,8
1866,2
1867,5
1868,2
1869,3
1870,8
1871,4
1872,2
1873,6
1874,6
1875,7
1876,0
1877,8
1878,5
1879,6
1880,4
1881,6
1882,1
1883,6
1884,5
1885,3
1886,5
1887,8
1888,0
1889,1
1890,0
1891,9
1892,5
1893,3
1894,5
1895,5
1896,0
1897,0
1898,8
1899,8
1900,4
1901,8
1902,7
1903,5
1904,8
1905,7
1906,4
1907,4
1908,5
1909,1
1910,6
1911,1
1912,2
1913,2
1914,8
1915,3
1916,8
1917,7
1918,8
1919,7
1920,9
1921,4
1922,5
1923,0
1924,5
1925,1
1926,1
1927,0
1928,3
1929,2
1930,0
1931,8
1932,1
1933,6
1934,7
1935,0
1936,6
1937,9
1938,8
1939,9
1940,0
1941,7
1942,5
1943,5
1944,1
1945,4
1946,4
1947,9
1948,0
1949,1
1950,9
1951,5
1952,3
1953,3
1954,4
1955,8
1956,8
1957,1
1958,6
1959,8
1960,9
1961,0
1962,7
1963,6
1964,1
1965,2
1966,9
1967,5
1968,7
1969,1
1970,3
1971,4
1972,1
1973,8
1974,8
1975,6
1976,5
1977,9
1978,8
1979,1
1980,0
1981,5
1982,1
1983,9
1984,1
1985,9
1986,4
1987,6
1988,0
1989,2
1990,3
1991,2
1992,7
1993,0
1994,1
1995,1
1996,9
1997,4
1998,6
