task,worker,answer
0,27,1
0,79,9
0,98,1
0,37,8
1,34,9
1,69,5
1,10,0
1,20,6
2,21,6
2,38,6
2,49,0
2,68,0
2,23,0
3,47,8
3,30,3
3,0,3
3,39,1
3,93,3
4,72,6
4,86,5
4,96,5
4,79,6
4,94,5
5,83,8
5,91,6
5,37,2
5,75,7
5,78,5
6,32,4
6,22,4
6,55,4
6,87,6
6,3,4
7,14,7
7,91,4
7,70,7
7,24,3
7,29,3
8,44,7
8,50,7
8,57,7
8,23,7
9,10,7
9,67,7
9,44,7
9,24,1
9,87,8
10,78,6
10,2,6
10,79,7
10,76,0
10,49,6
11,83,5
11,72,0
11,86,2
11,9,1
11,75,0
12,1,0
12,78,0
12,33,0
12,88,0
12,3,6
13,89,4
13,40,2
13,30,9
13,13,7
13,18,7
14,78,7
14,36,7
14,31,4
14,44,1
14,68,7
15,59,8
15,89,9
15,8,4
15,65,7
15,7,6
16,77,4
16,59,5
16,40,2
16,55,3
16,14,4
17,74,5
17,96,6
17,2,5
17,0,9
17,56,5
18,80,0
18,77,5
18,99,3
18,67,0
18,20,0
19,44,5
19,77,0
19,85,6
19,71,2
20,84,5
20,43,7
20,95,7
20,97,4
20,30,7
21,61,4
21,88,9
21,90,5
21,4,4
21,8,8
22,84,3
22,53,7
22,66,3
22,12,0
22,23,0
23,1,2
23,13,2
23,4,2
23,6,2
23,35,4
24,16,1
24,12,0
24,62,4
24,71,1
24,93,1
25,79,0
25,46,5
25,75,4
25,56,4
25,40,8
26,70,9
26,49,9
26,68,9
26,39,9
26,16,9
27,31,8
27,11,3
27,73,3
27,55,3
27,9,9
28,78,9
28,94,8
28,16,2
28,39,2
28,86,8
29,54,5
29,63,2
29,77,7
29,96,2
29,21,6
30,40,6
30,28,6
30,22,2
30,78,3
30,67,6
31,20,9
31,89,9
31,87,5
31,97,0
31,90,9
32,10,0
32,40,6
32,93,6
32,77,3
32,25,0
33,68,5
33,96,5
33,71,8
33,19,5
33,48,9
34,54,5
34,31,4
34,71,1
34,79,6
34,77,2
35,66,8
35,29,6
35,9,9
35,42,6
35,45,6
36,29,0
36,86,0
36,27,9
36,52,0
36,85,0
37,34,4
37,25,1
37,26,7
37,17,4
37,50,2
38,54,4
38,67,6
38,5,0
38,46,6
38,48,1
39,46,9
39,55,9
39,54,1
39,27,7
39,99,6
40,69,1
40,97,5
40,54,7
40,59,4
40,35,5
41,57,6
41,0,6
41,9,1
41,12,6
41,80,6
42,60,5
42,71,2
42,66,7
42,42,1
43,94,8
43,5,6
43,30,0
43,48,1
43,68,2
44,85,2
44,67,2
44,43,2
44,62,0
44,0,3
45,54,2
45,49,1
45,65,4
45,26,1
45,89,8
46,99,3
46,25,3
46,54,5
46,93,3
46,27,5
47,52,7
47,74,2
47,23,7
47,93,8
47,24,8
48,22,1
48,85,4
48,4,4
48,72,4
48,77,9
49,96,1
49,50,2
49,93,2
49,13,2
49,25,8
50,11,6
50,3,6
50,91,4
50,62,6
50,60,9
51,34,7
51,30,1
51,65,8
51,82,2
51,51,7
52,13,2
52,74,1
52,53,1
52,79,0
52,18,1
53,19,6
53,91,4
53,27,0
53,79,6
53,63,4
54,1,3
54,59,3
54,98,3
54,31,0
54,76,8
55,56,3
55,13,4
55,83,3
55,50,4
55,92,3
56,98,8
56,83,4
56,46,7
56,72,7
56,67,7
57,5,4
57,31,9
57,46,6
57,42,1
57,62,6
58,27,1
58,78,1
58,40,1
58,96,8
58,8,1
59,0,2
59,6,8
59,47,8
59,72,8
59,87,9
60,43,6
60,33,6
60,42,6
60,57,8
60,23,6
61,29,9
61,75,6
61,96,6
61,32,9
61,14,9
62,4,8
62,14,8
62,9,1
62,87,6
62,90,8
63,42,3
63,75,4
63,54,6
63,83,5
63,79,3
64,27,2
64,96,1
64,28,8
64,51,5
64,71,8
65,55,2
65,12,9
65,84,2
65,15,3
65,48,1
66,99,9
66,34,9
66,89,5
66,67,9
66,47,3
67,71,2
67,46,6
67,54,8
67,88,8
67,20,1
68,36,1
68,98,5
68,24,0
68,54,8
68,90,0
69,19,4
69,70,0
69,6,4
69,10,8
69,69,7
70,20,2
70,97,2
70,84,2
70,39,9
70,66,2
71,55,1
71,67,1
71,46,7
71,57,9
71,85,4
72,96,2
72,4,8
72,3,2
72,86,9
72,45,4
73,82,0
73,27,8
73,80,4
73,77,0
73,87,7
74,77,4
74,91,7
74,99,4
74,49,4
74,29,1
75,74,5
75,59,5
75,24,7
75,48,7
75,11,5
76,56,1
76,58,6
76,82,1
76,6,6
76,75,1
77,32,0
77,5,2
77,95,2
77,4,2
77,99,3
78,30,7
78,44,1
78,32,0
78,77,1
78,7,1
79,34,4
79,18,5
79,51,6
79,57,8
79,42,9
80,52,6
80,76,1
80,93,1
80,92,1
81,54,1
81,74,1
81,72,1
