worker_id,worker_community
0,6
1,4
2,7
3,0
4,7
5,6
6,2
7,6
8,6
9,0
10,5
11,2
12,2
13,1
14,4
15,0
16,5
17,7
18,2
19,1
20,5
21,4
22,6
23,4
24,2
25,4
26,0
27,7
28,3
29,7
30,4
31,7
32,2
33,5
34,4
35,1
36,3
37,2
38,7
39,0
40,3
41,1
42,1
43,4
44,0
45,5
46,1
47,1
48,0
49,5
50,0
51,2
52,1
53,3
54,3
55,6
56,1
57,6
58,5
59,5
60,6
61,1
62,4
63,0
64,7
65,4
66,6
67,3
68,7
69,2
70,3
71,7
72,2
73,7
74,7
75,6
76,4
77,0
78,1
79,4
80,0
81,2
82,7
83,4
84,0
85,0
86,4
87,6
88,4
89,6
90,5
91,5
92,1
93,6
94,2
95,7
96,5
97,4
98,7
99,2
100,7
101,5
102,2
103,2
104,3
105,0
106,3
107,0
108,4
109,5
110,4
111,4
112,3
113,4
114,0
115,2
116,7
117,5
118,3
119,6
120,5
121,6
122,3
123,4
124,5
125,1
126,6
127,4
128,0
129,0
130,5
131,5
132,4
133,0
134,4
135,7
136,6
137,7
138,6
139,0
140,4
141,6
142,3
143,1
144,2
145,5
146,4
147,4
148,1
149,5
150,1
151,3
152,3
153,4
154,2
155,1
156,6
157,5
158,7
159,1
160,5
161,1
162,1
163,5
164,6
165,6
166,5
167,1
168,6
169,2
170,1
171,6
172,4
173,7
174,3
175,7
176,6
177,5
178,7
179,4
180,2
181,1
182,3
183,1
184,4
185,0
186,2
187,5
188,0
189,2
190,3
191,7
192,3
193,3
194,1
195,1
196,0
197,1
198,4
199,7
200,7
201,1
202,2
203,5
204,2
205,6
206,7
207,4
208,1
209,0
210,3
211,1
212,1
213,2
214,4
215,2
216,1
217,7
218,5
219,6
220,4
221,1
222,4
223,3
224,3
225,2
226,5
227,2
228,1
229,0
230,2
231,7
232,6
233,3
234,7
235,1
236,2
237,1
238,3
239,1
240,2
241,7
242,7
243,2
244,2
245,4
246,4
247,3
248,7
249,0
