task,worker,answer
0,50,8
0,223,1
0,14,3
0,123,2
0,194,8
1,127,5
1,319,3
1,45,5
1,87,1
1,89,2
2,230,9
2,130,7
2,55,2
2,163,9
2,235,9
3,137,6
3,64,8
3,169,7
3,57,9
3,26,7
4,11,3
4,136,2
4,248,0
4,204,5
4,60,5
5,263,4
5,307,7
5,342,7
5,245,7
5,141,4
6,73,2
6,195,2
6,153,3
6,343,2
6,77,3
7,192,6
7,149,6
7,323,2
7,150,4
7,232,4
8,318,3
8,292,3
8,10,4
8,110,3
8,158,6
9,330,6
9,113,0
9,74,0
9,1,6
9,176,7
10,249,7
10,149,0
10,263,5
10,122,4
10,127,5
11,290,1
11,241,6
11,220,9
11,141,9
11,255,6
12,283,4
12,8,3
12,244,2
12,287,0
12,270,3
13,69,5
13,309,4
13,344,8
13,317,4
13,32,4
14,162,8
14,290,3
14,310,6
14,182,9
14,269,3
15,272,6
15,54,9
15,64,2
15,196,5
15,304,0
16,168,8
16,301,2
16,206,8
16,276,0
16,203,8
17,120,7
17,229,9
17,225,9
17,158,8
17,341,7
18,150,0
18,175,5
18,278,8
18,191,4
18,161,5
19,4,1
19,231,6
19,243,1
19,46,6
19,253,6
20,197,1
20,136,1
20,32,1
20,309,8
20,215,0
21,218,7
21,90,2
21,272,2
21,326,5
21,214,6
22,106,8
22,128,6
22,169,2
22,194,8
22,187,6
23,218,4
23,200,4
23,4,4
23,22,4
23,118,4
24,189,1
24,219,5
24,171,2
24,107,9
24,96,2
25,199,1
25,124,2
25,79,3
25,134,5
25,330,1
26,99,2
26,79,8
26,131,2
26,135,2
26,300,1
27,268,2
27,333,8
27,160,9
27,217,7
27,339,9
28,262,0
28,294,0
28,172,4
29,113,7
29,48,7
29,111,7
29,127,7
30,169,9
30,267,3
30,73,0
30,193,2
30,234,1
31,201,3
31,70,7
31,53,6
31,7,5
31,312,3
32,115,9
32,260,6
32,142,7
32,56,9
32,248,8
33,156,7
33,45,7
33,344,7
33,261,7
33,111,7
34,224,4
34,316,9
34,53,4
34,200,4
34,119,3
35,273,5
35,227,2
35,46,7
35,158,2
35,76,5
36,107,8
36,287,0
36,244,0
36,267,7
36,221,5
37,293,2
37,102,4
37,183,4
37,309,5
37,234,0
38,175,6
38,85,3
38,53,9
38,251,9
38,56,9
39,212,0
39,93,6
39,160,4
39,320,4
39,102,3
40,328,8
40,197,0
40,217,9
40,317,0
40,286,0
41,156,0
41,294,8
41,261,5
41,143,1
41,40,5
42,314,4
42,246,2
42,0,0
42,230,7
42,146,0
43,79,7
43,300,7
43,268,1
43,75,7
43,349,5
44,101,9
44,93,1
44,172,6
44,159,6
44,315,9
45,22,2
45,185,1
45,119,1
45,15,1
45,17,1
46,311,4
46,24,2
46,126,3
46,287,8
46,334,2
47,160,8
47,243,3
47,253,4
47,15,9
48,91,1
48,336,1
48,296,3
48,18,3
48,228,3
49,140,5
49,42,5
49,317,5
49,325,1
49,288,9
50,260,8
50,177,0
50,148,0
50,10,0
50,191,8
51,252,9
51,94,8
51,251,7
51,262,9
51,104,5
52,281,8
52,192,3
52,232,4
52,251,9
52,43,1
53,315,9
53,130,6
53,228,6
53,166,9
53,135,6
54,193,0
54,149,2
54,55,5
54,163,1
54,19,9
55,78,7
55,32,5
55,242,8
55,348,3
55,21,3
56,153,5
56,1,8
56,173,6
56,178,6
56,220,6
57,257,9
57,237,3
57,47,9
57,196,9
57,294,9
58,71,6
58,270,6
58,271,6
58,285,8
58,254,2
59,167,7
59,306,2
59,313,7
59,333,7
59,34,7
60,249,0
60,97,4
60,340,8
60,20,4
60,110,4
61,317,8
61,94,0
61,128,0
61,237,0
61,44,0
62,273,9
62,349,1
62,237,1
62,112,1
62,252,1
63,255,8
63,289,0
63,248,4
63,257,6
63,52,6
64,84,9
64,203,8
64,228,9
64,282,4
64,220,1
65,35,8
65,136,8
65,256,5
65,68,5
65,110,2
66,190,0
66,51,8
66,246,6
66,245,6
66,26,6
67,0,5
67,205,5
67,67,0
67,252,1
67,194,5
68,87,0
68,282,0
68,294,0
68,329,2
68,16,0
69,164,5
69,54,8
69,184,8
69,16,7
69,76,6
70,163,0
70,247,4
70,147,5
70,242,4
70,121,6
71,224,4
71,199,1
71,83,2
71,27,2
71,213,0
72,1,1
72,309,4
72,211,1
72,139,5
72,40,4
73,272,8
73,348,4
73,226,8
73,188,8
73,58,8
74,244,5
74,348,9
74,194,2
74,23,8
74,178,7
75,70,9
75,238,9
75,119,9
75,30,9
76,27,0
76,154,0
76,61,4
76,107,0
76,204,0
77,176,7
77,281,7
77,335,7
77,293,7
77,81,0
78,111,5
78,275,5
78,198,5
78,203,0
78,286,5
79,345,4
79,21,7
79,295,8
79,299,5
79,55,3
80,8,3
80,88,6
80,105,8
80,263,6
80,333,6
81,299,2
81,239,4
81,56,5
81,322,3
81,314,5
82,26,9
82,211,9
82,49,9
82,72,6
82,280,9
83,145,2
83,159,2
83,239,7
83,115,2
83,278,6
84,107,6
84,9,1
84,293,6
84,11,6
84,63,6
85,127,6
85,281,3
85,163,5
85,201,2
85,320,6
86,20,0
86,108,0
86,337,3
86,222,0
86,199,0
87,277,9
87,49,1
87,71,2
87,241,2
87,223,9
88,306,1
88,330,1
88,295,8
88,119,1
88,174,6
89,281,0
89,324,0
89,81,0
89,115,0
89,304,0
90,63,8
90,239,3
90,175,2
90,259,1
91,129,2
91,208,2
91,184,3
91,97,2
91,144,6
92,124,7
92,312,7
92,149,7
92,170,9
92,23,2
93,190,6
93,349,3
93,227,1
93,270,6
93,249,2
94,201,2
94,16,0
94,132,0
94,248,2
94,267,2
95,129,7
95,267,4
95,235,1
95,213,1
95,139,1
96,107,7
96,246,0
96,222,7
96,234,5
96,101,7
97,149,3
97,347,8
97,186,4
97,308,5
97,125,3
98,331,5
98,334,6
98,61,8
98,78,4
98,67,8
99,10,1
99,38,0
99,46,7
99,205,7
99,95,1
100,324,3
100,250,4
100,99,5
100,320,5
100,248,6
101,75,6
101,214,4
101,176,6
101,332,6
101,169,6
102,165,8
102,9,5
102,34,7
102,199,5
102,336,2
103,118,5
103,269,0
103,345,7
103,82,3
103,201,3
104,123,8
104,118,7
104,202,7
104,212,7
104,332,0
105,210,1
105,101,6
105,205,1
105,297,6
105,134,1
106,171,5
106,260,8
106,309,6
106,306,9
106,24,7
107,138,2
107,349,2
107,260,6
107,175,2
107,208,1
108,280,0
108,192,0
108,59,0
108,176,5
108,153,0
109,4,3
109,218,3
109,278,3
109,261,3
109,98,3
110,242,3
110,51,7
110,282,1
110,203,2
110,188,1
111,300,6
111,255,6
111,171,6
111,74,3
111,58,1
112,75,5
112,187,1
112,304,1
112,194,2
112,349,6
113,125,0
113,265,0
113,213,8
113,191,2
113,41,0
114,63,4
114,293,6
114,141,1
114,37,8
114,57,6
115,278,5
115,173,5
115,138,8
115,247,5
115,170,9
116,86,2
116,314,2
116,307,1
116,287,2
116,145,2
117,128,6
117,224,7
117,29,8
117,10,9
117,5,6
118,36,4
118,213,6
118,3,8
118,307,3
118,265,3
119,103,3
119,169,8
119,138,0
119,95,6
119,264,0
120,262,5
120,14,1
120,310,5
120,271,8
120,100,0
121,217,4
121,106,2
121,293,0
121,255,3
121,339,7
122,126,6
122,335,8
122,95,8
122,299,5
122,205,5
123,110,3
123,303,3
123,90,3
123,310,3
123,184,3
124,33,9
124,189,9
124,285,9
124,315,3
124,239,9
125,25,0
125,53,7
125,261,2
125,10,6
125,14,7
126,18,0
126,88,9
126,337,0
126,92,0
126,198,1
127,166,1
127,141,1
127,305,1
127,332,1
127,346,9
128,8,9
128,131,9
128,3,0
128,297,2
128,260,0
129,21,9
129,133,8
129,123,4
129,222,8
129,263,4
130,3,7
130,234,9
130,299,2
130,106,0
130,76,8
131,321,5
131,59,0
131,341,1
131,256,4
131,161,4
132,215,7
132,208,5
132,302,4
132,101,8
132,273,2
133,47,1
133,163,3
133,52,8
133,321,9
133,118,3
134,277,7
134,99,3
134,268,1
134,271,7
134,174,6
135,211,7
135,266,2
135,69,6
135,318,9
135,156,6
136,130,4
136,288,4
136,217,9
136,295,4
136,142,4
137,274,2
137,289,2
137,37,2
137,74,2
137,154,0
138,275,8
138,233,3
138,236,8
138,22,8
138,251,4
139,294,5
139,147,5
139,9,5
139,339,3
139,216,6
140,306,5
140,243,6
140,140,8
140,177,4
140,304,8
141,179,3
141,49,9
141,128,2
141,160,9
141,150,4
142,347,8
142,169,3
142,117,9
142,182,5
142,33,3
143,339,6
143,65,1
143,206,3
143,205,7
143,143,8
144,318,5
144,327,4
144,65,5
144,204,5
144,37,5
145,37,1
145,233,9
145,270,5
145,166,5
145,22,9
146,86,5
146,113,1
146,30,2
