task_id,truth
0,5
1,2
2,2
3,5
4,0
5,7
6,2
7,0
8,7
9,7
10,7
11,1
12,5
13,1
14,9
15,6
16,5
17,6
18,8
19,8
20,1
21,5
22,2
23,4
24,1
25,3
26,9
27,7
28,6
29,1
30,4
31,6
32,1
33,3
34,9
35,1
36,0
37,6
38,7
39,3
40,2
41,9
42,7
43,9
44,2
45,7
46,1
47,1
48,8
49,5
50,8
51,9
52,7
53,2
54,1
55,9
56,9
57,8
58,8
59,5
60,5
61,1
62,2
63,4
64,5
65,0
66,1
67,1
68,4
69,5
70,9
71,7
72,2
73,5
74,5
75,5
76,6
77,9
78,6
79,1
80,4
81,2
82,2
83,0
84,1
85,6
86,0
87,2
88,4
89,1
90,6
91,3
92,6
93,2
94,6
95,2
96,3
97,0
98,1
99,3
100,4
101,6
102,1
103,0
104,5
105,6
106,2
107,4
108,0
109,7
110,2
111,8
112,5
113,3
114,5
115,6
116,7
117,5
118,3
119,9
120,0
121,2
122,8
123,4
124,5
125,9
126,1
127,6
128,6
129,1
130,0
131,7
132,8
133,7
134,3
135,6
136,0
137,8
138,5
139,6
140,5
141,1
142,2
143,3
144,7
145,3
146,1
147,8
148,1
149,3
150,5
151,6
152,5
153,2
154,4
155,2
156,7
157,1
158,9
159,3
160,2
161,3
162,6
163,2
164,6
165,2
166,9
167,4
168,5
169,9
170,1
171,1
172,1
173,5
174,4
175,2
176,2
177,6
178,0
179,0
180,7
181,0
182,2
183,8
184,4
185,6
186,0
187,8
188,7
189,4
190,3
191,1
192,2
193,8
194,3
195,8
196,4
197,8
198,1
199,2
200,8
201,8
202,6
203,0
204,2
205,8
206,9
207,4
208,1
209,2
210,5
211,4
212,6
213,4
214,5
215,6
216,0
217,3
218,7
219,6
220,5
221,0
222,1
223,2
224,0
225,3
226,9
227,0
228,0
229,5
230,4
231,5
232,0
233,1
234,5
235,3
236,6
237,2
238,2
239,1
240,1
241,8
242,8
243,9
244,1
245,6
246,2
247,7
248,2
249,2
250,7
251,7
252,8
253,2
254,2
255,9
256,6
257,5
258,4
259,8
260,2
261,7
262,6
263,8
264,6
265,4
266,6
267,7
268,3
269,1
270,1
271,0
272,5
273,5
274,2
275,6
276,1
277,5
278,4
279,5
280,9
281,3
282,6
283,8
284,2
285,9
286,6
287,5
288,8
289,6
290,2
291,1
292,1
293,8
294,4
295,5
296,2
297,5
298,6
299,8
300,6
301,9
302,6
303,3
304,1
305,5
306,7
307,1
308,1
309,0
310,5
311,7
312,2
313,9
314,6
315,7
316,8
317,2
318,9
319,9
320,6
321,3
322,5
323,4
324,6
325,1
326,1
327,9
328,0
329,4
330,1
331,1
332,7
333,8
334,3
335,2
336,2
337,2
338,6
339,4
340,3
341,0
342,3
343,4
344,7
345,0
346,6
347,9
348,5
349,1
350,3
351,1
352,8
353,8
354,6
355,1
356,6
357,6
358,1
359,9
360,8
361,6
362,8
363,3
364,5
365,9
366,8
367,0
368,8
369,7
370,9
371,0
372,1
373,8
374,0
375,3
376,2
377,8
378,2
379,9
380,2
381,1
382,5
383,3
384,8
385,5
386,6
387,0
388,8
389,6
390,5
391,9
392,4
393,3
394,5
395,7
396,2
397,8
398,1
399,8
400,4
401,2
402,8
403,0
404,0
405,2
406,9
407,2
408,1
409,9
410,4
411,6
412,9
413,5
414,8
415,3
416,3
417,4
418,0
419,9
420,6
421,6
422,0
423,0
424,4
425,1
426,3
427,8
428,0
429,5
430,9
431,4
432,8
433,7
434,5
435,2
436,4
437,6
438,8
439,6
440,4
441,9
442,8
443,0
444,0
445,5
446,8
447,3
448,8
449,3
450,8
451,1
452,7
453,7
454,4
455,2
456,5
457,5
458,1
459,4
460,1
461,3
462,1
463,2
464,0
465,1
466,3
467,7
468,1
469,3
470,9
471,7
472,0
473,3
474,7
475,9
476,4
477,5
478,8
479,0
480,1
481,2
482,8
483,9
484,3
485,4
486,8
487,0
488,1
489,6
490,7
491,3
492,8
493,4
494,4
495,5
496,5
497,6
498,0
499,0
500,3
501,7
502,1
503,3
504,9
505,7
506,9
507,6
508,4
509,5
510,5
511,3
512,4
