task_id,task_community
0,4
1,3
2,5
3,0
4,5
5,1
6,4
7,5
8,0
9,4
10,0
11,5
12,5
13,1
14,3
15,4
16,6
17,6
18,6
19,2
20,4
21,4
22,6
23,5
24,4
25,6
26,6
27,4
28,6
29,5
30,6
31,5
32,3
33,1
34,5
35,2
36,3
37,5
38,6
39,0
40,5
41,4
42,2
43,5
44,1
45,4
46,4
47,6
48,6
49,4
50,6
51,5
52,1
53,6
54,3
55,3
56,2
57,6
58,1
59,6
60,1
61,6
62,5
63,6
64,2
65,0
66,4
67,5
68,1
69,3
70,0
71,6
72,4
73,5
74,1
75,1
76,0
77,1
78,1
79,1
80,3
81,0
82,6
83,0
84,1
85,3
86,0
87,5
88,4
89,4
90,3
91,0
92,5
93,3
94,2
95,2
96,0
97,3
98,1
99,6
100,0
101,1
102,5
103,1
104,5
105,1
106,6
107,4
108,3
109,5
110,0
111,6
112,3
113,1
114,5
115,1
116,2
117,0
118,4
119,5
120,0
121,1
122,1
123,3
124,3
125,3
126,4
127,4
128,5
129,5
130,1
131,6
132,1
133,5
134,2
135,2
136,6
137,1
138,2
139,1
140,3
141,3
142,3
143,2
144,3
145,2
146,6
147,2
148,3
149,5
150,4
151,0
152,4
153,0
154,2
155,1
156,1
157,5
158,1
159,6
160,0
161,3
162,1
163,6
164,4
165,6
166,3
167,5
168,1
169,3
170,6
171,5
172,6
173,2
174,6
175,3
176,1
177,3
178,6
179,5
180,6
181,2
182,4
183,5
184,4
185,2
186,3
187,2
188,0
189,3
190,0
191,0
192,6
193,1
194,3
195,6
196,2
197,0
198,3
199,1
200,2
201,5
202,1
203,0
204,2
205,0
206,5
207,0
208,3
209,6
210,5
211,0
212,0
213,2
214,5
215,6
216,6
217,3
218,3
219,5
220,4
221,6
222,5
223,5
224,1
225,2
226,2
227,6
228,5
229,4
230,2
231,6
232,1
233,1
234,3
235,0
236,3
237,5
238,6
239,0
240,3
241,6
242,0
243,5
244,1
245,3
246,4
247,5
248,1
249,3
250,6
251,0
252,4
253,4
254,0
255,5
256,5
257,2
258,2
259,6
260,3
261,5
262,5
263,3
264,1
265,1
266,3
267,0
268,0
269,5
270,1
271,0
272,3
273,3
274,0
275,1
276,4
277,0
278,3
279,4
280,3
281,3
282,5
283,6
284,1
285,1
286,2
287,0
288,3
289,0
290,4
291,3
292,2
293,2
294,3
295,0
296,2
297,1
298,5
299,6
300,6
301,4
302,5
303,2
304,0
305,6
306,5
307,3
308,2
309,0
310,0
311,6
312,6
313,1
314,3
315,4
316,6
317,3
318,5
319,6
320,2
321,5
322,1
323,0
324,0
325,2
326,2
327,6
328,5
329,2
330,4
331,1
332,0
333,2
334,2
335,2
336,5
337,6
338,5
339,0
340,3
341,4
342,5
343,5
344,3
345,3
346,3
347,5
348,4
349,1
350,5
351,3
352,4
353,4
354,6
355,6
356,1
357,5
358,0
359,4
360,1
361,5
362,1
363,2
364,4
365,3
366,6
367,5
368,2
369,5
370,6
371,6
372,1
373,2
374,3
375,5
376,6
377,3
378,1
379,2
380,5
381,0
382,1
383,2
384,0
385,1
386,3
387,5
388,2
389,0
390,0
391,1
392,2
393,1
394,4
395,6
396,6
397,4
398,6
399,5
400,5
401,3
402,1
403,1
404,1
405,4
406,0
407,2
408,0
409,6
410,0
411,6
412,2
413,3
414,2
415,0
416,6
417,1
418,2
419,1
420,3
421,5
422,0
423,1
424,0
425,2
426,6
427,6
428,0
429,0
430,1
431,1
432,5
433,2
434,1
435,1
436,3
437,0
438,3
439,5
440,3
441,5
442,5
443,0
444,6
445,6
446,2
447,2
448,3
449,6
450,0
451,5
452,1
453,1
454,3
455,3
456,2
457,3
458,5
459,1
460,5
461,5
462,6
463,2
464,2
465,3
466,4
467,5
468,1
469,2
470,1
471,2
472,1
473,1
474,6
475,0
476,6
477,4
478,5
479,3
480,0
481,2
482,6
483,1
484,1
485,2
486,0
487,4
488,6
489,2
490,0
491,3
492,3
493,6
494,2
495,5
496,5
497,4
498,5
499,2
500,1
501,6
502,6
503,1
504,3
505,3
506,6
507,6
508,3
509,2
510,0
511,5
512,5
513,5
514,6
515,2
516,3
517,1
518,2
519,4
520,4
521,4
522,4
523,5
524,0
525,1
526,6
527,1
528,2
529,5
530,5
531,6
532,3
533,4
534,6
535,5
536,1
537,5
538,3
539,4
540,6
541,0
542,6
543,4
544,6
545,1
546,2
547,1
548,6
549,6
550,1
551,4
552,2
553,4
554,3
555,2
556,6
557,1
558,1
559,3
560,2
561,1
562,2
563,2
564,4
565,3
566,4
567,2
568,5
569,4
570,6
571,2
572,2
573,2
574,6
575,2
576,4
577,6
578,0
579,3
580,6
581,1
582,3
583,1
584,1
585,5
586,2
587,3
588,2
589,0
590,5
591,3
592,0
593,5
594,2
595,4
596,4
597,5
598,1
599,6
600,5
601,2
602,1
603,1
604,0
605,1
606,2
607,1
608,0
609,3
610,4
611,5
612,5
613,6
614,4
615,0
616,2
617,3
618,6
619,0
620,1
621,3
622,3
623,1
624,6
625,5
626,0
627,3
628,0
629,2
630,0
631,2
632,5
633,6
634,0
635,1
636,6
637,6
638,1
639,4
640,4
641,0
642,0
643,3
644,1
645,5
646,6
647,2
648,0
649,3
650,3
651,3
652,2
653,0
654,6
655,6
656,6
657,6
658,4
659,4
660,3
661,2
662,2
663,3
664,0
665,6
666,5
667,6
668,5
669,3
670,0
671,2
672,5
673,0
674,3
675,4
676,0
677,4
678,2
679,6
680,2
681,2
682,1
683,4
684,4
685,6
686,4
687,0
688,4
689,4
690,0
691,3
692,2
693,6
694,4
695,5
696,0
697,1
698,4
699,3
700,4
701,4
702,2
703,1
704,2
705,1
706,6
707,2
708,4
709,3
710,1
711,5
712,0
713,4
714,0
715,1
716,0
717,2
718,5
719,0
720,6
721,0
722,4
723,6
724,5
725,2
726,5
727,6
728,5
729,1
730,1
731,4
732,2
733,4
734,0
735,4
736,1
737,1
738,0
739,1
740,1
741,6
742,3
743,5
744,3
745,5
746,2
747,6
748,1
749,4
750,1
751,1
752,2
753,3
754,6
755,4
756,4
757,1
758,5
759,0
760,2
761,2
762,2
763,6
764,3
765,5
766,6
767,6
768,5
769,1
770,5
771,2
772,3
773,5
774,6
775,0
776,5
777,2
778,3
779,4
780,0
781,6
782,4
783,0
784,3
785,6
786,6
787,2
788,2
789,5
790,4
791,1
792,4
793,0
794,1
795,5
796,6
797,5
798,5
799,1
800,2
801,3
802,1
803,4
804,6
805,0
806,5
807,2
808,4
809,5
810,3
811,4
812,2
813,3
814,4
815,0
816,0
817,5
818,6
819,0
820,2
821,6
822,2
823,2
824,2
825,4
826,4
827,2
828,4
829,0
830,2
831,6
832,5
833,2
834,5
835,0
836,0
837,6
838,5
839,3
840,6
841,4
842,1
843,1
844,1
845,2
846,5
847,3
848,0
849,3
850,0
851,6
852,4
853,5
854,6
855,1
856,1
857,2
858,4
859,5
860,1
861,1
862,3
863,0
864,6
865,3
866,5
867,1
868,1
869,3
870,1
871,3
872,0
873,5
874,5
875,4
876,0
877,1
878,3
879,5
880,2
881,6
882,1
883,1
884,3
885,4
886,2
887,3
888,2
889,2
890,1
891,0
892,3
893,0
894,4
895,3
896,5
897,0
898,0
899,5
900,3
901,6
902,6
903,1
904,6
905,3
906,3
907,4
908,5
909,1
910,0
911,3
912,4
913,0
914,0
915,4
916,3
917,3
918,0
919,1
920,2
921,0
922,3
923,6
924,4
925,1
926,3
927,3
928,5
929,3
930,5
931,1
932,5
933,2
934,1
935,2
936,6
937,1
938,5
939,5
940,0
941,0
942,2
943,4
944,6
945,1
946,4
947,0
948,6
949,0
950,5
951,5
952,5
953,3
954,6
955,0
956,5
957,3
958,5
959,2
960,2
961,1
962,6
963,3
964,6
965,5
966,5
967,6
968,2
969,4
970,3
971,5
972,1
973,1
974,3
975,4
976,0
977,2
978,2
979,1
980,1
981,5
982,6
983,5
984,5
985,6
986,3
987,2
988,1
989,4
990,6
991,1
992,4
993,2
994,6
995,5
996,4
997,0
998,0
999,4
1000,4
1001,4
1002,2
1003,2
1004,5
1005,4
1006,5
1007,4
1008,1
1009,2
1010,0
1011,5
1012,6
1013,2
1014,0
1015,2
1016,1
1017,2
1018,2
1019,5
1020,5
1021,6
1022,6
1023,1
1024,2
1025,6
1026,3
1027,6
1028,4
1029,5
1030,0
1031,5
1032,6
1033,2
1034,1
1035,2
1036,2
1037,3
1038,0
1039,3
1040,4
1041,3
1042,1
1043,3
1044,4
1045,2
1046,6
1047,4
1048,1
1049,3
1050,1
1051,6
1052,4
1053,5
1054,6
1055,4
1056,1
1057,0
1058,4
1059,1
1060,4
1061,6
1062,0
1063,0
1064,0
1065,3
1066,4
1067,6
1068,3
1069,3
1070,4
1071,5
1072,0
1073,5
1074,0
1075,1
1076,6
1077,0
1078,1
1079,1
1080,2
1081,1
1082,5
1083,1
1084,6
1085,1
1086,5
1087,1
1088,6
1089,5
1090,6
1091,5
1092,5
1093,2
1094,4
1095,3
1096,0
1097,5
1098,3
1099,5
1100,6
1101,2
1102,1
1103,5
1104,3
1105,1
1106,4
1107,4
1108,3
1109,0
1110,1
1111,0
1112,5
1113,3
1114,2
1115,2
1116,5
1117,0
1118,0
1119,3
1120,3
1121,2
1122,5
1123,2
1124,4
1125,3
1126,5
1127,1
1128,3
1129,3
1130,6
1131,6
1132,6
1133,6
1134,4
1135,6
1136,1
1137,6
1138,0
1139,2
1140,2
1141,0
1142,6
1143,1
1144,6
1145,6
1146,5
1147,4
1148,4
1149,6
1150,2
1151,1
1152,6
1153,0
1154,1
1155,5
1156,4
1157,2
1158,1
1159,0
1160,2
1161,1
1162,1
1163,0
1164,3
1165,0
1166,0
1167,4
1168,3
1169,6
1170,6
1171,2
1172,0
1173,2
1174,5
1175,4
1176,0
1177,0
1178,0
1179,0
1180,6
1181,0
1182,6
1183,2
1184,3
1185,5
1186,0
1187,2
1188,1
1189,1
1190,6
1191,6
1192,6
1193,2
1194,2
1195,0
1196,1
1197,0
1198,3
1199,6
1200,1
1201,5
1202,3
1203,0
1204,0
1205,1
1206,0
1207,1
1208,4
1209,2
1210,3
1211,3
1212,2
1213,4
1214,6
1215,6
1216,4
1217,3
1218,5
1219,0
1220,6
1221,0
1222,6
1223,2
1224,1
1225,6
1226,4
1227,0
1228,0
1229,0
1230,0
1231,6
1232,1
1233,6
1234,3
1235,1
1236,2
1237,0
1238,1
1239,6
1240,1
1241,4
1242,4
1243,0
1244,0
1245,5
1246,3
1247,1
1248,6
1249,0
1250,1
1251,1
1252,5
1253,6
1254,4
1255,6
1256,6
1257,5
1258,4
1259,5
1260,0
1261,5
1262,3
1263,5
1264,2
1265,1
1266,1
1267,0
1268,6
1269,2
1270,3
1271,2
1272,2
1273,3
1274,6
1275,4
1276,5
1277,1
1278,6
1279,5
1280,4
1281,2
1282,4
1283,0
1284,2
1285,5
1286,5
1287,5
1288,2
1289,3
1290,1
1291,2
1292,6
1293,0
1294,0
1295,3
1296,3
1297,6
1298,3
1299,3
1300,0
1301,4
1302,0
1303,1
1304,5
1305,1
1306,0
1307,4
1308,5
1309,0
1310,1
1311,2
1312,4
1313,2
1314,2
1315,4
1316,5
1317,1
1318,1
1319,5
1320,6
1321,4
1322,6
1323,1
1324,6
1325,6
1326,0
1327,3
1328,0
1329,0
1330,5
1331,1
1332,2
1333,2
1334,0
1335,4
1336,0
1337,0
1338,6
1339,3
1340,3
1341,1
1342,5
1343,4
1344,2
1345,1
1346,6
1347,5
1348,2
1349,1
1350,6
1351,6
1352,0
1353,4
1354,3
1355,1
1356,2
1357,6
1358,4
1359,6
1360,6
1361,0
1362,5
1363,3
1364,0
1365,1
1366,0
1367,5
1368,4
1369,4
1370,3
1371,5
1372,5
1373,1
1374,1
1375,4
1376,2
1377,2
1378,1
1379,0
1380,1
1381,5
1382,4
1383,1
1384,0
1385,4
1386,2
1387,5
1388,6
1389,0
1390,1
1391,5
1392,6
1393,0
1394,3
1395,6
1396,6
1397,4
1398,1
1399,0
1400,1
1401,6
1402,0
1403,2
1404,5
1405,2
1406,0
1407,1
1408,6
1409,2
1410,3
1411,3
1412,0
1413,5
1414,3
1415,4
1416,3
1417,3
1418,2
1419,4
1420,0
1421,3
1422,3
1423,3
1424,5
1425,2
1426,0
1427,1
1428,3
1429,6
1430,0
1431,3
1432,0
1433,0
1434,6
1435,4
1436,0
1437,0
1438,6
1439,1
1440,3
1441,1
1442,5
1443,3
1444,0
1445,6
1446,6
1447,6
1448,0
1449,3
1450,5
1451,6
1452,6
1453,4
1454,5
1455,5
1456,4
1457,1
1458,2
1459,5
1460,4
1461,6
1462,4
1463,5
1464,4
1465,1
1466,0
1467,5
1468,1
1469,4
1470,6
1471,6
1472,4
1473,4
1474,5
1475,4
1476,3
1477,6
1478,2
1479,3
1480,5
1481,0
1482,4
1483,5
1484,5
1485,4
1486,2
1487,6
1488,5
1489,0
1490,4
1491,6
1492,3
1493,3
1494,6
1495,0
1496,3
1497,4
1498,3
1499,3
1500,5
1501,2
1502,4
1503,5
1504,5
1505,3
1506,0
1507,0
1508,2
1509,0
1510,2
1511,5
1512,1
1513,6
1514,2
1515,6
1516,6
1517,3
1518,6
1519,6
1520,4
1521,3
1522,1
1523,3
1524,6
1525,4
1526,6
1527,2
1528,6
1529,3
1530,4
1531,3
1532,5
1533,5
1534,0
1535,5
1536,4
1537,2
1538,3
1539,6
1540,0
1541,4
1542,2
1543,0
1544,4
1545,2
1546,2
1547,0
1548,3
1549,4
1550,0
1551,4
1552,1
1553,6
1554,0
1555,4
1556,0
1557,0
1558,3
1559,5
1560,1
1561,6
1562,2
1563,4
1564,2
1565,4
1566,3
1567,5
1568,0
1569,6
1570,6
1571,0
1572,2
1573,4
1574,1
1575,3
1576,3
1577,2
1578,3
1579,1
1580,0
1581,5
1582,2
1583,1
1584,1
1585,6
1586,5
1587,1
1588,3
1589,0
1590,5
1591,6
1592,5
1593,3
1594,2
1595,2
1596,0
1597,1
1598,1
1599,6
1600,3
1601,6
1602,1
1603,4
1604,3
1605,2
1606,4
1607,5
1608,0
1609,0
1610,1
1611,3
1612,3
1613,1
1614,3
1615,3
1616,1
1617,2
1618,0
1619,2
1620,3
1621,2
1622,6
1623,0
1624,6
1625,2
1626,4
1627,3
1628,5
1629,6
1630,1
1631,0
1632,5
1633,4
1634,3
1635,0
1636,0
1637,4
1638,1
1639,6
1640,2
1641,4
1642,5
1643,3
1644,6
1645,3
1646,2
1647,3
1648,1
1649,0
1650,0
1651,1
1652,1
1653,0
1654,2
1655,3
1656,2
1657,0
1658,5
1659,1
1660,2
1661,5
1662,1
1663,6
1664,4
1665,6
1666,1
1667,4
1668,2
1669,0
1670,1
1671,2
1672,5
1673,4
1674,5
1675,3
1676,6
1677,5
1678,4
1679,3
1680,5
1681,2
1682,0
1683,6
1684,3
1685,5
1686,2
1687,4
1688,4
1689,1
1690,6
1691,6
1692,6
1693,0
1694,4
1695,2
1696,3
1697,3
1698,1
1699,5
1700,5
1701,5
1702,6
1703,2
1704,3
1705,3
1706,0
1707,2
1708,3
1709,2
1710,4
1711,5
1712,5
1713,2
1714,6
1715,6
1716,1
1717,5
1718,6
1719,3
1720,5
1721,0
1722,0
1723,4
1724,4
1725,0
1726,5
1727,0
1728,3
1729,1
1730,6
1731,5
1732,0
1733,4
1734,3
1735,0
1736,4
1737,6
1738,6
1739,3
1740,4
1741,5
1742,1
1743,4
1744,2
1745,4
1746,6
1747,6
1748,4
1749,1
1750,4
1751,6
1752,3
1753,0
1754,1
1755,2
1756,3
1757,2
1758,4
1759,2
1760,2
1761,2
1762,4
1763,2
1764,6
1765,4
1766,3
1767,5
1768,3
1769,0
1770,3
1771,5
1772,6
1773,5
1774,4
1775,0
1776,2
1777,2
1778,0
1779,2
1780,3
1781,2
1782,6
1783,0
1784,0
1785,4
1786,3
1787,2
1788,6
1789,2
1790,5
1791,3
1792,2
1793,3
1794,4
1795,0
1796,4
1797,4
1798,5
1799,2
1800,3
1801,1
1802,4
1803,2
1804,2
1805,5
1806,4
1807,6
1808,1
1809,5
1810,4
1811,1
1812,6
1813,0
1814,2
1815,0
1816,1
1817,0
1818,3
1819,5
1820,1
1821,3
1822,4
1823,4
1824,5
1825,5
1826,3
1827,3
1828,2
1829,0
1830,2
1831,2
1832,5
1833,3
1834,5
1835,4
1836,6
1837,4
1838,1
1839,1
1840,3
1841,3
1842,3
1843,6
1844,4
1845,5
1846,0
1847,5
1848,1
1849,6
1850,5
1851,6
1852,5
1853,1
1854,0
1855,3
1856,3
1857,4
1858,5
1859,3
1860,1
1861,1
1862,5
1863,6
1864,5
1865,6
1866,5
1867,1
1868,5
1869,6
1870,6
1871,0
1872,0
1873,2
1874,2
1875,6
1876,5
1877,2
1878,1
1879,1
1880,6
1881,5
1882,3
1883,3
1884,4
1885,2
1886,2
1887,3
1888,0
1889,1
1890,2
1891,0
1892,2
1893,3
1894,6
1895,6
1896,3
1897,3
1898,5
1899,2
1900,2
1901,0
1902,0
1903,2
1904,1
1905,6
1906,3
1907,1
1908,5
1909,1
1910,0
1911,0
1912,1
1913,4
1914,5
1915,4
1916,5
1917,2
1918,2
1919,1
1920,2
1921,0
1922,5
1923,3
1924,4
1925,6
1926,4
1927,1
1928,4
1929,5
1930,4
1931,2
1932,3
1933,2
1934,3
1935,6
1936,4
1937,4
1938,3
1939,3
1940,2
1941,2
1942,3
1943,6
1944,1
1945,3
1946,3
1947,4
1948,2
1949,1
1950,3
1951,3
1952,6
1953,3
1954,0
1955,5
1956,4
1957,5
1958,0
1959,0
1960,2
1961,3
1962,3
1963,3
1964,3
1965,4
1966,6
1967,1
1968,4
1969,1
1970,3
1971,5
1972,0
1973,4
1974,6
1975,5
1976,5
1977,0
1978,3
1979,4
1980,5
1981,6
1982,3
1983,2
1984,0
1985,4
1986,5
1987,1
1988,1
1989,3
1990,3
1991,5
1992,0
1993,6
1994,6
1995,3
1996,3
1997,0
1998,6
1999,2
2000,2
2001,6
2002,1
2003,4
2004,2
2005,2
2006,3
2007,0
2008,4
2009,4
2010,1
2011,0
2012,5
2013,1
2014,1
2015,0
2016,2
2017,2
2018,2
2019,3
2020,1
2021,2
2022,3
2023,6
2024,6
2025,0
2026,4
2027,0
2028,3
2029,0
2030,6
2031,3
2032,3
2033,4
2034,3
2035,2
2036,5
2037,4
2038,3
2039,1
2040,6
2041,4
2042,1
2043,0
2044,0
2045,5
2046,4
2047,1
2048,3
2049,1
2050,2
2051,5
2052,1
2053,3
2054,0
2055,6
2056,3
2057,3
2058,2
2059,2
2060,3
2061,6
2062,4
2063,1
2064,3
2065,4
2066,2
2067,0
2068,4
2069,6
2070,1
2071,3
2072,6
2073,2
2074,2
2075,0
2076,1
2077,1
2078,0
2079,1
2080,2
2081,0
2082,3
2083,5
2084,3
2085,1
2086,5
2087,6
2088,2
2089,2
2090,0
2091,2
2092,3
2093,0
2094,5
2095,6
2096,1
2097,4
2098,0
2099,2
2100,2
2101,1
2102,4
2103,5
2104,1
2105,2
2106,0
2107,5
2108,4
2109,1
2110,1
2111,4
2112,3
2113,4
2114,2
2115,0
2116,0
2117,6
2118,3
2119,1
2120,4
2121,6
2122,0
2123,1
2124,4
2125,6
2126,5
2127,2
2128,0
2129,0
2130,1
2131,0
2132,5
2133,4
2134,3
2135,4
2136,6
2137,4
2138,4
2139,5
2140,4
2141,3
2142,6
2143,1
2144,2
2145,5
2146,5
2147,4
2148,4
2149,0
2150,5
2151,1
2152,6
2153,1
2154,5
2155,0
2156,6
2157,3
2158,2
2159,0
2160,3
2161,0
2162,6
2163,6
2164,2
2165,6
2166,1
2167,5
2168,3
2169,6
2170,1
2171,1
2172,3
2173,1
2174,0
2175,6
2176,6
2177,1
2178,6
2179,3
2180,0
2181,3
2182,1
2183,2
2184,2
2185,6
2186,6
2187,5
2188,1
2189,5
2190,0
2191,1
2192,6
2193,1
2194,0
2195,0
2196,2
2197,4
2198,2
2199,3
2200,4
2201,2
2202,5
2203,5
2204,2
2205,3
2206,1
2207,6
2208,2
2209,4
2210,4
2211,5
2212,1
2213,1
2214,4
2215,5
2216,2
2217,3
2218,1
2219,2
2220,0
2221,3
2222,2
2223,1
2224,3
2225,1
2226,6
2227,6
2228,4
2229,5
2230,3
2231,6
2232,0
2233,1
2234,3
2235,6
2236,0
2237,2
2238,1
2239,0
2240,3
2241,4
2242,1
2243,6
2244,0
2245,0
2246,3
2247,0
2248,3
2249,0
2250,6
2251,0
2252,0
2253,0
2254,4
2255,3
2256,2
2257,2
2258,1
2259,4
2260,6
2261,5
2262,2
2263,2
2264,5
2265,4
2266,1
2267,1
2268,2
2269,3
2270,6
2271,1
2272,4
2273,2
2274,1
2275,3
2276,5
2277,0
2278,6
2279,1
2280,6
2281,5
2282,5
2283,0
2284,1
2285,5
2286,5
2287,0
2288,0
2289,0
2290,4
2291,6
2292,2
2293,1
2294,3
2295,5
2296,6
2297,4
2298,0
2299,5
2300,1
2301,6
2302,2
2303,5
2304,4
2305,0
2306,5
2307,4
2308,0
2309,1
2310,6
2311,6
2312,1
2313,5
2314,1
2315,6
2316,3
2317,4
2318,1
2319,2
2320,6
2321,2
2322,2
2323,1
2324,0
