task,worker,answer
Ma-http://www.freebase.com/view/en/massachusetts,A31HLJT0Q80OVM,0
Mohammed Jamjoom-http://www.freebase.com/view/en/cnn_international,A2EIA5WB7TX0RO,0
English-language-English-language_undisclosedLink0,A3FPX5HIFBDJYX,0
Celtic-http://www.geonames.org/7506475/celtic.html,A2LRG221B840KP,0
Yemen-http://dbpedia.org/page/Yemen,A2A2RHXQA17GOE,0
Gaby Ochsenbein-http://www.freebase.com/view/en/ulrich_ochsenbein,A21D38WGZ5MIKS,1
Market Square-http://www.geonames.org/4901224/market-square.html,A2A4KUI2P7EZGH,0
Glenmont-Glenmont_undisclosedLink0,A2B9XCMLIDK4IU,0
Lewis Lee-Lewis Lee_undisclosedLink0,A1ENY9EMHPDBSY,0
Vanuatu-http://www.freebase.com/view/en/air_vanuatu,A2A4KUI2P7EZGH,0
Detroit-http://dbpedia.org/page/Detroit,A2EIA5WB7TX0RO,1
China-http://www.freebase.com/view/en/northern_and_southern_china,A1NX9MRGIJ7RWV,0
Al Qaeda-http://www.freebase.com/view/en/al_qaeda_safe_house,A2EIA5WB7TX0RO,0
Fire-http://dbpedia.org/page/Fire,A14HWE3LCSAQAS,0
Cairo-http://dbpedia.org/page/Cairo,A3FPX5HIFBDJYX,1
Karim Morani-http://www.geonames.org/1419219/morani.html,A21D38WGZ5MIKS,0
Peace Talks-http://www.freebase.com/view/en/paris_peace_accords,A31HLJT0Q80OVM,0
Ahmed Mansoor-http://www.freebase.com/view/en/ahmed_mansoor,A14HWE3LCSAQAS,0
New York-http://www.freebase.com/view/en/new_york_mets,A9X4G4WPJ27D6,0
Southern Avenue-http://dbpedia.org/page/Southern_Avenue,A14HWE3LCSAQAS,0
Oswald Gr-http://www.geonames.org/5056667/oswald.html,A1BUM29NFW88BJ,0
Taobao-http://dbpedia.org/page/Taobao_Marketplace,A3FPX5HIFBDJYX,0
Obama-http://dbpedia.org/page/Barack_Obama_Obama,A2B9XCMLIDK4IU,0
Napoleon-http://www.freebase.com/view/en/napoleon_iii_of_france,A1ENY9EMHPDBSY,0
Alibaba-http://www.freebase.com/view/wikipedia/en_title/Alibaba_Group,A3FPX5HIFBDJYX,1
Alibaba-http://www.freebase.com/view/en/alibaba_baby,A2A2RHXQA17GOE,0
Yemeni Embassy-http://dbpedia.org/page/Diplomatic_mission,A1NX9MRGIJ7RWV,0
Swiss-style-http://dbpedia.org/page/Swiss-system_tournament,A1IMCORB74IG3V,0
Nespresso-http://www.freebase.com/view/en/nespresso,A19GPU3O8UECQ6,1
Kusegaon Fruits & Vegetables Pvt Ltd-Kusegaon Fruits & Vegetables Pvt Ltd_undisclosedLink2,A2HPWQRSYN118,0
Friendship Heights-http://www.geonames.org/4760200/friendship-heights.html,A16LXHOSCFUPXH,1
Anwar al-Awlaki-http://dbpedia.org/page/Anwar_al-Awlaki,A21D38WGZ5MIKS,0
GMT-http://www.freebase.com/view/wikipedia/en_title/GMT_$0028programme$0029,ALF6AFY455O9I,0
Tania Weaver-http://www.freebase.com/view/en/january_13,A14HWE3LCSAQAS,0
Austria-http://www.freebase.com/view/en/austria,A1NX9MRGIJ7RWV,0
Kaspar Villiger-http://www.freebase.com/view/m/02b_v9c,A31HLJT0Q80OVM,0
Yemeni-http://dbpedia.org/page/Yemeni_League,A31HLJT0Q80OVM,0
Mont Dolent-http://www.freebase.com/view/en/mont_dolent,A2A2RHXQA17GOE,1
France-http://www.freebase.com/view/en/france,A2B9XCMLIDK4IU,0
Jeff Bezos-Jeff Bezos_undisclosedLink0,A2LRG221B840KP,0
Elkridge-http://www.geonames.org/4354256/elkridge.html,A303BSCIP4JY0I,0
Lugano-born Ermotti-http://www.geonames.org/2659836/lugano.html,A9X4G4WPJ27D6,0
Sarah Jones-http://dbpedia.org/page/Sarah_Jones,A1WHQSBPUVHE9W,1
Times Square-http://www.geonames.org/5141023/times-square.html,A31HLJT0Q80OVM,0
John-http://dbpedia.org/page/John_Adriano_Acea,A17HDS65Q0WSU2,0
Chris Isidore-Chris Isidore_undisclosedLink0,A9X4G4WPJ27D6,0
William Reinhard-http://dbpedia.org/page/William_Reinhard_of_Isenburg-WWilliam,A21D38WGZ5MIKS,0
United Nations General Assembly-http://www.freebase.com/view/en/united_nations_general_assembly,A14HWE3LCSAQAS,0
Market Square-http://www.freebase.com/view/en/market_square_shopping_centre,A21D38WGZ5MIKS,1
Fribourg-http://www.geonames.org/2660718/fribourg.html,A14HWE3LCSAQAS,0
CNN-http://www.freebase.com/view/en/cnn,A21D38WGZ5MIKS,0
Friendship Heights-http://www.geonames.org/4138804/friendship-heights.html,A2B9XCMLIDK4IU,0
Kusegaon Fruits & Vegetables Pvt Ltd-Kusegaon Fruits & Vegetables Pvt Ltd_undisclosedLink1,A3FPX5HIFBDJYX,0
Turmix-Turmix_undisclosedLink1,A3FPX5HIFBDJYX,0
Grand St Bernard-http://www.freebase.com/view/wikipedia/fr_id/46225,A3FPX5HIFBDJYX,0
Russians-http://www.freebase.com/view/en/russians,A9X4G4WPJ27D6,1
IHS iSuppli-http://www.freebase.com/view/en/ihs_inc,A2A2RHXQA17GOE,0
Saleh-http://dbpedia.org/page/Saleh,A9X4G4WPJ27D6,0
Americas-http://www.freebase.com/view/en/united_states,A31HLJT0Q80OVM,0
Apple Store-http://dbpedia.org/page/Apple_Store,A1NX9MRGIJ7RWV,0
Facebook-http://www.freebase.com/view/authority/facebook,A2A4KUI2P7EZGH,0
Google-http://dbpedia.org/page/Google,A3FPX5HIFBDJYX,1
D.C. Superior Court-D.C. Superior Court_undisclosedLink0,A9X4G4WPJ27D6,0
Tim Morse-http://www.geonames.org/4902748/morse.html,A2B9XCMLIDK4IU,0
Elkridge-http://www.freebase.com/view/en/elkridge,AXPKSZJBPMX50,0
Australia-http://www.freebase.com/view/en/australia,A16LXHOSCFUPXH,1
Egyptian-http://dbpedia.org/page/Egyptian,A2LRG221B840KP,0
Germany-http://dbpedia.org/page/Germany,A1IMCORB74IG3V,1
Ameriprise Financial-http://dbpedia.org/page/Ameriprise_Financial,A2W5GFIXMM3M5B,1
Internet-http://www.freebase.com/view/internet,A2B9XCMLIDK4IU,0
Islam-http://dbpedia.org/page/Islam,A2LRG221B840KP,1
Southern Avenue-http://dbpedia.org/page/Southern_Avenue_(WMATA_station),A14HWE3LCSAQAS,0
Austria-http://dbpedia.org/page/Fucking,A2EIA5WB7TX0RO,1
Tamil-Tamil_undisclosedLink0,A2B9XCMLIDK4IU,0
Arabian Peninsula-http://www.freebase.com/view/en/arabian_peninsula,A9X4G4WPJ27D6,1
Facebook-http://dbpedia.org/page/Google+,A21D38WGZ5MIKS,1
Obama-http://www.geonames.org/2328356/obama.html,A3FPX5HIFBDJYX,1
Bronze Age-http://www.freebase.com/view/en/nordic_bronze_age,A1IMCORB74IG3V,0
Nidal Malik Hasan-http://dbpedia.org/page/Umm_Nidal,A2LRG221B840KP,0
London-http://dbpedia.org/page/London,A9X4G4WPJ27D6,0
AAPL-http://dbpedia.org/page/Apple_Inc.,A2B9XCMLIDK4IU,0
Souvenir-http://dbpedia.org/page/Souvenir,A2CD4HMFC57OW2,1
Artifacts-http://www.freebase.com/view/m/065nzln,A3FXJ21TQ0LRNJ,0
Obama-Obama_undisclosedLink0,A31HLJT0Q80OVM,0
Hamid Karzai-http://data.nytimes.com/6727580816423805663,A2CQK13A7JXJ2M,1
Motorola Mobility-http://www.freebase.com/view/en/motorola_mobile_devices,A1IMCORB74IG3V,1
Internet-http://dbpedia.org/page/Internet,A2LRG221B840KP,1
Wael Fakharany-Wael Fakharany_undisclosedLink0,A2A2RHXQA17GOE,0
Grand St Bernard-http://www.freebase.com/view/en/great_st_bernard_pass,A31HLJT0Q80OVM,0
IDCC-IDCC_undisclosedLink1,A31HLJT0Q80OVM,0
Arabic-http://dbpedia.org/page/Arabic_language,A3FPX5HIFBDJYX,1
California-http://www.freebase.com/view/en/university_of_california_berkeley,A1IMCORB74IG3V,0
Great Satan-http://www.freebase.com/view/m/06gtg_k,A3FXJ21TQ0LRNJ,1
