task,community
Switzerland-http://dbpedia.org/page/Switzerland,1
GMT-http://dbpedia.org/page/UTC?07:00,0
GMT-http://dbpedia.org/page/Greenwich_Mean_Time,1
Switzerland-http://www.freebase.com/view/en/switzerland_national_football_team,0
Switzerland-http://www.freebase.com/view/base/switzerland,0
India-http://www.freebase.com/view/en/british_raj,0
GMT-http://www.freebase.com/view/en/guy_sigsworth,0
American-http://www.freebase.com/view/en/african_american,0
Italy-http://www.freebase.com/view/en/kingdom_of_italy,0
Internet-http://dbpedia.org/page/Internet,1
CNN-http://dbpedia.org/page/CNN,1
Switzerland-http://www.freebase.com/view/en/switzerland,1
Samir Khan-http://www.freebase.com/view/wikipedia/en_title/Kepler_$0028band$0029,0
Nigerian-http://dbpedia.org/page/Nigeria,1
Italian-http://www.freebase.com/view/en/italian,0
Inspire-http://dbpedia.org/page/Infrastructure_for_Spatial_Information_in_the_European_Community,0
GMT-http://www.freebase.com/view/en/greenwich_mean_time,1
Facebook-http://www.freebase.com/view/en/facebook,1
Europe-http://www.freebase.com/view/en/europe_sweden,0
CNN-http://www.freebase.com/view/en/cnn,1
CNN-http://www.freebase.com/view/en/capone-n-noreaga,0
CNN-CNN_undisclosedLink0,0
YORK-http://www.freebase.com/view/en/new_york,0
Wash.-http://www.freebase.com/view/en/washington,0
United States-http://dbpedia.org/page/United_States,1
US-US_undisclosedLink0,0
U.S.-http://dbpedia.org/page/List_of_belt_regions_of_the_United_States,0
Swiss-http://www.geonames.org/4824197/swiss.htmlgood,0
Swiss-http://www.geonames.org/4411014/swiss.html,0
Swiss-http://dbpedia.org/page/Swiss_International_Air_Lines,0
Southern Avenue-http://www.freebase.com/view/wikipedia/en_title/Southern_Avenue_$0028Washington$002C_D$002EC$002E$0029,1
Silicon Valley-http://www.freebase.com/view/en/silicon_valley,1
Sergio Ermotti-http://www.freebase.com/view/m/01ss8pj,0
Samir Khan-http://www.freebase.com/view/en/samir_khan,1
Nigerian-http://dbpedia.org/page/Senate_of_Nigeria,0
New York-http://dbpedia.org/page/New_York-New_York_Hotel_&_Casino,0
New York Times-http://dbpedia.org/page/The_New_York_Times,1
London-London_undisclosedLink0,0
Italian-http://dbpedia.org/page/The_Italian,0
India-http://www.freebase.com/view/en/la_india,0
India-http://www.freebase.com/view/en/british_east_india_company,0
American-http://dbpedia.org/page/American,0
Amazon-http://www.freebase.com/view/en/amazon_rainforest,0
YORK-http://www.freebase.com/view/en/new_york_state_senate,0
United States-http://www.freebase.com/view/en/president_of_the_united_states,0
United States-http://dbpedia.org/page/These_United_States,0
U.S.-http://www.freebase.com/view/en/case_citation,0
Swiss-http://www.geonames.org/4824197/swiss.html,0
Southern Avenue-http://dbpedia.org/page/Southern_Avenue,0
Southeast-http://www.geonames.org/4140541/southeast.html,0
Silicon Valley-http://www.freebase.com/view/en/pirates_of_silicon_valley,0
Sharmila Tagore-Sharmila Tagore_undisclosedLink1,0
Question Hour-http://www.freebase.com/view/user/tsegaran/universityx/control/3360114,0
Qaeda-http://dbpedia.org/page/Al-Qaeda_in_Iraq,0
Qaeda-http://dbpedia.org/page/Al-Qaeda,1
