task,truth
J. DAVID-J. DAVID_undisclosedLink0,0
Bern-based-Bern-based_undisclosedLink0,0
Mark Milian-Mark Milian_undisclosedLink0,0
Adam Levine-Adam Levine_undisclosedLink0,0
Italian-http://www.freebase.com/view/en/italian,0
S. Randolph Sengel-http://dbpedia.org/page/Randolph_Churchill,0
Jairam Ramesh-http://www.geonames.org/1374957/jairam.html,0
Marib-http://www.geonames.org/6940835/marib.html,0
Motorola Mobility-http://dbpedia.org/page/Motorola_Mobility,1
Singapore-Singapore_undisclosedLink0,0
Karim Morani-http://www.freebase.com/view/en/karim_morani,1
UBM-http://dbpedia.org/page/UBM_plc,1
Bryson-http://www.geonames.org/4378889/bryson.html,0
Abyan-http://www.geonames.org/80426/abyan.html,1
Mejia-http://www.geonames.org/3547197/mejia.html,0
CBI-http://www.freebase.com/view/en/central_bureau_of_investigation,1
Kalaignar TV-http://dbpedia.org/page/M._Karunanidhi,0
Operation Troy-http://www.freebase.com/view/wikipedia/images/en_id/23242491,0
Nasser-http://www.freebase.com/view/en/gamal_abdel_nasser,0
Google-http://www.freebase.com/view/en/google,1
Pakistan-Pakistan_undisclosedLink0,0
Kindle Fire Amazon-Kindle Fire Amazon_undisclosedLink1,0
David Goldman-http://www.freebase.com/view/wikipedia/en_title/David_Goldman_$0028businessman$0029,0
Maryland-http://www.geonames.org/4332744/maryland.html,0
Marib-http://dbpedia.org/page/MaMarib,0
Lee & Hayes-http://dbpedia.org/page/Bob_Hayes,0
Nidal Malik Hasan-Nidal Malik Hasan_undisclosedLink0,0
Samsung Galaxy Note-http://dbpedia.org/page/Samsung_Galaxy_Tab,0
J. DAVID-http://www.freebase.com/view/en/david_j_eicher,0
EBAY-EBAY_undisclosedLink0,0
Web-http://dbpedia.org/page/Web,0
Mejia-Mejia_undisclosedLink0,0
Android-based-http://www.freebase.com/view/en/gphone,1
Pandemonium-http://www.freebase.com/view/wikipedia/it_id/2734704bad,0
Apple-Apple_undisclosedLink1,0
Al-Marzooqi-http://dbpedia.org/page/Alan_Wilson_(musician),0
R. Adams Cowley Shock Trauma Center-http://www.freebase.com/view/en/r_adams_cowley_shock_trauma_center,1
Stanford University-http://data.nytimes.com/30980701778745983962,1
CIA-http://dbpedia.org/page/CAN_in_Automation,0
Mohammed Jamjoom-http://www.freebase.com/view/m/0nt_yy,0
Web-http://dbpedia.org/page/World_Wide_Web,1
Rahul Gandhi-Rahul Gandhi_undisclosedLink0,0
Asif Balwa-http://dbpedia.org/page/Asif,0
Emma Brown-http://dbpedia.org/page/Emma_Brown,0
Afghan-http://www.freebase.com/view/en/afghan,0
American-http://www.freebase.com/view/en/african_american,0
Saleh-http://www.geonames.org/290945/saleh.html,0
Virginia-http://dbpedia.org/page/Virginia,1
Italian-http://www.freebase.com/view/en/italy,1
Susan Vogel-Misicka-http://www.freebase.com/view/en/susan_vogel,0
Rhode Island Avenue-http://www.freebase.com/view/en/rhode_island_avenue,1
Southeast-Southeast_undisclosedLink0,0
Maryland-http://www.geonames.org/4901379/maryland.html,0
Russell Price-Russell Price_undisclosedLink1,0
Christmas-http://dbpedia.org/page/Christmas,1
Al Qaeda-http://data.nytimes.com/N58421218052665300032,0
Tages-Anzeiger-http://www.freebase.com/view/en/tages-anzeiger,1
Chris Isidore-http://www.freebase.com/view/en/nampa_canada,0
Ali Abdullah Saleh-http://data.nytimes.com/42472758920994792243,1
Stanford-http://www.geonames.org/4912372/stanford.html,0
Ahmadinejad-http://data.nytimes.com/N63021508116370590173,1
French-http://www.freebase.com/view/lang/fr,0
