task,community
36618,0
36641,0
11629,1
36666,0
36679,0
36963,0
36632,0
11637,1
11602,1
11596,1
11577,1
36964,0
36948,0
36942,0
36674,0
36673,0
36621,0
12382,0
11696,1
11644,1
11600,1
11585,1
11580,1
11574,1
36943,0
36933,0
36932,0
36701,0
14988,0
11680,1
11656,1
11655,1
11641,1
11628,1
11578,1
36949,0
36931,0
36691,0
36678,0
36676,0
36640,0
36623,0
11697,1
11646,1
11645,1
11612,1
11575,1
36960,0
36952,0
36939,0
36937,0
36934,0
36693,0
36675,0
36664,0
36645,0
11693,1
11692,1
11685,1
11672,1
11661,1
11658,1
11618,1
11617,1
11604,1
11594,1
36962,0
36953,0
36941,0
36940,0
36657,0
36636,0
11694,1
11657,1
11630,1
11615,1
11588,1
11583,1
11573,1
36959,0
36656,0
36638,0
36622,0
11663,1
11642,1
11619,1
36947,0
36683,0
36680,0
36644,0
36643,0
11673,1
11601,1
36697,0
36696,0
36652,0
36624,0
11705,1
11653,1
11626,1
11579,1
36633,0
36620,0
36935,0
36665,0
36961,0
36936,0
36627,0
