task,community
989,0
94,1
679,1
645,0
351,0
111,0
939,1
914,1
744,0
71,1
654,0
506,0
496,0
476,0
326,0
289,0
274,0
240,0
183,1
162,0
121,1
983,1
975,0
923,1
921,0
9,0
874,0
86,0
806,0
757,0
712,1
662,1
58,0
566,0
561,0
529,1
528,1
503,0
497,1
480,1
472,1
37,1
361,0
323,1
276,0
269,1
243,1
226,1
221,1
2,0
194,0
19,0
181,0
145,0
135,1
987,1
959,0
949,0
933,0
932,1
902,1
892,0
882,0
871,1
870,1
82,1
819,1
759,1
756,1
747,0
740,0
726,0
710,1
701,1
693,1
668,0
650,0
631,0
615,0
609,1
606,1
6,0
593,1
586,1
584,1
572,1
560,1
553,1
545,1
532,1
513,1
5,1
490,1
486,0
478,0
47,0
469,1
464,1
459,0
446,1
418,1
417,0
407,1
406,1
399,1
397,0
396,0
384,0
38,1
378,0
35,0
341,1
340,1
334,0
301,0
29,1
265,0
26,0
232,1
227,0
182,0
178,0
158,0
128,0
127,1
108,0
998,0
986,0
977,0
97,0
958,1
950,1
942,1
937,0
935,0
931,1
93,0
911,0
908,1
901,0
900,0
895,1
893,0
889,0
860,1
858,0
853,1
850,1
849,1
839,1
834,1
824,1
823,1
81,0
803,1
799,1
790,1
782,0
781,0
771,0
769,1
767,1
764,0
758,1
731,0
730,1
705,1
69,0
678,1
672,1
657,1
656,1
655,0
647,1
642,1
641,0
626,0
625,0
623,1
620,1
601,1
599,0
598,0
597,1
591,1
59,1
583,0
575,0
571,0
543,1
515,0
512,1
508,0
504,1
501,1
498,1
495,0
494,1
493,0
492,0
488,1
477,0
475,1
473,1
448,1
444,0
436,0
429,0
425,0
424,0
419,0
414,1
404,0
401,1
400,1
393,0
392,1
383,1
377,0
358,0
357,1
356,1
353,0
352,1
350,0
339,0
335,0
325,0
322,0
318,1
280,0
278,0
250,0
25,0
241,1
229,0
222,1
212,1
200,0
187,1
166,0
157,0
155,1
148,1
144,1
133,0
123,0
118,0
116,0
114,1
101,1
100,0
995,1
988,1
978,1
974,1
973,1
972,0
971,0
968,0
967,1
962,1
955,0
954,0
953,0
948,0
944,1
936,1
930,1
926,1
919,0
906,1
903,1
90,1
898,0
897,0
880,0
877,0
876,0
872,0
866,1
861,0
856,0
845,0
844,0
